DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2019-10-26 00:00:00;14;8;3;4;7;8;14;9;9;16;9;3;2
2019-10-26 00:15:00;15;6;3;6;5;24;21;6;4;11;7;3;3
2019-10-26 00:30:00;15;5;4;4;6;19;18;7;4;12;15;4;4
2019-10-26 00:45:00;12;7;2;10;5;16;15;7;4;14;10;3;2
2019-10-26 01:00:00;12;6;2;2;1;15;11;6;4;11;16;6;1
2019-10-26 01:15:00;14;10;5;2;2;11;13;8;7;9;4;0;5
2019-10-26 01:30:00;12;5;1;4;2;6;9;3;4;9;8;3;1
2019-10-26 01:45:00;16;6;1;1;3;12;13;7;2;5;1;1;1
2019-10-26 02:00:00;6;3;0;3;2;10;11;3;0;2;6;1;0
2019-10-26 02:15:00;8;3;2;0;1;8;9;2;1;5;2;0;2
2019-10-26 02:30:00;5;1;1;2;1;7;4;4;4;6;4;2;1
2019-10-26 02:45:00;8;2;1;1;0;5;5;3;2;4;4;2;1
2019-10-26 03:00:00;9;2;0;1;1;3;3;1;0;4;4;3;0
2019-10-26 03:15:00;3;2;1;0;0;6;10;2;0;0;1;1;1
2019-10-26 03:30:00;8;1;1;1;0;3;6;1;1;2;2;0;1
2019-10-26 03:45:00;9;3;1;0;0;6;6;2;2;2;4;0;1
2019-10-26 04:00:00;1;2;0;0;2;4;8;3;3;1;3;1;0
2019-10-26 04:15:00;2;1;1;1;2;7;4;1;0;0;0;0;1
2019-10-26 04:30:00;1;4;0;0;4;4;4;2;0;2;2;0;0
2019-10-26 04:45:00;6;6;0;2;2;4;7;2;5;6;1;0;0
2019-10-26 05:00:00;11;6;2;0;6;5;4;4;2;1;3;2;2
2019-10-26 05:15:00;13;7;2;12;4;11;13;6;3;3;4;2;2
2019-10-26 05:30:00;16;11;5;5;10;12;10;5;3;4;2;1;5
2019-10-26 05:45:00;9;2;0;14;5;20;23;8;6;5;5;1;0
2019-10-26 06:00:00;14;7;1;2;5;17;18;4;5;7;4;1;1
2019-10-26 06:15:00;13;5;3;8;14;22;23;9;7;4;1;0;4
2019-10-26 06:30:00;9;12;3;15;12;26;29;17;12;10;10;6;3
2019-10-26 06:45:00;12;4;4;18;9;27;26;15;12;6;7;2;5
2019-10-26 07:00:00;8;9;7;13;10;28;19;6;5;5;9;3;6
2019-10-26 07:15:00;20;11;3;13;15;28;18;10;4;9;9;1;3
2019-10-26 07:30:00;28;11;5;16;20;40;34;16;10;12;9;5;5
