DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-01-24 00:00:00;0;8;4;13;6;0;0
2020-01-24 00:15:00;0;9;5;19;7;2;2
2020-01-24 00:30:00;0;10;4;7;8;1;1
2020-01-24 00:45:00;0;3;0;10;1;1;1
2020-01-24 01:00:00;0;4;2;4;3;0;0
2020-01-24 01:15:00;0;9;4;10;2;0;0
2020-01-24 01:30:00;0;6;4;9;9;0;0
2020-01-24 01:45:00;0;2;1;13;4;0;0
2020-01-24 02:00:00;0;1;1;8;7;0;0
2020-01-24 02:15:00;0;3;3;8;3;0;0
2020-01-24 02:30:00;0;3;2;2;1;0;0
2020-01-24 02:45:00;0;7;1;3;0;0;0
2020-01-24 03:00:00;0;2;1;9;1;0;0
2020-01-24 03:15:00;0;2;1;9;6;0;0
2020-01-24 03:30:00;0;8;3;5;3;0;0
2020-01-24 03:45:00;0;2;1;6;4;0;0
2020-01-24 04:00:00;0;11;0;4;5;0;0
2020-01-24 04:15:00;0;9;3;12;7;0;0
2020-01-24 04:30:00;0;13;8;15;9;0;0
2020-01-24 04:45:00;0;28;17;13;8;0;0
2020-01-24 05:00:00;0;60;48;26;12;0;0
2020-01-24 05:15:00;1;73;69;34;25;0;0
2020-01-24 05:30:00;0;81;73;42;35;1;1
2020-01-24 05:45:00;6;62;75;60;45;2;2
2020-01-24 06:00:00;4;72;82;66;61;5;5
2020-01-24 06:15:00;2;85;92;63;78;2;2
2020-01-24 06:30:00;6;101;129;60;62;6;6
2020-01-24 06:45:00;27;109;138;68;84;5;5
2020-01-24 07:00:00;13;142;159;59;52;6;6
2020-01-24 07:15:00;40;166;186;81;86;8;8
2020-01-24 07:30:00;53;151;159;88;100;3;3
2020-01-24 07:45:00;19;147;121;102;132;5;5
2020-01-24 08:00:00;5;118;129;108;85;6;6
2020-01-24 08:15:00;5;114;108;79;79;2;2
2020-01-24 08:30:00;12;106;104;109;103;5;4
2020-01-24 08:45:00;10;103;108;100;94;3;4
2020-01-24 09:00:00;111;85;74;98;74;3;3
2020-01-24 09:15:00;5;93;89;98;87;4;4
2020-01-24 09:30:00;6;107;106;102;78;2;2
2020-01-24 09:45:00;12;107;105;127;117;5;5
2020-01-24 10:00:00;8;91;87;93;110;2;2
2020-01-24 10:15:00;23;99;84;102;96;5;5
2020-01-24 10:30:00;1;97;77;123;97;4;4
2020-01-24 10:45:00;27;93;97;126;115;3;3
2020-01-24 11:00:00;11;114;102;96;88;4;4
2020-01-24 11:15:00;31;115;100;126;140;2;2
2020-01-24 11:30:00;30;98;110;124;137;6;6
2020-01-24 11:45:00;29;106;105;128;117;4;4
2020-01-24 12:00:00;10;106;99;116;132;4;4
2020-01-24 12:15:00;27;112;106;140;164;2;2
2020-01-24 12:30:00;4;121;105;133;142;3;3
2020-01-24 12:45:00;7;108;108;138;168;5;5
2020-01-24 13:00:00;9;145;137;153;174;3;3
2020-01-24 13:15:00;27;133;123;142;172;9;7
2020-01-24 13:30:00;79;132;127;135;169;7;8
2020-01-24 13:45:00;18;134;143;151;170;2;2
2020-01-24 14:00:00;21;131;130;126;157;4;4
2020-01-24 14:15:00;16;111;104;144;171;3;2
2020-01-24 14:30:00;27;117;102;146;175;3;4
2020-01-24 14:45:00;33;129;68;164;200;4;4
2020-01-24 15:00:00;17;131;56;151;178;4;4
2020-01-24 15:15:00;132;113;98;143;170;3;3
2020-01-24 15:30:00;9;111;101;139;164;3;3
2020-01-24 15:45:00;23;139;124;148;173;7;7
2020-01-24 16:00:00;12;106;109;144;161;3;3
2020-01-24 16:15:00;20;101;115;125;159;3;3
2020-01-24 16:30:00;9;117;111;152;166;6;6
2020-01-24 16:45:00;18;116;86;142;160;4;4
2020-01-24 17:00:00;9;123;109;149;169;4;4
2020-01-24 17:15:00;18;127;122;143;165;2;2
2020-01-24 17:30:00;5;124;114;135;134;4;4
2020-01-24 17:45:00;61;122;108;124;141;5;5
2020-01-24 18:00:00;24;121;39;117;122;4;4
2020-01-24 18:15:00;6;100;99;113;143;3;3
2020-01-24 18:30:00;19;96;93;122;102;4;4
2020-01-24 18:45:00;7;100;102;128;123;4;4
2020-01-24 19:00:00;14;102;91;105;96;3;3
2020-01-24 19:15:00;1;90;99;83;84;4;4
2020-01-24 19:30:00;3;81;66;91;95;4;4
2020-01-24 19:45:00;10;74;75;93;85;2;2
2020-01-24 20:00:00;8;66;68;86;51;3;3
2020-01-24 20:15:00;3;70;62;91;84;2;2
2020-01-24 20:30:00;0;57;59;64;69;3;3
2020-01-24 20:45:00;15;74;56;56;43;1;1
2020-01-24 21:00:00;5;75;67;58;36;3;3
2020-01-24 21:15:00;8;73;57;64;48;0;0
2020-01-24 21:30:00;0;44;39;48;47;1;1
2020-01-24 21:45:00;11;37;26;72;63;1;1
2020-01-24 22:00:00;5;51;51;79;79;2;2
2020-01-24 22:15:00;0;62;50;96;90;2;2
2020-01-24 22:30:00;24;41;35;66;53;1;1
2020-01-24 22:45:00;0;30;30;59;51;1;1
2020-01-24 23:00:00;0;28;21;55;26;2;2
2020-01-24 23:15:00;0;31;13;41;28;1;1
2020-01-24 23:30:00;0;34;18;48;26;1;1
2020-01-24 23:45:00;0;26;16;31;20;0;0
