DATUM;1(RES1);2(DE1);3(DE2);4(DH1);5(DH2);6(DDL1);7(DDL2);8(DAL1);9(RES2);10(DBR1);11(DBR2)
2019-12-30 00:00:00;8;11;4;12;9;0;5;2;0;3;2
2019-12-30 00:15:00;12;18;15;18;10;4;1;5;0;5;4
2019-12-30 00:30:00;13;17;13;18;3;4;1;6;0;4;2
2019-12-30 00:45:00;19;25;9;3;2;2;17;3;0;2;2
2019-12-30 01:00:00;15;18;10;17;8;2;0;6;0;3;0
2019-12-30 01:15:00;12;17;10;8;5;1;0;3;0;4;0
2019-12-30 01:30:00;12;18;9;11;8;1;0;3;0;1;1
2019-12-30 01:45:00;12;12;10;9;6;0;1;1;0;1;1
2019-12-30 02:00:00;8;12;5;6;5;3;3;3;0;2;1
2019-12-30 02:15:00;12;13;7;3;1;4;1;1;0;1;1
2019-12-30 02:30:00;8;9;6;3;2;1;0;2;0;1;0
2019-12-30 02:45:00;11;15;6;7;5;0;0;1;0;1;0
2019-12-30 03:00:00;3;7;4;5;5;3;1;1;0;4;2
2019-12-30 03:15:00;9;12;5;7;4;2;0;2;0;1;2
2019-12-30 03:30:00;6;9;5;9;7;0;0;0;0;0;0
2019-12-30 03:45:00;8;8;6;8;3;1;0;0;0;2;4
2019-12-30 04:00:00;12;14;5;4;4;2;0;2;0;1;1
2019-12-30 04:15:00;8;11;6;3;2;1;1;1;0;0;2
2019-12-30 04:30:00;20;20;13;18;12;0;0;4;0;0;2
2019-12-30 04:45:00;13;16;10;9;6;1;0;3;0;3;4
2019-12-30 05:00:00;20;22;17;6;10;3;1;5;0;3;1
2019-12-30 05:15:00;27;30;26;19;11;4;0;10;0;6;10
2019-12-30 05:30:00;38;48;30;42;22;9;0;15;0;5;8
2019-12-30 05:45:00;31;36;25;20;24;11;5;9;0;7;9
2019-12-30 06:00:00;43;53;36;16;26;10;1;9;0;6;6
2019-12-30 06:15:00;33;37;24;30;16;23;5;9;0;4;10
2019-12-30 06:30:00;46;52;26;46;30;10;2;18;0;6;15
2019-12-30 06:45:00;44;56;37;37;23;15;4;14;0;7;12
2019-12-30 07:00:00;44;58;35;58;38;18;16;12;0;10;11
2019-12-30 07:15:00;64;78;49;41;32;18;9;19;0;12;14
2019-12-30 07:30:00;61;70;42;84;38;25;7;6;0;9;10
2019-12-30 07:45:00;66;73;67;66;31;18;10;15;0;15;21
2019-12-30 08:00:00;62;74;41;47;24;15;5;16;0;12;16
2019-12-30 08:15:00;57;69;48;66;36;21;10;15;0;21;18
2019-12-30 08:30:00;77;95;69;70;58;21;11;18;0;15;25
2019-12-30 08:45:00;86;97;69;74;71;30;12;34;0;15;21
2019-12-30 09:00:00;81;101;75;69;48;22;8;22;0;20;33
2019-12-30 09:15:00;103;121;91;82;61;21;12;34;0;23;26
2019-12-30 09:30:00;94;115;88;99;78;23;13;30;0;20;28
2019-12-30 09:45:00;124;145;113;101;101;33;17;37;0;28;33
2019-12-30 10:00:00;124;160;110;107;81;21;13;28;0;32;34
2019-12-30 10:15:00;132;166;132;106;88;31;25;42;0;25;16
2019-12-30 10:30:00;130;161;133;116;103;28;12;49;0;25;37
2019-12-30 10:45:00;138;162;122;131;111;30;18;61;0;26;34
2019-12-30 11:00:00;162;188;142;107;109;35;12;49;0;26;30
2019-12-30 11:15:00;140;169;112;146;91;28;27;56;0;25;32
2019-12-30 11:30:00;127;156;119;120;99;21;16;49;0;19;24
2019-12-30 11:45:00;109;156;130;138;147;29;15;44;0;25;29
2019-12-30 12:00:00;138;175;134;141;110;21;8;68;0;27;32
2019-12-30 12:15:00;133;188;128;144;126;21;14;54;0;33;36
2019-12-30 12:30:00;118;161;99;108;89;24;13;50;0;27;31
2019-12-30 12:45:00;125;164;147;132;111;23;14;50;0;33;33
2019-12-30 13:00:00;132;168;118;142;105;25;10;62;0;20;22
2019-12-30 13:15:00;113;170;105;124;110;23;12;57;0;19;23
2019-12-30 13:30:00;136;173;124;146;108;30;12;37;0;21;32
2019-12-30 13:45:00;112;153;103;116;89;34;16;49;0;33;19
2019-12-30 14:00:00;144;183;131;144;116;23;13;55;0;37;39
