DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2019-12-31 00:00:00;0;23;0;0;0;0;14;10;0;0
2019-12-31 00:15:00;0;24;0;1;0;3;25;14;2;1
2019-12-31 00:30:00;0;19;1;0;0;1;17;11;1;0
2019-12-31 00:45:00;0;14;0;2;1;1;13;9;1;0
2019-12-31 01:00:00;0;17;0;0;0;2;14;12;0;0
2019-12-31 01:15:00;0;14;1;0;0;3;12;10;0;0
2019-12-31 01:30:00;0;19;0;0;0;0;3;8;0;0
2019-12-31 01:45:00;0;13;0;1;0;0;12;5;0;0
2019-12-31 02:00:00;0;5;0;0;1;0;5;6;0;0
2019-12-31 02:15:00;0;14;0;0;0;1;16;9;0;0
2019-12-31 02:30:00;0;7;1;2;0;0;10;7;0;0
2019-12-31 02:45:00;0;9;0;1;1;1;15;2;0;0
2019-12-31 03:00:00;0;8;0;0;1;1;7;2;0;0
2019-12-31 03:15:00;0;9;0;0;0;0;5;2;0;0
2019-12-31 03:30:00;0;6;0;0;0;1;6;4;0;0
2019-12-31 03:45:00;0;3;1;1;0;0;9;1;1;1
2019-12-31 04:00:00;0;6;0;0;0;0;9;6;0;0
2019-12-31 04:15:00;0;10;0;1;0;1;3;0;0;0
2019-12-31 04:30:00;0;6;1;1;0;1;6;4;0;0
2019-12-31 04:45:00;0;10;0;1;0;3;5;1;0;0
2019-12-31 05:00:00;0;6;1;0;0;7;11;8;1;1
2019-12-31 05:15:00;0;17;1;0;1;8;11;8;1;1
2019-12-31 05:30:00;0;15;1;1;3;2;20;28;0;0
2019-12-31 05:45:00;0;22;0;1;1;0;17;13;1;0
2019-12-31 06:00:00;0;18;2;3;3;2;20;21;0;0
2019-12-31 06:15:00;0;12;1;0;0;4;15;12;2;0
2019-12-31 06:30:00;0;21;0;0;1;2;16;15;0;0
2019-12-31 06:45:00;0;13;0;0;0;1;12;15;0;0
2019-12-31 07:00:00;0;13;1;1;0;4;8;18;2;2
2019-12-31 07:15:00;0;20;0;1;1;4;11;16;3;0
2019-12-31 07:30:00;0;16;5;5;2;1;22;28;0;0
2019-12-31 07:45:00;0;28;0;1;1;2;22;28;1;1
