DATUM;1(DA1);2(DC1);3(TAFGA);4(TAFBA)
2020-12-01 00:00:00;0;0;0;0
2020-12-01 00:15:00;0;0;0;0
2020-12-01 00:30:00;0;0;0;0
2020-12-01 00:45:00;0;0;0;0
2020-12-01 01:00:00;0;0;0;0
2020-12-01 01:15:00;0;0;0;0
2020-12-01 01:30:00;0;0;0;0
2020-12-01 01:45:00;0;0;0;0
2020-12-01 02:00:00;0;0;0;0
2020-12-01 02:15:00;0;0;0;0
2020-12-01 02:30:00;0;0;0;0
2020-12-01 02:45:00;0;0;0;0
2020-12-01 03:00:00;0;0;0;0
2020-12-01 03:15:00;0;0;0;0
2020-12-01 03:30:00;0;0;0;0
2020-12-01 03:45:00;0;0;0;0
2020-12-01 04:00:00;0;0;0;0
2020-12-01 04:15:00;0;0;0;0
2020-12-01 04:30:00;0;0;0;0
2020-12-01 04:45:00;0;0;0;0
2020-12-01 05:00:00;0;0;0;0
2020-12-01 05:15:00;0;0;0;0
2020-12-01 05:30:00;0;0;0;0
2020-12-01 05:45:00;0;0;0;0
2020-12-01 06:00:00;0;0;0;0
2020-12-01 06:15:00;0;0;0;0
2020-12-01 06:30:00;0;0;0;0
2020-12-01 06:45:00;0;0;0;0
2020-12-01 07:00:00;0;0;2;0
2020-12-01 07:15:00;0;0;6;2
2020-12-01 07:30:00;0;0;11;6
2020-12-01 07:45:00;0;0;2;3
2020-12-01 08:00:00;0;0;2;0
2020-12-01 08:15:00;0;0;5;4
2020-12-01 08:30:00;0;0;3;10
2020-12-01 08:45:00;0;0;0;0
2020-12-01 09:00:00;0;0;0;0
2020-12-01 09:15:00;0;0;2;0
2020-12-01 09:30:00;0;0;1;0
2020-12-01 09:45:00;0;0;0;0
2020-12-01 10:00:00;0;0;0;0
2020-12-01 10:15:00;0;0;0;0
2020-12-01 10:30:00;0;0;0;0
2020-12-01 10:45:00;0;0;1;7
2020-12-01 11:00:00;0;0;0;0
2020-12-01 11:15:00;0;0;0;0
2020-12-01 11:30:00;0;0;0;0
2020-12-01 11:45:00;0;0;0;0
2020-12-01 12:00:00;0;0;1;0
2020-12-01 12:15:00;0;0;3;0
2020-12-01 12:30:00;0;0;2;4
2020-12-01 12:45:00;0;0;3;0
2020-12-01 13:00:00;0;0;5;4
2020-12-01 13:15:00;0;0;3;3
2020-12-01 13:30:00;0;0;0;1
2020-12-01 13:45:00;0;0;1;0
2020-12-01 14:00:00;0;0;0;0
2020-12-01 14:15:00;0;0;3;1
2020-12-01 14:30:00;0;0;0;0
2020-12-01 14:45:00;0;0;3;4
2020-12-01 15:00:00;0;0;5;0
2020-12-01 15:15:00;0;0;1;2
2020-12-01 15:30:00;0;0;4;1
2020-12-01 15:45:00;0;0;3;0
2020-12-01 16:00:00;0;0;4;0
2020-12-01 16:15:00;0;0;2;2
2020-12-01 16:30:00;0;0;1;0
2020-12-01 16:45:00;0;0;0;0
2020-12-01 17:00:00;0;0;0;0
2020-12-01 17:15:00;0;0;1;15
2020-12-01 17:30:00;0;0;0;0
2020-12-01 17:45:00;0;0;1;0
2020-12-01 18:00:00;0;0;1;0
2020-12-01 18:15:00;0;0;1;0
2020-12-01 18:30:00;0;0;0;0
2020-12-01 18:45:00;0;0;0;0
2020-12-01 19:00:00;0;0;0;0
2020-12-01 19:15:00;0;0;0;0
2020-12-01 19:30:00;0;0;1;1
2020-12-01 19:45:00;0;0;0;0
2020-12-01 20:00:00;0;0;0;0
2020-12-01 20:15:00;0;0;0;0
2020-12-01 20:30:00;0;0;0;0
2020-12-01 20:45:00;0;0;0;0
2020-12-01 21:00:00;0;0;0;0
2020-12-01 21:15:00;0;0;0;0
2020-12-01 21:30:00;0;0;0;0
2020-12-01 21:45:00;0;0;0;0
2020-12-01 22:00:00;0;0;0;0
2020-12-01 22:15:00;0;0;0;0
2020-12-01 22:30:00;0;0;0;0
2020-12-01 22:45:00;0;0;0;0
2020-12-01 23:00:00;0;0;0;0
2020-12-01 23:15:00;0;0;0;0
2020-12-01 23:30:00;0;0;0;0
