DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(DA4);11(DA5);12(DC4);13(DC5);14(DA6);15(DC6);16(TA1FBA);17(TA2FBA);18(TA1FBB);19(TA2FBB);20(TA1FBC);21(TA2FBC);22(TA1FBD);23(TA2FBD)
2019-12-28 00:00:00;13;13;4;6;26;17;2;3;2;4;3;1;0;17;33;0;0;0;0;0;0;0;0
2019-12-28 00:15:00;22;14;2;4;35;14;2;5;4;1;2;4;4;24;40;0;0;0;0;0;0;0;0
2019-12-28 00:30:00;19;16;0;3;15;11;2;2;6;1;2;1;1;23;18;0;0;0;0;0;0;0;0
2019-12-28 00:45:00;13;15;1;2;21;16;2;3;5;0;0;2;2;16;26;0;0;0;0;0;0;0;0
2019-12-28 01:00:00;11;9;0;1;18;10;3;2;1;2;2;0;0;13;23;0;0;0;0;0;0;0;0
2019-12-28 01:15:00;10;8;0;1;17;17;3;2;1;1;1;2;1;16;22;0;0;0;0;0;0;0;0
2019-12-28 01:30:00;11;15;3;4;16;10;5;1;3;1;1;1;1;19;22;0;0;0;0;0;0;0;0
2019-12-28 01:45:00;19;11;2;3;16;13;2;2;2;1;1;2;2;21;19;0;0;0;0;0;0;0;0
2019-12-28 02:00:00;16;12;1;1;12;9;2;1;0;1;1;1;1;18;17;0;0;0;0;0;0;0;0
2019-12-28 02:15:00;10;4;0;1;15;7;0;3;1;1;1;1;1;12;18;0;0;0;0;0;0;0;0
2019-12-28 02:30:00;12;5;1;1;9;7;2;0;1;1;1;0;0;13;14;0;0;0;0;0;0;0;0
2019-12-28 02:45:00;8;8;1;1;8;7;2;1;3;0;0;1;1;9;10;0;0;0;0;0;0;0;0
2019-12-28 03:00:00;12;12;1;0;12;6;1;3;6;1;1;1;1;15;14;0;0;0;0;0;0;0;0
2019-12-28 03:15:00;6;7;0;0;14;14;1;3;2;0;0;1;1;8;19;0;0;0;0;0;0;0;0
2019-12-28 03:30:00;8;5;1;0;11;9;0;0;1;1;1;0;0;8;17;0;0;0;0;0;0;0;0
2019-12-28 03:45:00;3;6;2;2;11;6;1;2;2;0;0;3;3;5;12;0;0;0;0;0;0;0;0
2019-12-28 04:00:00;8;7;0;1;8;7;0;0;1;1;0;0;0;9;11;0;0;0;0;0;0;0;0
2019-12-28 04:15:00;7;6;1;2;5;5;1;2;2;1;1;0;0;9;6;0;0;0;0;0;0;0;0
2019-12-28 04:30:00;11;6;1;2;7;8;2;2;2;2;1;0;0;11;10;0;0;0;0;0;0;0;0
