DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(DF1);10(DF2);11(D11RES);12(D12RES);13(D13RES);14(D14RES)
2020-07-25 00:00:00;16;16;20;5;18;6;9;5;7;11;0;0;0;0
2020-07-25 00:15:00;22;14;35;5;23;9;8;2;6;9;0;0;0;0
2020-07-25 00:30:00;21;13;29;5;7;10;11;4;11;8;0;0;0;0
2020-07-25 00:45:00;9;10;20;4;18;5;8;1;7;4;0;0;0;0
2020-07-25 01:00:00;5;2;18;4;14;12;4;1;6;4;0;0;0;0
2020-07-25 01:15:00;6;8;11;3;7;11;8;2;4;4;0;0;0;0
2020-07-25 01:30:00;4;4;12;3;8;5;8;3;5;7;0;0;0;0
2020-07-25 01:45:00;4;0;8;0;7;2;3;0;4;4;0;0;0;0
2020-07-25 02:00:00;3;4;6;1;13;10;7;1;5;2;0;0;0;0
2020-07-25 02:15:00;2;6;9;2;11;11;5;3;3;3;0;0;0;0
2020-07-25 02:30:00;4;10;14;3;10;6;4;1;3;1;0;0;0;0
2020-07-25 02:45:00;10;1;4;1;2;4;3;0;1;5;0;0;0;0
2020-07-25 03:00:00;4;3;5;0;9;5;2;0;2;4;0;0;0;0
2020-07-25 03:15:00;3;1;3;0;7;5;0;0;3;1;0;0;0;0
2020-07-25 03:30:00;1;3;4;0;2;2;2;0;0;1;0;0;0;0
2020-07-25 03:45:00;1;3;3;2;2;4;1;0;1;0;0;0;0;0
2020-07-25 04:00:00;7;1;9;0;6;2;1;1;1;4;0;0;0;0
2020-07-25 04:15:00;1;2;3;0;5;4;0;0;2;2;0;0;0;0
2020-07-25 04:30:00;1;3;6;0;3;3;3;1;5;1;0;0;0;0
2020-07-25 04:45:00;2;1;4;1;4;3;1;1;6;5;0;0;0;0
2020-07-25 05:00:00;9;5;9;1;10;4;2;3;7;5;0;0;0;0
2020-07-25 05:15:00;11;15;4;1;2;6;3;0;3;4;0;0;0;0
2020-07-25 05:30:00;22;14;23;8;11;9;6;0;7;9;0;0;0;0
2020-07-25 05:45:00;3;12;18;6;11;11;6;3;24;39;0;0;0;0
2020-07-25 06:00:00;4;9;14;2;21;16;4;0;44;61;0;0;0;0
2020-07-25 06:15:00;13;11;19;3;13;15;7;4;25;27;0;0;0;0
2020-07-25 06:30:00;8;7;18;1;17;17;9;1;15;21;0;0;0;0
2020-07-25 06:45:00;11;10;26;11;22;21;12;4;14;14;0;0;0;0
2020-07-25 07:00:00;11;6;25;8;16;13;17;3;7;15;0;0;0;0
2020-07-25 07:15:00;17;11;23;6;24;18;7;1;11;12;0;0;0;0
2020-07-25 07:30:00;15;11;35;11;34;20;9;2;19;17;0;0;0;0
2020-07-25 07:45:00;24;24;39;17;22;20;9;6;19;14;0;0;0;0
2020-07-25 08:00:00;14;15;43;8;24;21;10;5;12;12;0;0;0;0
2020-07-25 08:15:00;24;22;44;12;32;29;16;4;14;19;0;0;0;0
2020-07-25 08:30:00;28;19;55;19;33;32;25;7;27;18;0;0;0;0
2020-07-25 08:45:00;27;32;65;30;35;34;24;8;23;24;0;0;0;0
2020-07-25 09:00:00;28;27;63;27;53;27;17;4;28;24;0;0;0;0
2020-07-25 09:15:00;31;26;77;28;34;37;28;9;37;30;0;0;0;0
2020-07-25 09:30:00;40;27;100;38;49;40;32;12;30;29;0;0;0;0
