DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2019-09-04 00:00:00;1;1;0;0;4;3;6;3;6;2;1;0;0
2019-09-04 00:15:00;2;2;1;1;9;8;7;1;8;4;0;0;0
2019-09-04 00:30:00;3;1;0;1;6;10;7;5;3;2;4;0;0
2019-09-04 00:45:00;2;2;0;0;5;6;6;3;1;0;0;0;0
2019-09-04 01:00:00;1;0;0;0;3;2;5;1;3;2;0;0;0
2019-09-04 01:15:00;0;1;1;0;7;7;0;0;2;0;1;0;0
2019-09-04 01:30:00;1;1;0;0;3;4;2;0;0;0;1;0;0
2019-09-04 01:45:00;0;1;1;0;3;3;2;1;2;0;8;0;0
2019-09-04 02:00:00;0;2;0;0;1;0;3;2;2;1;0;0;0
2019-09-04 02:15:00;1;1;0;0;2;4;1;2;2;0;2;0;0
2019-09-04 02:30:00;4;2;0;0;4;4;2;0;1;1;2;0;0
2019-09-04 02:45:00;2;1;0;0;1;1;1;1;0;0;0;0;0
2019-09-04 03:00:00;1;3;0;0;2;2;3;1;0;0;4;0;1
2019-09-04 03:15:00;1;1;0;0;1;1;2;0;2;0;20;0;0
2019-09-04 03:30:00;0;2;0;0;0;0;2;2;1;1;20;0;0
2019-09-04 03:45:00;1;0;0;0;3;3;2;1;0;0;2;0;0
2019-09-04 04:00:00;0;1;1;0;3;3;3;2;1;2;0;0;0
2019-09-04 04:15:00;4;0;0;0;1;2;1;0;1;0;0;0;1
2019-09-04 04:30:00;0;0;0;0;6;6;6;2;2;0;0;0;0
2019-09-04 04:45:00;3;2;0;1;9;8;10;4;4;2;0;0;0
2019-09-04 05:00:00;0;4;0;0;10;9;22;15;3;2;1;0;0
2019-09-04 05:15:00;4;3;0;2;20;20;29;17;5;5;3;0;1
2019-09-04 05:30:00;5;3;1;0;13;17;47;25;13;5;3;1;0
2019-09-04 05:45:00;6;5;0;0;27;26;52;41;23;7;53;0;0
2019-09-04 06:00:00;14;8;0;0;34;36;30;24;22;9;190;0;1
2019-09-04 06:15:00;14;6;0;1;31;27;46;51;31;15;2;1;2
2019-09-04 06:30:00;7;8;0;2;36;47;78;72;34;12;3;2;0
2019-09-04 06:45:00;14;6;0;2;42;46;78;82;50;26;3;6;1
2019-09-04 07:00:00;15;4;0;3;40;49;79;72;41;21;7;2;2
2019-09-04 07:15:00;28;26;4;2;49;47;74;87;65;23;9;2;1
2019-09-04 07:30:00;24;19;0;2;57;44;85;79;55;24;9;1;0
2019-09-04 07:45:00;21;19;1;7;68;65;74;72;60;16;3;1;2
2019-09-04 08:00:00;25;21;6;11;76;56;73;65;53;24;2;0;2
2019-09-04 08:15:00;19;16;2;3;61;61;79;54;54;23;4;0;0
2019-09-04 08:30:00;32;26;2;3;61;47;67;42;58;18;1;0;2
2019-09-04 08:45:00;22;14;0;4;56;70;61;38;71;28;5;2;1
2019-09-04 09:00:00;31;11;0;2;63;49;57;21;50;15;4;3;1
2019-09-04 09:15:00;32;24;2;4;50;49;61;28;43;15;4;2;1
2019-09-04 09:30:00;19;18;1;2;56;52;58;24;50;12;6;2;0
2019-09-04 09:45:00;21;15;1;0;45;45;56;16;50;22;4;3;0
2019-09-04 10:00:00;34;23;0;1;38;43;57;28;36;16;5;2;1
2019-09-04 10:15:00;32;21;0;5;59;56;48;19;61;18;5;4;2
2019-09-04 10:30:00;30;16;2;7;55;54;64;24;45;22;3;2;3
2019-09-04 10:45:00;30;22;0;6;57;56;56;22;53;18;5;1;1
2019-09-04 11:00:00;34;19;1;2;52;48;46;18;41;18;6;2;2
2019-09-04 11:15:00;37;28;0;4;49;52;64;27;52;20;4;1;2
2019-09-04 11:30:00;38;25;5;2;61;67;61;26;40;12;4;2;1
2019-09-04 11:45:00;23;17;0;7;64;61;52;24;42;18;2;2;0
2019-09-04 12:00:00;47;28;1;5;72;67;62;32;48;19;17;3;1
2019-09-04 12:15:00;37;28;0;1;60;69;54;35;44;19;5;1;3
2019-09-04 12:30:00;29;20;3;6;67;68;49;16;43;12;7;2;0
2019-09-04 12:45:00;43;27;1;5;61;59;54;30;43;16;5;1;1
2019-09-04 13:00:00;37;28;0;4;60;58;69;44;44;18;8;4;0
2019-09-04 13:15:00;28;22;1;0;67;85;65;35;44;20;2;1;4
2019-09-04 13:30:00;30;27;4;5;68;74;74;39;43;26;9;0;1
2019-09-04 13:45:00;27;28;1;0;64;63;75;35;39;13;2;0;0
2019-09-04 14:00:00;32;18;1;5;86;94;52;21;33;18;5;4;0
2019-09-04 14:15:00;27;26;0;5;86;85;51;25;42;20;5;5;1
2019-09-04 14:30:00;36;34;0;1;90;97;44;25;59;26;10;1;1
2019-09-04 14:45:00;41;20;2;4;80;84;60;33;37;16;5;2;3
2019-09-04 15:00:00;39;26;2;3;85;94;44;24;35;18;6;0;1
2019-09-04 15:15:00;37;41;1;2;88;83;55;22;40;22;7;1;3
2019-09-04 15:30:00;44;34;0;1;89;107;59;32;45;24;4;2;0
2019-09-04 15:45:00;42;31;2;3;104;103;49;34;43;27;10;1;0
2019-09-04 16:00:00;48;46;4;4;126;120;72;43;41;27;11;5;5
2019-09-04 16:15:00;45;33;2;1;112;120;61;31;47;24;4;5;2
2019-09-04 16:30:00;44;41;0;1;94;101;57;34;38;25;7;4;3
2019-09-04 16:45:00;40;23;0;6;96;84;60;39;41;18;6;2;1
2019-09-04 17:00:00;38;44;4;3;94;92;61;36;47;25;5;3;0
2019-09-04 17:15:00;49;36;0;2;95;93;79;30;49;29;5;5;2
2019-09-04 17:30:00;35;31;2;5;85;81;53;28;41;27;5;2;2
2019-09-04 17:45:00;37;27;1;5;81;72;48;23;60;37;5;5;0
2019-09-04 18:00:00;28;21;4;4;80;77;49;35;39;24;5;0;1
2019-09-04 18:15:00;30;26;0;8;69;75;45;25;42;19;6;1;1
2019-09-04 18:30:00;36;26;2;1;48;58;53;27;51;18;37;0;3
2019-09-04 18:45:00;32;22;0;1;52;56;52;24;38;24;8;3;1
2019-09-04 19:00:00;26;18;2;0;37;52;49;18;38;21;6;0;0
2019-09-04 19:15:00;34;23;0;3;47;45;45;25;60;20;6;3;2
2019-09-04 19:30:00;18;15;0;2;40;42;40;12;37;17;1;1;1
2019-09-04 19:45:00;16;12;0;0;31;36;40;27;29;8;2;1;1
2019-09-04 20:00:00;26;23;2;3;40;51;39;22;28;13;4;1;1
2019-09-04 20:15:00;21;14;0;0;39;47;36;21;22;11;3;0;2
2019-09-04 20:30:00;16;19;3;1;30;26;26;10;21;12;1;0;0
2019-09-04 20:45:00;16;12;0;0;32;39;24;10;21;5;3;0;0
2019-09-04 21:00:00;24;12;1;0;37;33;20;7;15;8;9;0;1
2019-09-04 21:15:00;16;14;0;1;25;27;29;10;19;5;1;0;0
2019-09-04 21:30:00;13;16;0;0;24;24;25;16;15;4;1;0;0
2019-09-04 21:45:00;11;10;2;0;35;33;20;13;19;6;0;0;0
2019-09-04 22:00:00;13;8;0;0;34;44;23;10;13;2;3;0;0
2019-09-04 22:15:00;6;13;0;0;17;19;14;10;8;4;0;0;1
2019-09-04 22:30:00;4;3;1;0;18;29;11;9;10;6;1;0;2
2019-09-04 22:45:00;7;4;0;1;14;18;7;2;8;5;1;2;0
2019-09-04 23:00:00;10;11;2;1;20;22;9;6;13;4;0;0;0
2019-09-04 23:15:00;2;6;0;0;11;10;13;6;7;2;1;0;0
2019-09-04 23:30:00;3;5;0;0;9;10;5;7;3;0;2;0;0
2019-09-04 23:45:00;6;4;1;0;6;9;14;6;4;0;0;0;0
