DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2019-09-20 00:00:00;13;2;1;0;8;17;13;0;0;0;0;0;0;0
2019-09-20 00:15:00;7;2;0;2;11;14;18;0;0;0;0;0;0;0
2019-09-20 00:30:00;8;0;1;1;3;7;11;0;0;0;0;0;0;0
2019-09-20 00:45:00;7;0;1;1;5;11;16;0;0;0;0;0;0;0
2019-09-20 01:00:00;8;0;0;0;2;7;11;0;0;0;0;0;0;0
2019-09-20 01:15:00;5;0;2;2;7;13;8;0;0;0;0;0;0;0
2019-09-20 01:30:00;6;1;2;0;3;16;4;0;0;0;0;0;0;0
2019-09-20 01:45:00;0;0;1;1;3;9;3;0;0;0;0;0;0;0
2019-09-20 02:00:00;1;0;0;1;4;9;1;0;0;0;0;0;0;0
2019-09-20 02:15:00;2;1;0;1;7;2;2;0;0;0;0;0;0;0
2019-09-20 02:30:00;3;0;0;0;1;8;9;0;0;0;0;0;0;0
2019-09-20 02:45:00;3;0;0;0;5;5;6;0;0;0;0;0;0;0
2019-09-20 03:00:00;2;2;0;0;4;7;1;0;0;0;0;0;0;0
2019-09-20 03:15:00;3;0;0;0;5;8;4;0;0;0;0;0;0;0
2019-09-20 03:30:00;2;0;0;0;1;15;5;0;0;0;0;0;0;0
2019-09-20 03:45:00;7;0;1;0;3;9;9;0;0;0;0;0;0;0
2019-09-20 04:00:00;10;0;1;0;4;13;8;0;0;0;0;0;0;0
2019-09-20 04:15:00;9;0;0;0;9;16;6;0;0;0;0;0;0;0
2019-09-20 04:30:00;17;0;2;2;2;14;12;0;0;0;0;0;0;0
2019-09-20 04:45:00;17;0;1;1;7;30;35;0;0;0;0;0;0;0
2019-09-20 05:00:00;49;2;2;4;11;40;64;0;0;0;0;0;0;0
2019-09-20 05:15:00;104;3;4;5;13;46;144;0;0;0;0;0;0;0
2019-09-20 05:30:00;104;8;14;5;20;52;134;0;0;0;0;0;0;0
2019-09-20 05:45:00;87;5;14;4;51;95;103;0;0;0;0;0;0;0
2019-09-20 06:00:00;76;7;23;5;57;110;104;2;0;0;0;0;0;0
2019-09-20 06:15:00;115;10;22;10;60;131;134;0;0;0;0;0;0;0
2019-09-20 06:30:00;153;22;37;13;67;111;171;0;0;0;0;0;0;0
2019-09-20 06:45:00;160;30;35;9;68;110;178;0;0;0;0;0;0;0
2019-09-20 07:00:00;146;13;31;19;50;97;177;2;0;1;0;0;0;0
2019-09-20 07:15:00;164;41;56;23;82;128;163;3;0;0;0;0;0;0
2019-09-20 07:30:00;155;55;47;27;89;121;160;9;0;2;1;1;1;0
2019-09-20 07:45:00;142;58;45;24;92;119;158;4;0;2;0;0;0;0
2019-09-20 08:00:00;132;29;37;26;59;103;156;2;0;0;0;0;0;0
2019-09-20 08:15:00;121;22;35;25;72;118;138;1;0;0;0;0;0;0
2019-09-20 08:30:00;114;18;31;20;62;109;143;1;0;0;0;0;0;0
2019-09-20 08:45:00;118;18;24;24;68;112;159;11;0;0;0;0;0;0
2019-09-20 09:00:00;92;28;22;18;46;96;133;3;0;0;0;0;0;0
2019-09-20 09:15:00;81;20;27;22;67;117;111;6;0;0;0;0;0;0
2019-09-20 09:30:00;109;26;43;22;65;118;133;5;0;0;0;0;0;0
2019-09-20 09:45:00;100;20;22;18;55;102;145;0;0;4;0;0;0;0
2019-09-20 10:00:00;95;23;27;21;65;122;121;21;0;0;2;2;2;0
2019-09-20 10:15:00;96;27;26;19;75;115;139;0;0;2;0;0;0;0
2019-09-20 10:30:00;85;25;33;19;61;116;134;4;0;2;0;0;0;0
2019-09-20 10:45:00;95;27;31;15;62;106;142;0;0;3;0;0;0;0
2019-09-20 11:00:00;77;24;27;21;67;117;146;0;0;1;0;0;0;0
2019-09-20 11:15:00;84;18;30;21;76;117;103;3;0;1;0;0;0;0
2019-09-20 11:30:00;107;27;26;18;70;136;139;25;0;10;0;0;0;0
2019-09-20 11:45:00;92;25;49;18;80;152;147;1;0;0;0;0;0;0
2019-09-20 12:00:00;107;20;48;27;94;122;169;1;0;1;0;0;0;0
2019-09-20 12:15:00;129;31;47;18;99;144;165;3;0;12;0;0;0;0
2019-09-20 12:30:00;103;30;41;26;114;143;148;20;0;4;0;0;0;0
2019-09-20 12:45:00;123;40;44;24;117;116;150;3;0;4;0;0;0;0
2019-09-20 13:00:00;119;34;36;23;87;150;149;0;0;8;0;0;0;0
2019-09-20 13:15:00;139;47;42;23;97;97;149;7;0;3;0;0;0;0
