DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2019-09-14 00:00:00;17;23;27;18;0;1;0
2019-09-14 00:15:00;17;30;24;15;4;5;0
2019-09-14 00:30:00;22;18;18;18;2;9;0
2019-09-14 00:45:00;21;18;24;12;1;4;0
2019-09-14 01:00:00;7;18;16;13;1;2;0
2019-09-14 01:15:00;15;17;21;7;2;5;0
2019-09-14 01:30:00;18;14;14;13;2;2;0
2019-09-14 01:45:00;11;14;21;9;1;3;0
2019-09-14 02:00:00;13;11;9;9;2;2;0
2019-09-14 02:15:00;12;14;11;9;2;2;0
2019-09-14 02:30:00;10;15;11;13;4;3;0
2019-09-14 02:45:00;9;13;11;7;4;2;0
2019-09-14 03:00:00;13;10;7;2;0;1;0
2019-09-14 03:15:00;7;8;6;10;0;2;0
2019-09-14 03:30:00;9;11;9;8;2;2;0
2019-09-14 03:45:00;7;8;5;3;2;1;0
2019-09-14 04:00:00;6;7;14;5;0;0;0
2019-09-14 04:15:00;5;9;9;13;1;1;0
2019-09-14 04:30:00;8;11;8;2;2;0;0
2019-09-14 04:45:00;5;9;10;5;2;2;0
2019-09-14 05:00:00;6;14;19;5;1;2;0
2019-09-14 05:15:00;10;20;26;19;4;2;0
2019-09-14 05:30:00;21;29;50;30;4;3;0
2019-09-14 05:45:00;88;107;37;32;12;4;0
2019-09-14 06:00:00;108;131;31;27;6;3;0
2019-09-14 06:15:00;66;97;32;30;2;5;0
2019-09-14 06:30:00;36;45;44;24;7;4;0
2019-09-14 06:45:00;35;35;44;29;7;8;0
2019-09-14 07:00:00;33;44;39;23;3;6;0
2019-09-14 07:15:00;30;42;40;21;6;7;0
2019-09-14 07:30:00;44;50;40;28;113;10;0
2019-09-14 07:45:00;33;53;39;34;13;6;0
2019-09-14 08:00:00;33;48;45;35;7;15;1
2019-09-14 08:15:00;34;54;48;41;12;6;0
2019-09-14 08:30:00;44;61;61;64;22;9;0
2019-09-14 08:45:00;53;75;66;75;10;11;0
2019-09-14 09:00:00;47;82;67;74;21;14;1
2019-09-14 09:15:00;60;89;86;91;21;18;0
2019-09-14 09:30:00;74;86;100;99;17;14;0
2019-09-14 09:45:00;71;109;90;104;22;18;0
2019-09-14 10:00:00;74;111;91;100;24;20;0
2019-09-14 10:15:00;79;124;90;108;19;22;0
2019-09-14 10:30:00;83;112;99;116;17;19;0
2019-09-14 10:45:00;71;115;118;123;30;15;0
2019-09-14 11:00:00;82;134;120;118;20;22;0
2019-09-14 11:15:00;78;133;98;110;26;32;0
2019-09-14 11:30:00;85;133;132;132;66;16;1
2019-09-14 11:45:00;79;137;109;103;64;16;3
2019-09-14 12:00:00;101;136;124;116;19;29;0
2019-09-14 12:15:00;87;136;114;123;29;28;0
2019-09-14 12:30:00;108;141;109;124;20;33;0
2019-09-14 12:45:00;70;138;127;119;21;15;1
2019-09-14 13:00:00;81;142;128;149;22;22;2
2019-09-14 13:15:00;88;169;140;125;26;31;0
2019-09-14 13:30:00;72;131;122;128;21;31;1
2019-09-14 13:45:00;97;168;118;98;21;27;0
2019-09-14 14:00:00;105;159;114;110;23;26;19
2019-09-14 14:15:00;91;151;120;117;60;27;0
2019-09-14 14:30:00;90;159;137;136;25;26;3
2019-09-14 14:45:00;95;138;135;138;23;30;3
2019-09-14 15:00:00;88;133;116;117;24;38;0
2019-09-14 15:15:00;92;149;119;118;30;27;12
2019-09-14 15:30:00;92;158;143;143;31;40;1
2019-09-14 15:45:00;94;135;130;131;28;36;11
2019-09-14 16:00:00;96;121;110;119;195;25;2
2019-09-14 16:15:00;80;134;121;110;23;27;0
2019-09-14 16:30:00;81;143;115;126;25;29;1
2019-09-14 16:45:00;89;154;114;120;24;36;0
2019-09-14 17:00:00;94;152;103;122;14;26;5
2019-09-14 17:15:00;92;157;108;110;23;28;4
2019-09-14 17:30:00;88;141;109;123;17;31;0
2019-09-14 17:45:00;85;149;127;127;23;43;7
2019-09-14 18:00:00;86;133;115;107;26;35;0
2019-09-14 18:15:00;94;136;107;123;21;23;2
2019-09-14 18:30:00;77;101;128;126;19;32;0
2019-09-14 18:45:00;88;123;107;105;20;36;0
2019-09-14 19:00:00;77;101;107;99;15;27;1
2019-09-14 19:15:00;63;128;93;111;17;21;5
2019-09-14 19:30:00;70;100;107;81;13;13;0
2019-09-14 19:45:00;75;113;85;114;11;19;0
2019-09-14 20:00:00;80;115;84;65;10;22;0
2019-09-14 20:15:00;66;98;77;72;5;12;0
2019-09-14 20:30:00;53;69;72;62;5;12;0
2019-09-14 20:45:00;51;65;53;59;4;11;0
2019-09-14 21:00:00;65;75;74;59;9;5;0
2019-09-14 21:15:00;36;46;55;50;7;9;0
2019-09-14 21:30:00;38;53;58;42;8;5;0
2019-09-14 21:45:00;42;52;54;38;10;11;0
2019-09-14 22:00:00;57;61;54;45;4;7;0
2019-09-14 22:15:00;36;50;40;42;5;5;0
2019-09-14 22:30:00;46;47;45;34;6;4;1
2019-09-14 22:45:00;34;39;44;31;1;8;0
2019-09-14 23:00:00;34;46;40;28;5;7;0
2019-09-14 23:15:00;30;33;28;25;1;1;0
2019-09-14 23:30:00;38;39;39;36;2;6;0
2019-09-14 23:45:00;25;26;32;30;2;3;0
