DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2020-03-19 00:00:00;4;6;6;0;9;11;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 00:15:00;8;8;3;0;8;8;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 00:30:00;8;7;2;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 00:45:00;2;4;5;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 01:00:00;2;4;1;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 01:15:00;6;8;4;0;4;5;2;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 01:30:00;2;3;5;1;3;5;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 01:45:00;3;2;1;0;4;5;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 02:00:00;1;2;1;0;4;6;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 02:15:00;4;6;4;1;10;8;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 02:30:00;2;3;2;0;5;6;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 02:45:00;3;4;1;0;5;6;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 03:00:00;2;2;2;1;5;4;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 03:15:00;3;5;4;2;4;5;4;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 03:30:00;3;4;3;0;5;6;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 03:45:00;0;1;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 04:00:00;8;11;6;0;6;5;3;6;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 04:15:00;7;11;3;0;16;9;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 04:30:00;13;11;1;1;11;12;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 04:45:00;21;23;13;2;12;14;8;13;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 05:00:00;48;64;33;3;29;26;16;31;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 05:15:00;62;80;49;5;39;35;22;45;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 05:30:00;43;61;33;7;40;30;16;28;0;0;0;0;0;0;1;1;0;0;0
2020-03-19 05:45:00;51;61;41;5;59;53;23;38;0;0;0;0;0;0;0;1;0;0;0
2020-03-19 06:00:00;45;66;46;9;68;60;36;54;3;5;0;0;0;0;0;3;0;0;0
2020-03-19 06:15:00;60;71;48;9;78;73;42;59;4;1;0;0;0;0;4;1;0;0;0
2020-03-19 06:30:00;69;88;63;18;64;60;36;68;8;7;0;0;0;0;0;5;0;0;0
2020-03-19 06:45:00;61;77;58;8;59;60;35;58;11;11;0;0;0;0;0;1;0;0;0
2020-03-19 07:00:00;73;103;68;11;64;49;42;62;10;10;0;0;0;0;0;5;0;0;0
2020-03-19 07:15:00;67;105;71;18;73;75;35;63;6;2;0;0;0;0;0;3;1;0;0
2020-03-19 07:30:00;85;94;55;19;65;61;32;73;13;8;0;0;0;0;0;6;1;0;0
2020-03-19 07:45:00;81;103;72;18;66;72;54;75;11;8;0;0;0;0;0;7;1;0;0
2020-03-19 08:00:00;87;97;60;10;70;69;38;65;9;8;0;0;0;0;0;4;0;0;0
2020-03-19 08:15:00;67;101;69;12;64;73;37;82;13;8;0;0;0;0;0;7;0;0;0
2020-03-19 08:30:00;69;98;70;18;81;63;39;65;15;7;0;0;0;0;0;4;0;0;0
2020-03-19 08:45:00;79;100;72;12;78;70;45;108;18;12;0;0;0;0;0;8;0;5;0
2020-03-19 09:00:00;79;91;71;11;71;98;52;71;13;15;0;0;0;0;18;6;0;0;0
2020-03-19 09:15:00;80;84;65;16;73;94;38;70;16;8;0;0;0;0;0;10;7;1;0
2020-03-19 09:30:00;78;92;55;20;76;67;40;46;16;8;0;0;0;0;0;9;0;0;0
2020-03-19 09:45:00;87;104;70;5;88;84;50;78;22;22;0;0;0;0;0;7;2;0;0
2020-03-19 10:00:00;72;95;74;15;82;81;46;64;18;19;0;0;0;0;0;10;15;0;0
2020-03-19 10:15:00;89;96;70;18;89;93;36;66;20;17;0;0;0;0;0;7;1;0;0
2020-03-19 10:30:00;74;90;52;19;85;90;34;61;17;12;0;0;0;0;0;9;0;0;0
2020-03-19 10:45:00;68;88;54;16;93;109;43;71;30;18;0;0;0;0;0;7;0;4;0
2020-03-19 11:00:00;68;94;60;11;85;84;39;61;22;11;0;0;0;0;0;11;1;0;0
2020-03-19 11:15:00;81;98;62;11;82;72;36;71;11;13;0;0;0;0;0;7;0;0;0
2020-03-19 11:30:00;74;85;76;17;107;101;38;92;32;21;0;0;0;0;0;12;0;0;2
2020-03-19 11:45:00;84;95;60;11;85;106;38;66;18;12;0;0;0;0;0;7;8;0;0
2020-03-19 12:00:00;82;96;65;7;102;135;31;69;15;8;0;0;0;0;0;11;2;0;0
2020-03-19 12:15:00;69;101;72;9;79;91;52;66;10;15;0;0;0;0;0;5;1;0;0
2020-03-19 12:30:00;77;98;66;14;93;93;40;74;17;11;0;0;0;0;0;7;17;0;5
2020-03-19 12:45:00;78;100;76;13;95;107;44;71;16;14;0;0;0;0;0;10;8;0;0
2020-03-19 13:00:00;65;88;51;13;94;89;38;57;10;9;0;0;0;0;0;4;0;0;0
2020-03-19 13:15:00;89;103;71;22;82;87;55;75;16;12;0;0;0;0;0;5;0;0;0
2020-03-19 13:30:00;80;93;86;17;86;98;53;81;13;12;0;0;0;0;0;8;0;0;0
2020-03-19 13:45:00;80;94;69;14;87;95;37;63;14;12;0;0;0;0;0;7;9;0;2
2020-03-19 14:00:00;68;80;56;10;98;98;36;88;20;12;0;0;0;0;0;8;3;0;1
2020-03-19 14:15:00;72;80;62;12;105;103;42;70;17;11;0;0;0;0;1;8;0;0;0
2020-03-19 14:30:00;89;108;57;14;134;128;31;72;18;15;0;0;0;0;0;7;1;0;0
2020-03-19 14:45:00;87;108;70;17;123;113;53;81;15;10;0;0;0;0;0;4;3;0;0
2020-03-19 15:00:00;72;85;64;11;85;97;43;72;21;10;0;0;0;0;0;5;2;0;0
2020-03-19 15:15:00;82;99;64;13;111;104;44;63;14;19;0;0;0;0;0;6;0;0;0
2020-03-19 15:30:00;76;89;68;13;101;96;38;56;18;10;0;0;0;0;0;9;1;0;0
2020-03-19 15:45:00;77;106;64;13;92;102;46;69;15;9;0;0;0;0;0;9;0;0;0
2020-03-19 16:00:00;81;99;54;12;105;100;47;58;22;11;0;0;0;0;0;11;19;4;0
2020-03-19 16:15:00;94;109;66;20;134;135;39;73;14;15;0;0;0;0;3;9;13;0;0
2020-03-19 16:30:00;92;130;68;17;110;107;44;66;14;11;0;0;0;0;0;7;2;2;0
2020-03-19 16:45:00;80;99;66;12;115;120;44;67;24;14;0;0;0;0;0;11;2;0;0
2020-03-19 17:00:00;81;100;66;17;123;114;46;80;21;10;0;0;0;0;0;11;7;2;0
2020-03-19 17:15:00;77;105;81;10;122;108;37;67;17;12;0;0;0;0;0;6;6;0;0
2020-03-19 17:30:00;84;114;74;10;95;90;49;76;18;7;0;0;0;0;0;6;7;1;0
2020-03-19 17:45:00;79;104;58;17;76;79;35;57;19;12;0;0;0;0;1;8;21;0;0
2020-03-19 18:00:00;67;73;40;8;90;72;35;53;13;9;0;0;0;0;0;4;12;0;2
2020-03-19 18:15:00;72;92;66;2;78;79;43;69;16;11;0;0;0;0;0;13;0;0;0
2020-03-19 18:30:00;60;74;45;10;91;84;30;57;15;12;0;0;0;0;0;9;2;0;14
2020-03-19 18:45:00;61;64;52;10;70;70;28;50;13;2;0;0;0;0;0;2;1;0;0
2020-03-19 19:00:00;54;80;52;6;73;61;30;51;18;10;0;0;0;0;0;3;4;0;0
2020-03-19 19:15:00;37;58;42;7;56;63;24;43;13;6;0;0;0;0;0;4;12;0;0
2020-03-19 19:30:00;40;60;41;5;36;40;19;44;15;8;0;0;0;0;0;2;3;0;0
2020-03-19 19:45:00;25;39;24;3;32;29;21;30;7;3;0;0;0;0;0;2;5;0;0
2020-03-19 20:00:00;30;38;22;8;40;38;14;27;9;4;0;0;0;0;0;1;3;0;0
2020-03-19 20:15:00;31;39;20;4;42;32;9;23;2;2;0;0;0;0;0;1;0;0;0
2020-03-19 20:30:00;40;44;25;1;35;25;13;30;4;1;0;0;0;0;0;0;0;0;0
2020-03-19 20:45:00;41;45;30;1;32;23;17;31;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 21:00:00;35;51;21;1;25;20;7;20;0;0;0;0;0;0;0;1;0;0;0
2020-03-19 21:15:00;30;49;28;4;27;25;12;26;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 21:30:00;20;23;15;2;18;16;8;14;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 21:45:00;20;32;15;3;34;32;9;15;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 22:00:00;15;20;12;1;60;47;4;15;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 22:15:00;21;18;13;1;53;39;5;12;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 22:30:00;18;16;4;2;30;26;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 22:45:00;15;15;8;1;21;13;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 23:00:00;19;18;9;1;13;15;5;10;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 23:15:00;17;15;7;0;18;16;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 23:30:00;8;12;7;0;9;11;4;7;0;0;0;0;0;0;0;0;0;0;0
2020-03-19 23:45:00;9;16;5;0;9;10;2;6;0;0;0;0;0;0;0;0;0;0;0
