DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-02-02 00:00:00;22;4;3;12;4;9;11;4;4
2020-02-02 00:15:00;19;7;2;10;2;13;7;3;3
2020-02-02 00:30:00;33;9;2;10;7;13;1;4;4
2020-02-02 00:45:00;18;6;5;4;3;11;7;2;2
2020-02-02 01:00:00;24;6;4;10;9;12;6;1;1
2020-02-02 01:15:00;29;11;4;10;2;17;6;2;2
2020-02-02 01:30:00;16;5;1;11;2;6;4;0;0
2020-02-02 01:45:00;16;5;2;11;5;8;6;1;1
2020-02-02 02:00:00;9;3;2;5;2;8;1;1;1
2020-02-02 02:15:00;19;3;4;5;0;2;3;1;1
2020-02-02 02:30:00;10;6;3;2;2;6;3;2;2
2020-02-02 02:45:00;11;5;0;10;0;4;1;1;1
2020-02-02 03:00:00;8;3;1;3;1;7;3;0;0
2020-02-02 03:15:00;14;4;0;5;0;6;4;0;0
2020-02-02 03:30:00;4;5;1;1;1;5;4;1;1
2020-02-02 03:45:00;5;1;0;4;3;7;4;1;1
2020-02-02 04:00:00;2;2;0;5;1;4;3;0;0
2020-02-02 04:15:00;2;6;1;7;0;3;1;1;1
2020-02-02 04:30:00;3;1;1;5;1;10;9;1;1
2020-02-02 04:45:00;6;5;0;5;2;10;3;0;0
2020-02-02 05:00:00;10;7;3;10;3;4;3;1;1
2020-02-02 05:15:00;4;5;5;4;3;6;5;1;1
2020-02-02 05:30:00;5;7;2;3;2;9;4;1;1
2020-02-02 05:45:00;7;4;4;1;2;11;7;0;0
2020-02-02 06:00:00;12;1;3;5;2;8;7;1;1
2020-02-02 06:15:00;6;2;1;8;2;12;6;1;1
2020-02-02 06:30:00;6;1;0;9;1;4;5;0;0
2020-02-02 06:45:00;6;3;0;6;0;8;5;0;0
2020-02-02 07:00:00;6;3;1;9;4;12;4;0;0
2020-02-02 07:15:00;10;8;1;2;4;6;4;1;1
2020-02-02 07:30:00;14;5;1;4;1;8;7;1;2
2020-02-02 07:45:00;15;9;1;4;1;12;22;4;3
2020-02-02 08:00:00;8;4;4;10;2;14;10;0;0
2020-02-02 08:15:00;11;3;5;6;1;15;14;1;1
2020-02-02 08:30:00;16;10;2;13;4;12;10;0;0
2020-02-02 08:45:00;28;10;7;17;4;19;15;1;1
2020-02-02 09:00:00;19;9;7;14;6;24;25;4;4
2020-02-02 09:15:00;32;7;5;14;8;27;33;2;2
2020-02-02 09:30:00;31;17;5;20;6;38;43;3;3
2020-02-02 09:45:00;41;12;5;20;9;27;27;2;2
2020-02-02 10:00:00;56;23;10;23;7;24;21;3;3
2020-02-02 10:15:00;44;14;6;18;5;36;31;1;2
2020-02-02 10:30:00;46;26;10;19;13;31;34;2;1
2020-02-02 10:45:00;42;32;6;25;22;28;32;7;7
2020-02-02 11:00:00;73;26;11;23;13;26;34;11;11
2020-02-02 11:15:00;59;18;11;28;19;32;48;2;2
2020-02-02 11:30:00;55;25;9;34;14;35;26;4;4
2020-02-02 11:45:00;43;22;9;22;15;35;40;4;4
2020-02-02 12:00:00;55;19;7;29;25;25;34;6;6
2020-02-02 12:15:00;57;27;13;26;17;28;33;8;8
2020-02-02 12:30:00;34;22;11;33;15;33;31;3;3
2020-02-02 12:45:00;46;19;17;19;10;34;34;6;6
2020-02-02 13:00:00;47;30;13;30;13;34;37;7;7
2020-02-02 13:15:00;70;24;8;19;15;44;41;7;7
2020-02-02 13:30:00;57;32;11;39;17;43;50;8;8
2020-02-02 13:45:00;64;20;22;33;22;33;48;8;8
2020-02-02 14:00:00;57;38;13;33;25;35;31;5;5
2020-02-02 14:15:00;58;23;21;33;22;39;50;9;9
2020-02-02 14:30:00;50;33;15;29;24;43;43;13;13
2020-02-02 14:45:00;74;33;12;36;28;42;40;6;6
2020-02-02 15:00:00;49;37;11;35;22;41;44;5;5
2020-02-02 15:15:00;42;18;10;34;25;38;39;9;9
2020-02-02 15:30:00;49;30;9;33;20;31;42;10;10
2020-02-02 15:45:00;49;26;18;25;25;41;38;9;9
2020-02-02 16:00:00;46;26;17;27;16;37;39;9;9
2020-02-02 16:15:00;49;35;19;33;35;37;42;8;8
2020-02-02 16:30:00;58;33;15;43;27;41;50;8;8
2020-02-02 16:45:00;55;28;16;36;22;47;53;6;7
2020-02-02 17:00:00;40;23;23;38;30;50;55;12;11
2020-02-02 17:15:00;65;27;14;49;24;36;44;8;8
2020-02-02 17:30:00;56;24;13;27;24;44;39;7;7
2020-02-02 17:45:00;54;33;19;35;31;57;56;9;9
2020-02-02 18:00:00;44;23;20;39;19;43;56;9;9
2020-02-02 18:15:00;40;20;8;32;17;40;58;9;9
2020-02-02 18:30:00;46;20;12;24;17;35;47;9;9
2020-02-02 18:45:00;35;19;13;20;9;38;32;5;5
2020-02-02 19:00:00;39;20;4;24;17;37;25;8;10
2020-02-02 19:15:00;30;13;9;20;14;32;37;10;8
2020-02-02 19:30:00;53;24;13;23;17;38;38;11;11
2020-02-02 19:45:00;43;21;9;23;16;40;33;4;4
2020-02-02 20:00:00;37;21;11;18;11;37;30;7;6
2020-02-02 20:15:00;46;17;14;18;13;28;23;4;4
2020-02-02 20:30:00;41;19;9;19;19;24;19;2;2
2020-02-02 20:45:00;37;19;8;17;7;34;24;10;10
2020-02-02 21:00:00;25;9;4;20;12;23;14;7;7
2020-02-02 21:15:00;19;12;7;20;7;23;13;7;7
2020-02-02 21:30:00;43;13;5;24;15;29;16;5;5
2020-02-02 21:45:00;36;7;8;11;7;23;6;7;7
2020-02-02 22:00:00;27;9;11;17;8;15;11;3;4
2020-02-02 22:15:00;19;8;7;10;8;11;7;2;2
2020-02-02 22:30:00;15;8;10;16;6;13;9;6;5
2020-02-02 22:45:00;12;10;7;12;8;11;6;5;5
2020-02-02 23:00:00;10;5;5;9;3;7;6;8;8
2020-02-02 23:15:00;15;1;3;8;1;17;4;8;8
2020-02-02 23:30:00;11;1;1;11;3;7;7;1;1
2020-02-02 23:45:00;7;3;3;5;1;6;6;4;4
