DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-08-03 00:00:00;8;9;3;5;1;9;7;2;5;6;0
2020-08-03 00:15:00;8;8;2;4;1;14;8;2;4;2;1
2020-08-03 00:30:00;10;6;2;3;2;15;5;0;3;7;0
2020-08-03 00:45:00;8;6;0;7;4;10;8;3;1;3;0
2020-08-03 01:00:00;4;2;0;4;1;3;3;0;1;1;0
2020-08-03 01:15:00;4;12;2;1;1;10;8;1;0;3;2
2020-08-03 01:30:00;9;4;0;1;2;4;5;1;1;1;0
2020-08-03 01:45:00;9;3;0;1;1;12;10;3;1;5;2
2020-08-03 02:00:00;6;5;0;4;4;5;3;0;0;1;0
2020-08-03 02:15:00;12;9;0;2;3;3;1;0;1;1;0
2020-08-03 02:30:00;9;6;2;0;0;4;7;2;1;4;2
2020-08-03 02:45:00;4;2;0;2;3;5;6;2;0;2;0
2020-08-03 03:00:00;3;3;1;1;2;5;2;0;1;1;0
2020-08-03 03:15:00;3;3;0;1;1;2;6;2;0;0;0
2020-08-03 03:30:00;6;6;1;1;0;1;2;1;2;2;0
2020-08-03 03:45:00;8;4;2;3;3;9;11;0;0;0;0
2020-08-03 04:00:00;10;7;0;1;4;5;2;0;1;1;0
2020-08-03 04:15:00;7;9;1;4;1;7;8;2;1;0;0
2020-08-03 04:30:00;18;12;2;0;3;15;5;0;1;2;1
2020-08-03 04:45:00;18;18;1;6;3;15;7;2;2;5;2
2020-08-03 05:00:00;28;26;1;5;6;27;14;1;2;2;0
2020-08-03 05:15:00;31;19;4;9;8;45;32;2;5;14;6
2020-08-03 05:30:00;31;23;13;24;7;75;65;4;9;15;7
2020-08-03 05:45:00;38;35;8;29;21;89;91;10;7;17;5
2020-08-03 06:00:00;44;53;9;27;13;82;80;5;3;17;8
2020-08-03 06:15:00;38;36;13;39;15;89;92;6;9;19;4
2020-08-03 06:30:00;53;60;17;35;21;97;114;10;13;23;6
2020-08-03 06:45:00;63;64;14;43;13;94;114;9;13;22;10
2020-08-03 07:00:00;52;50;9;37;16;94;110;20;15;23;7
2020-08-03 07:15:00;50;50;12;54;20;107;122;17;19;39;15
2020-08-03 07:30:00;57;47;9;59;22;99;109;18;17;31;12
2020-08-03 07:45:00;68;75;18;67;25;104;112;23;30;42;15
2020-08-03 08:00:00;61;64;18;45;24;94;96;16;20;32;17
2020-08-03 08:15:00;58;50;11;61;27;92;86;13;16;30;15
2020-08-03 08:30:00;62;55;10;61;17;97;84;24;20;38;15
2020-08-03 08:45:00;76;66;20;68;17;67;84;21;21;37;14
2020-08-03 09:00:00;63;55;19;51;26;67;61;17;17;31;15
2020-08-03 09:15:00;54;58;12;54;13;73;66;16;27;52;29
