DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2019-10-10 00:00:00;8;0;1;1;3;14;12;0;0;0;0;0;0;0
2019-10-10 00:15:00;10;1;1;1;2;16;12;0;0;0;0;0;0;0
2019-10-10 00:30:00;12;2;1;1;3;13;17;0;0;0;0;0;0;0
2019-10-10 00:45:00;8;0;0;0;1;8;14;0;0;0;0;0;0;0
2019-10-10 01:00:00;9;1;1;1;1;5;10;0;0;0;0;0;0;0
2019-10-10 01:15:00;3;1;0;0;3;7;2;0;0;0;0;0;0;0
2019-10-10 01:30:00;6;0;1;0;1;3;6;0;0;0;0;0;0;0
2019-10-10 01:45:00;3;0;0;0;4;10;7;0;0;0;0;0;0;0
2019-10-10 02:00:00;2;0;0;0;2;7;4;0;0;0;0;0;0;0
2019-10-10 02:15:00;1;3;0;2;4;7;2;0;0;0;0;0;0;0
2019-10-10 02:30:00;2;0;0;0;3;6;2;0;0;0;0;0;0;0
2019-10-10 02:45:00;2;0;0;0;6;10;4;0;0;0;0;0;0;0
2019-10-10 03:00:00;4;0;1;1;1;3;8;0;0;0;0;0;0;0
2019-10-10 03:15:00;4;1;0;1;1;6;3;0;0;0;0;0;0;0
2019-10-10 03:30:00;5;0;0;0;4;8;2;0;0;0;0;0;0;0
2019-10-10 03:45:00;7;0;0;0;4;14;6;0;0;0;0;0;0;0
2019-10-10 04:00:00;7;3;3;2;3;14;10;0;0;0;0;0;0;0
2019-10-10 04:15:00;7;0;0;0;5;25;14;0;0;0;0;0;0;0
2019-10-10 04:30:00;8;0;0;0;11;25;19;0;0;0;0;0;0;0
2019-10-10 04:45:00;21;1;2;1;3;20;16;0;0;0;0;0;0;0
2019-10-10 05:00:00;56;2;1;0;5;40;69;0;0;0;0;0;0;0
2019-10-10 05:15:00;107;2;3;3;14;53;123;0;0;0;0;0;0;0
2019-10-10 05:30:00;105;9;23;8;26;67;123;1;0;0;0;0;0;5
2019-10-10 05:45:00;85;9;26;6;51;93;122;2;0;0;0;0;0;0
2019-10-10 06:00:00;89;7;29;8;63;116;111;2;0;0;0;0;0;0
2019-10-10 06:15:00;131;13;29;10;69;132;152;0;0;0;0;0;0;0
2019-10-10 06:30:00;169;19;45;17;65;124;194;6;0;0;0;0;0;1
2019-10-10 06:45:00;179;38;36;9;55;100;186;0;0;0;0;0;0;0
2019-10-10 07:00:00;176;42;43;21;78;113;183;0;0;1;0;0;0;0
2019-10-10 07:15:00;171;46;51;21;79;130;168;1;0;3;0;0;0;0
2019-10-10 07:30:00;162;52;48;36;75;98;163;19;0;3;0;0;0;0
2019-10-10 07:45:00;121;49;76;38;84;110;120;9;0;3;0;0;0;0
2019-10-10 08:00:00;146;51;41;23;102;113;148;3;0;0;0;0;0;0
2019-10-10 08:15:00;159;53;26;25;56;111;175;0;0;0;0;0;0;1
2019-10-10 08:30:00;161;41;42;21;82;120;154;0;0;0;0;0;0;0
2019-10-10 08:45:00;124;19;26;17;68;122;164;5;0;0;0;0;0;0
2019-10-10 09:00:00;112;22;18;15;64;112;137;1;0;0;0;0;0;0
2019-10-10 09:15:00;101;18;27;13;61;112;159;3;0;0;0;0;0;0
2019-10-10 09:30:00;122;23;29;13;60;103;145;3;1;3;0;0;0;0
2019-10-10 09:45:00;102;24;26;16;70;136;148;3;2;0;0;0;0;0
2019-10-10 10:00:00;100;29;24;14;65;124;141;0;0;0;0;0;0;0
2019-10-10 10:15:00;108;23;30;24;78;138;145;4;0;0;3;3;3;0
2019-10-10 10:30:00;88;27;25;13;57;102;142;0;0;5;0;0;0;0
2019-10-10 10:45:00;116;23;28;21;76;127;157;2;0;0;0;0;0;0
2019-10-10 11:00:00;92;24;33;19;89;132;140;4;0;1;0;0;0;0
2019-10-10 11:15:00;104;16;25;11;71;128;133;2;0;3;0;0;0;0
2019-10-10 11:30:00;110;35;32;17;88;119;135;0;0;0;0;0;0;0
2019-10-10 11:45:00;87;23;25;15;81;143;146;3;0;0;0;0;0;0
2019-10-10 12:00:00;115;24;32;26;83;135;139;5;0;3;0;0;0;2
2019-10-10 12:15:00;100;32;35;12;76;143;139;2;0;0;0;0;0;0
2019-10-10 12:30:00;102;16;31;17;84;132;163;0;0;0;0;0;0;0
2019-10-10 12:45:00;120;20;38;22;83;134;159;0;0;10;0;0;0;0
2019-10-10 13:00:00;120;24;25;17;99;139;145;13;0;3;1;1;1;4
