DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-12-08 00:00:00;0;2;0;1;1;0;1;1;2;0
2020-12-08 00:15:00;3;5;1;6;6;1;7;6;4;3
2020-12-08 00:30:00;0;1;0;3;3;0;3;4;1;0
2020-12-08 00:45:00;2;4;0;3;1;1;0;2;2;2
2020-12-08 01:00:00;0;1;0;1;5;1;5;1;1;1
2020-12-08 01:15:00;0;2;0;5;3;1;3;3;2;0
2020-12-08 01:30:00;0;3;1;3;1;0;1;2;3;0
2020-12-08 01:45:00;1;5;0;3;0;0;1;4;4;1
2020-12-08 02:00:00;2;7;0;3;2;2;2;2;3;4
2020-12-08 02:15:00;0;1;2;2;2;1;2;1;0;0
2020-12-08 02:30:00;0;2;0;3;3;0;2;1;2;0
2020-12-08 02:45:00;0;1;2;0;1;1;1;2;2;1
2020-12-08 03:00:00;0;1;0;0;0;0;0;0;1;1
2020-12-08 03:15:00;1;3;0;2;0;3;0;0;2;0
2020-12-08 03:30:00;3;5;0;3;5;1;4;1;1;4
2020-12-08 03:45:00;0;1;0;3;4;1;3;4;1;0
2020-12-08 04:00:00;1;3;0;2;2;0;2;3;2;2
2020-12-08 04:15:00;0;3;1;2;4;1;4;1;3;0
2020-12-08 04:30:00;3;4;0;4;5;1;5;2;1;2
2020-12-08 04:45:00;3;11;3;7;17;2;18;7;11;8
2020-12-08 05:00:00;14;28;1;18;31;4;31;18;13;20
2020-12-08 05:15:00;14;42;7;28;40;6;44;28;30;25
2020-12-08 05:30:00;20;40;1;44;48;15;59;42;23;26
2020-12-08 05:45:00;25;67;5;54;65;10;66;52;48;32
2020-12-08 06:00:00;29;74;5;45;47;15;54;40;42;33
2020-12-08 06:15:00;34;79;3;78;75;21;76;69;57;33
2020-12-08 06:30:00;38;68;7;126;116;19;124;130;47;37
2020-12-08 06:45:00;39;77;2;114;85;19;87;113;48;42
2020-12-08 07:00:00;39;69;12;127;114;17;118;122;50;39
2020-12-08 07:15:00;38;56;9;169;135;22;137;169;39;33
2020-12-08 07:30:00;67;104;12;156;148;30;159;155;62;63
2020-12-08 07:45:00;60;105;22;102;115;46;138;103;70;66
2020-12-08 08:00:00;55;101;13;98;118;24;125;105;66;54
2020-12-08 08:15:00;47;75;13;78;105;33;108;76;49;46
2020-12-08 08:30:00;54;87;20;80;84;15;89;82;54;50
2020-12-08 08:45:00;43;76;7;78;86;17;95;76;39;50
2020-12-08 09:00:00;47;70;14;72;64;15;66;63;52;45
2020-12-08 09:15:00;52;86;12;70;71;25;79;82;59;44
2020-12-08 09:30:00;38;62;9;66;54;18;65;59;47;38
2020-12-08 09:45:00;42;86;10;65;78;23;88;58;62;42
2020-12-08 10:00:00;49;84;14;66;63;16;75;61;67;52
2020-12-08 10:15:00;45;94;13;66;77;12;79;60;70;40
2020-12-08 10:30:00;42;90;18;75;95;14;93;70;68;43
2020-12-08 10:45:00;49;82;12;77;73;11;78;77;65;50
2020-12-08 11:00:00;48;104;15;60;72;16;80;51;82;35
2020-12-08 11:15:00;54;101;15;68;75;19;71;56;67;56
2020-12-08 11:30:00;63;122;19;71;71;16;73;60;87;53
2020-12-08 11:45:00;54;79;17;61;63;18;65;62;64;57
2020-12-08 12:00:00;63;116;15;60;71;13;79;51;78;71
2020-12-08 12:15:00;75;133;18;59;72;27;76;55;96;71
2020-12-08 12:30:00;49;97;18;51;84;18;84;48;73;61
2020-12-08 12:45:00;61;107;15;75;90;19;100;63;74;62
2020-12-08 13:00:00;70;119;10;56;83;24;90;48;73;70
2020-12-08 13:15:00;68;122;18;79;107;12;111;79;95;72
2020-12-08 13:30:00;65;107;17;90;114;22;113;83;74;66
2020-12-08 13:45:00;56;95;19;96;102;22;111;86;74;56
2020-12-08 14:00:00;69;123;22;72;99;23;100;64;95;72
2020-12-08 14:15:00;73;148;11;77;88;17;96;74;101;77
2020-12-08 14:30:00;87;154;17;71;89;21;99;60;112;91
2020-12-08 14:45:00;70;146;22;72;84;23;88;61;111;71
2020-12-08 15:00:00;78;138;20;66;91;22;101;61;101;75
2020-12-08 15:15:00;79;167;24;83;88;16;90;70;142;82
2020-12-08 15:30:00;77;161;29;85;94;27;98;71;112;84
2020-12-08 15:45:00;83;143;27;77;95;21;98;57;91;97
2020-12-08 16:00:00;90;179;19;82;117;48;138;72;142;89
2020-12-08 16:15:00;99;208;23;89;99;31;106;73;135;110
2020-12-08 16:30:00;106;189;21;92;112;25;113;74;125;108
2020-12-08 16:45:00;89;174;21;88;129;26;132;83;121;91
2020-12-08 17:00:00;99;195;26;85;92;17;89;70;130;103
2020-12-08 17:15:00;86;178;16;71;83;20;90;57;118;91
2020-12-08 17:30:00;87;149;23;67;86;16;94;59;111;73
2020-12-08 17:45:00;59;118;18;66;75;37;79;62;76;69
2020-12-08 18:00:00;56;113;20;56;65;12;75;50;85;61
2020-12-08 18:15:00;51;126;15;59;71;20;81;43;92;56
