DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-12-11 00:00:00;4;10;3;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 00:15:00;8;10;6;13;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 00:30:00;9;15;8;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 00:45:00;10;7;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 01:00:00;5;11;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 01:15:00;5;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 01:30:00;4;7;3;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 01:45:00;7;4;2;6;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 02:00:00;5;6;3;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 02:15:00;7;6;5;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 02:30:00;2;7;2;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 02:45:00;10;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 03:00:00;4;3;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 03:15:00;8;7;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 03:30:00;11;7;7;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 03:45:00;8;7;5;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 04:00:00;13;14;6;15;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 04:15:00;11;16;4;17;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-11 04:30:00;14;33;12;33;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 04:45:00;15;39;15;36;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 05:00:00;44;99;29;102;7;6;7;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-11 05:15:00;60;100;15;95;4;4;4;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-11 05:30:00;76;146;14;105;5;4;4;4;4;2;0;0;0;0;0;0;0;0;0
2020-12-11 05:45:00;74;102;16;91;5;5;4;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-11 06:00:00;109;87;23;88;7;8;7;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-11 06:15:00;105;130;10;93;6;5;6;9;9;1;0;0;0;0;0;0;0;0;0
2020-12-11 06:30:00;123;174;27;129;8;12;8;8;7;1;0;8;0;0;0;0;0;0;0
2020-12-11 06:45:00;114;163;27;128;8;6;6;3;3;1;0;3;0;0;0;0;0;0;0
2020-12-11 07:00:00;115;159;45;126;9;59;10;11;11;5;0;9;0;0;0;0;0;0;0
2020-12-11 07:15:00;73;166;31;134;9;7;8;7;7;0;0;6;0;0;0;0;0;0;0
2020-12-11 07:30:00;175;188;18;136;11;12;11;12;11;0;0;6;0;0;0;0;0;0;0
2020-12-11 07:45:00;164;200;18;143;5;8;5;11;11;1;0;1;0;0;0;0;0;0;0
2020-12-11 08:00:00;138;159;19;119;10;8;10;12;13;0;0;1;0;0;0;0;0;0;1
2020-12-11 08:15:00;112;148;23;100;4;5;6;7;7;2;0;0;0;0;0;0;0;0;0
2020-12-11 08:30:00;114;181;25;140;5;4;3;13;12;0;0;7;0;0;0;0;0;0;0
2020-12-11 08:45:00;149;174;22;114;13;10;9;6;6;1;0;8;0;1;0;0;0;0;0
2020-12-11 09:00:00;119;131;17;107;9;5;5;12;11;0;0;0;0;0;0;0;0;0;0
2020-12-11 09:15:00;131;179;19;114;3;4;4;8;8;2;0;0;0;0;0;0;0;0;0
2020-12-11 09:30:00;141;194;21;123;8;7;8;12;10;5;0;1;0;0;0;0;0;0;0
2020-12-11 09:45:00;173;169;36;110;8;8;8;14;14;0;0;2;0;0;0;0;0;0;0
2020-12-11 10:00:00;175;160;14;105;6;6;6;13;14;0;0;1;0;0;0;0;0;0;0
2020-12-11 10:15:00;165;163;21;120;6;6;6;7;9;2;0;1;0;0;0;0;0;0;0
2020-12-11 10:30:00;176;175;26;119;10;12;12;14;14;0;0;0;0;1;0;0;0;0;1
2020-12-11 10:45:00;213;156;18;93;5;7;8;12;11;4;0;2;0;0;0;0;0;0;0
2020-12-11 11:00:00;166;146;15;104;4;7;8;6;6;2;0;0;0;0;0;0;0;0;0
2020-12-11 11:15:00;185;179;18;106;12;13;13;9;9;3;0;4;0;1;0;0;0;0;0
2020-12-11 11:30:00;186;163;26;95;9;13;13;10;10;2;0;0;0;0;0;0;0;0;0
2020-12-11 11:45:00;198;177;19;108;12;15;16;15;14;1;0;0;0;0;0;0;0;0;6
2020-12-11 12:00:00;182;166;36;142;8;9;9;7;7;1;0;2;0;0;0;0;0;0;0
2020-12-11 12:15:00;235;204;25;131;6;7;7;7;7;0;0;2;0;0;0;0;0;0;0
2020-12-11 12:30:00;234;199;21;125;5;7;8;7;7;0;0;4;0;0;0;0;0;0;0
2020-12-11 12:45:00;241;199;17;128;9;12;12;10;9;0;0;1;0;0;0;0;0;0;0
2020-12-11 13:00:00;254;215;31;132;10;9;11;9;10;1;0;4;0;0;0;0;0;0;0
2020-12-11 13:15:00;218;214;26;120;10;13;14;11;12;1;0;3;0;0;0;0;0;0;0
2020-12-11 13:30:00;233;236;46;133;12;12;13;14;15;3;0;5;0;0;0;0;0;0;0
2020-12-11 13:45:00;198;203;16;129;8;10;9;9;8;2;0;4;0;0;0;0;0;0;0
2020-12-11 14:00:00;221;184;37;125;7;9;10;9;10;0;0;3;0;0;0;0;0;0;0
2020-12-11 14:15:00;211;189;24;107;11;9;10;6;6;4;0;6;0;0;0;0;0;0;0
2020-12-11 14:30:00;252;253;28;154;16;17;18;10;10;5;0;0;0;0;0;0;0;0;0
2020-12-11 14:45:00;237;214;21;102;11;16;10;14;13;4;0;0;0;0;0;0;0;2;3
2020-12-11 15:00:00;253;196;19;119;16;19;19;18;20;3;0;3;0;1;0;0;0;0;0
2020-12-11 15:15:00;234;231;32;149;12;13;15;10;12;0;0;4;0;0;0;0;0;0;0
2020-12-11 15:30:00;225;208;31;128;10;11;13;12;11;1;0;5;0;1;0;0;0;1;0
2020-12-11 15:45:00;221;182;24;102;9;10;11;8;8;0;0;2;0;1;0;0;0;5;0
2020-12-11 16:00:00;224;234;29;110;8;10;11;19;20;5;0;1;0;0;0;0;0;0;0
2020-12-11 16:15:00;215;170;21;90;13;88;13;12;12;1;0;3;0;0;0;0;0;0;0
2020-12-11 16:30:00;230;207;20;166;12;9;10;9;9;4;0;0;0;1;0;0;0;0;0
2020-12-11 16:45:00;210;199;29;99;14;20;19;15;15;0;0;2;0;2;0;0;0;0;0
2020-12-11 17:00:00;221;207;22;100;16;15;16;14;14;4;0;2;0;0;0;0;0;0;0
2020-12-11 17:15:00;220;172;21;89;16;20;19;11;9;4;0;0;0;0;0;0;0;0;0
2020-12-11 17:30:00;219;184;22;127;13;13;14;7;7;2;0;2;0;0;0;0;0;0;0
2020-12-11 17:45:00;182;125;10;96;7;6;7;7;7;3;0;4;0;0;0;0;0;0;0
2020-12-11 18:00:00;221;136;29;114;7;8;9;11;11;0;0;0;0;0;0;0;0;0;0
2020-12-11 18:15:00;170;146;21;116;6;7;7;4;5;0;0;0;0;0;0;0;0;0;0
2020-12-11 18:30:00;181;142;49;116;7;14;15;3;3;1;0;2;0;0;0;0;0;0;0
2020-12-11 18:45:00;134;95;12;92;7;10;10;5;5;0;0;1;0;0;0;0;0;0;0
2020-12-11 19:00:00;176;106;26;104;6;7;7;5;4;3;0;1;0;0;0;0;0;0;3
2020-12-11 19:15:00;139;75;25;76;6;7;6;2;3;1;0;0;0;0;0;0;0;0;0
2020-12-11 19:30:00;94;86;21;80;4;7;7;4;4;0;0;1;0;0;0;0;0;0;0
2020-12-11 19:45:00;100;82;20;75;2;7;8;4;5;0;0;1;0;0;0;0;0;0;0
2020-12-11 20:00:00;97;61;10;54;2;3;3;7;7;0;0;0;0;0;0;0;0;0;0
2020-12-11 20:15:00;87;57;19;51;10;12;11;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-11 20:30:00;71;72;15;73;1;2;3;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-11 20:45:00;65;80;14;72;7;6;6;5;5;0;0;0;0;0;0;0;0;0;0
2020-12-11 21:00:00;54;87;19;79;2;4;4;5;5;0;0;0;0;0;0;0;0;0;0
2020-12-11 21:15:00;41;59;12;54;3;3;2;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-11 21:30:00;31;31;9;29;2;55;2;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-11 21:45:00;32;29;11;29;3;3;3;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 22:00:00;74;27;18;37;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 22:15:00;66;52;16;51;3;3;3;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-11 22:30:00;50;16;11;26;0;0;1;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-11 22:45:00;28;19;10;27;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 23:00:00;15;21;10;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2020-12-11 23:15:00;12;24;8;20;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 23:30:00;12;28;13;30;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-11 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
