DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-08-11 00:00:00;6;2;1;3;4;1;0
2020-08-11 00:15:00;9;5;3;0;7;4;0
2020-08-11 00:30:00;1;2;2;4;2;1;0
2020-08-11 00:45:00;5;5;5;3;7;1;0
2020-08-11 01:00:00;4;5;4;1;8;5;0
2020-08-11 01:15:00;1;4;3;0;1;2;0
2020-08-11 01:30:00;3;1;1;0;4;5;0
2020-08-11 01:45:00;2;3;3;1;6;4;0
2020-08-11 02:00:00;8;6;0;0;4;1;0
2020-08-11 02:15:00;5;4;3;0;5;2;0
2020-08-11 02:30:00;3;2;1;0;4;0;0
2020-08-11 02:45:00;1;2;1;2;9;7;0
2020-08-11 03:00:00;5;6;3;3;3;1;0
2020-08-11 03:15:00;1;3;3;3;6;3;0
2020-08-11 03:30:00;5;4;1;2;7;6;0
2020-08-11 03:45:00;6;8;4;4;4;6;0
2020-08-11 04:00:00;2;2;2;2;7;7;0
2020-08-11 04:15:00;7;8;4;4;7;2;0
2020-08-11 04:30:00;6;2;2;1;6;1;0
2020-08-11 04:45:00;12;7;2;1;10;8;0
2020-08-11 05:00:00;8;7;6;6;8;6;0
2020-08-11 05:15:00;25;20;12;10;32;15;0
2020-08-11 05:30:00;41;23;16;9;44;18;0
2020-08-11 05:45:00;37;24;16;15;43;18;0
2020-08-11 06:00:00;35;26;21;8;45;19;0
2020-08-11 06:15:00;55;38;27;17;58;27;0
2020-08-11 06:30:00;59;39;36;25;55;24;2
2020-08-11 06:45:00;79;62;50;30;89;32;0
2020-08-11 07:00:00;52;43;33;20;52;21;3
2020-08-11 07:15:00;74;48;45;31;83;34;0
2020-08-11 07:30:00;86;55;48;36;73;34;2
2020-08-11 07:45:00;59;51;47;34;90;37;3
2020-08-11 08:00:00;60;42;36;32;54;23;2
2020-08-11 08:15:00;61;39;30;30;69;42;0
2020-08-11 08:30:00;58;49;45;31;68;40;1
2020-08-11 08:45:00;80;46;41;38;66;34;1
2020-08-11 09:00:00;65;42;35;36;65;30;1
2020-08-11 09:15:00;80;47;36;37;71;58;1
2020-08-11 09:30:00;75;49;45;32;64;41;0
2020-08-11 09:45:00;78;75;62;27;71;43;0
2020-08-11 10:00:00;100;47;40;32;91;44;0
2020-08-11 10:15:00;72;39;34;35;88;52;1
2020-08-11 10:30:00;82;51;40;38;83;48;1
2020-08-11 10:45:00;68;48;43;31;66;52;1
2020-08-11 11:00:00;73;49;46;32;84;44;2
2020-08-11 11:15:00;57;41;36;30;80;54;6
2020-08-11 11:30:00;99;50;46;43;91;51;2
2020-08-11 11:45:00;78;54;42;28;78;62;9
2020-08-11 12:00:00;70;52;42;41;94;54;4
2020-08-11 12:15:00;65;51;45;32;85;50;4
2020-08-11 12:30:00;59;48;43;29;70;44;3
2020-08-11 12:45:00;74;56;46;36;82;56;1
2020-08-11 13:00:00;70;49;44;24;75;42;1
2020-08-11 13:15:00;67;48;45;27;86;49;0
2020-08-11 13:30:00;82;60;52;37;73;36;0
2020-08-11 13:45:00;79;43;41;35;89;55;0
2020-08-11 14:00:00;61;45;38;47;88;48;2
2020-08-11 14:15:00;61;47;45;38;87;41;2
2020-08-11 14:30:00;63;44;36;87;96;43;8
2020-08-11 14:45:00;93;49;44;35;86;47;2
2020-08-11 15:00:00;88;56;48;36;79;52;0
2020-08-11 15:15:00;66;38;37;38;81;55;0
2020-08-11 15:30:00;77;61;56;51;79;62;1
2020-08-11 15:45:00;81;57;48;38;98;48;1
2020-08-11 16:00:00;85;55;48;51;105;53;2
2020-08-11 16:15:00;87;48;39;39;81;43;4
2020-08-11 16:30:00;79;46;41;47;111;46;0
2020-08-11 16:45:00;69;56;53;51;94;45;1
2020-08-11 17:00:00;106;62;53;60;91;66;2
2020-08-11 17:15:00;64;45;40;32;109;64;7
2020-08-11 17:30:00;49;37;32;29;82;56;1
2020-08-11 17:45:00;67;48;45;25;82;37;2
2020-08-11 18:00:00;60;47;39;22;63;42;3
2020-08-11 18:15:00;59;33;26;19;51;23;2
2020-08-11 18:30:00;44;25;18;18;57;25;0
2020-08-11 18:45:00;48;32;25;15;57;18;0
2020-08-11 19:00:00;46;32;20;16;49;24;1
2020-08-11 19:15:00;33;22;19;10;47;27;0
2020-08-11 19:30:00;39;21;15;9;44;17;0
2020-08-11 19:45:00;30;19;14;8;38;13;0
2020-08-11 20:00:00;35;23;18;12;35;19;0
2020-08-11 20:15:00;27;16;12;7;35;13;0
2020-08-11 20:30:00;24;13;8;6;25;10;0
2020-08-11 20:45:00;29;19;13;7;19;12;0
2020-08-11 21:00:00;32;23;18;12;23;9;0
2020-08-11 21:15:00;33;22;16;3;30;8;0
2020-08-11 21:30:00;16;16;10;7;27;14;0
2020-08-11 21:45:00;19;12;9;5;29;10;0
2020-08-11 22:00:00;17;13;7;5;21;16;0
2020-08-11 22:15:00;22;11;8;6;19;5;0
2020-08-11 22:30:00;11;8;5;5;11;4;0
2020-08-11 22:45:00;19;10;3;8;15;5;0
2020-08-11 23:00:00;13;7;3;1;11;7;0
2020-08-11 23:15:00;11;4;2;3;9;6;0
2020-08-11 23:30:00;5;3;2;4;6;5;0
