DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-06-20 00:00:00;4;12;8;5;6;4;12;10;11;4;4;0;0;0;0;0;0
2020-06-20 00:15:00;3;11;12;6;6;1;14;9;10;4;2;0;0;0;0;0;0
2020-06-20 00:30:00;5;5;9;4;5;3;12;10;10;5;1;0;0;0;0;0;0
2020-06-20 00:45:00;5;13;5;2;5;2;12;7;10;3;0;0;0;0;0;0;0
2020-06-20 01:00:00;6;5;6;2;6;2;6;2;3;2;2;0;0;0;0;0;0
2020-06-20 01:15:00;7;12;4;1;2;0;9;7;9;3;2;0;0;0;0;0;0
2020-06-20 01:30:00;3;2;1;3;3;1;8;4;6;9;5;0;0;0;0;0;0
2020-06-20 01:45:00;2;5;2;1;1;1;7;7;6;3;3;0;0;0;0;0;0
2020-06-20 02:00:00;0;4;2;2;1;1;3;2;2;1;0;0;0;0;0;0;0
2020-06-20 02:15:00;2;4;1;0;1;0;3;3;3;2;1;0;0;0;0;0;0
2020-06-20 02:30:00;2;3;1;1;0;0;3;2;4;0;0;0;0;0;0;0;0
2020-06-20 02:45:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-20 03:00:00;0;3;0;0;0;0;3;3;3;2;2;0;0;0;0;0;0
2020-06-20 03:15:00;0;1;4;2;3;1;1;1;1;2;2;0;0;0;0;0;0
2020-06-20 03:30:00;1;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-06-20 03:45:00;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-06-20 04:00:00;3;5;0;1;1;0;1;1;1;4;4;0;0;0;0;0;0
2020-06-20 04:15:00;2;1;1;0;1;0;2;2;2;1;1;0;0;0;0;0;0
2020-06-20 04:30:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-20 04:45:00;2;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0
2020-06-20 05:00:00;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
2020-06-20 05:15:00;0;1;0;1;0;0;2;3;3;0;0;0;0;0;0;0;0
2020-06-20 05:30:00;6;8;0;0;0;0;6;4;5;0;0;0;0;0;0;0;0
2020-06-20 05:45:00;8;6;0;0;0;0;3;4;4;0;0;0;0;0;0;0;0
2020-06-20 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-20 06:15:00;2;3;1;1;1;1;2;3;3;0;0;0;0;0;0;0;0
2020-06-20 06:30:00;7;6;0;0;0;2;4;5;5;0;0;0;0;0;0;0;0
2020-06-20 06:45:00;10;8;3;2;1;0;6;8;8;0;0;0;0;0;0;0;0
2020-06-20 07:00:00;4;7;5;6;3;0;5;7;7;0;0;0;0;0;0;0;0
2020-06-20 07:15:00;10;12;2;2;1;0;5;5;5;1;1;0;0;0;0;0;0
2020-06-20 07:30:00;8;7;1;2;2;1;9;7;10;0;0;0;0;0;0;0;0
2020-06-20 07:45:00;21;16;6;2;4;0;10;13;14;0;1;0;0;0;0;0;0
2020-06-20 08:00:00;21;16;4;4;2;1;11;18;19;0;0;0;0;0;0;0;0
2020-06-20 08:15:00;17;14;5;4;4;2;14;16;16;0;1;0;0;0;0;0;0
2020-06-20 08:30:00;25;32;11;2;6;3;12;16;17;0;2;0;0;0;0;0;0
2020-06-20 08:45:00;22;29;9;8;8;1;16;22;22;2;1;0;0;0;2;0;0
2020-06-20 09:15:00;35;54;19;13;10;2;24;36;38;2;4;1;0;0;0;0;0
2020-06-20 09:30:00;34;49;19;4;11;2;32;34;38;5;5;1;0;0;1;0;0
2020-06-20 09:45:00;43;41;33;13;11;10;33;47;50;3;3;0;0;0;0;0;0
2020-06-20 10:00:00;46;53;19;14;9;8;32;61;60;13;7;0;0;0;0;0;0
2020-06-20 10:15:00;44;53;33;10;20;8;36;55;50;18;9;2;0;0;2;0;0
2020-06-20 10:45:00;61;53;39;24;17;14;52;54;57;17;11;3;0;0;2;0;0
2020-06-20 11:00:00;77;70;34;16;13;14;43;56;60;20;16;4;0;0;0;0;0
2020-06-20 11:15:00;45;57;52;25;15;14;38;59;60;25;17;3;0;0;1;0;0
2020-06-20 11:30:00;47;59;43;20;17;7;50;62;59;17;8;2;0;0;1;0;0
2020-06-20 11:45:00;68;50;49;20;15;14;50;67;70;21;11;3;0;0;1;0;0
2020-06-20 12:00:00;66;46;53;19;16;16;45;55;52;25;8;3;0;0;1;0;0
2020-06-20 12:15:00;53;55;40;23;15;19;48;70;67;18;4;0;0;0;4;0;0
2020-06-20 12:30:00;44;44;54;24;17;15;51;71;70;21;10;1;0;0;6;0;0
2020-06-20 12:45:00;60;44;73;22;18;14;43;68;70;19;16;2;0;0;4;0;0
2020-06-20 13:00:00;70;68;55;31;18;22;54;81;75;28;16;4;0;0;0;0;0
2020-06-20 13:15:00;53;62;59;27;21;16;56;71;60;20;13;4;0;0;11;0;0
2020-06-20 13:30:00;83;69;57;36;19;21;40;60;57;25;15;4;0;0;0;0;0
2020-06-20 13:45:00;71;60;61;35;15;17;52;73;70;33;8;11;0;0;1;0;0
2020-06-20 14:00:00;50;73;59;22;17;15;45;64;59;20;5;2;0;0;3;0;0
2020-06-20 14:15:00;57;71;54;28;16;19;43;68;66;23;9;4;0;0;2;0;0
2020-06-20 14:30:00;47;61;70;28;13;16;51;71;69;15;13;2;0;0;8;0;0
2020-06-20 14:45:00;60;64;77;32;19;22;37;60;58;23;9;5;0;0;1;0;0
2020-06-20 15:00:00;67;60;73;38;23;20;36;64;59;22;13;3;0;0;3;0;0
2020-06-20 15:15:00;64;54;62;27;22;18;38;59;62;34;19;8;0;0;3;0;0
2020-06-20 15:30:00;60;65;77;45;18;29;42;55;53;30;10;7;0;0;0;0;0
2020-06-20 15:45:00;64;69;58;29;25;23;45;74;79;33;20;2;0;0;4;0;0
2020-06-20 16:00:00;56;53;47;40;16;14;58;77;74;27;18;3;0;0;5;0;0
2020-06-20 16:15:00;32;48;66;35;20;22;50;68;67;33;17;0;0;0;1;0;0
2020-06-20 16:30:00;45;63;75;50;15;25;44;55;62;36;17;3;0;0;0;0;0
2020-06-20 16:45:00;59;56;68;43;20;27;50;60;55;24;10;1;0;0;2;0;0
2020-06-20 17:00:00;66;56;74;41;16;30;53;68;69;29;15;4;0;0;2;0;0
2020-06-20 17:15:00;51;63;73;44;19;29;60;58;57;33;14;0;0;0;2;0;0
2020-06-20 17:30:00;59;58;72;40;15;27;51;63;58;23;9;2;0;0;6;0;0
2020-06-20 17:45:00;47;71;71;41;18;23;33;54;55;22;10;2;0;0;3;0;0
2020-06-20 18:00:00;46;70;67;31;20;23;43;50;47;22;13;1;0;0;3;0;0
2020-06-20 18:15:00;57;57;62;39;17;23;45;72;72;29;15;2;0;0;1;0;0
2020-06-20 18:30:00;48;61;84;45;21;28;40;48;44;28;14;4;0;0;2;0;0
2020-06-20 18:45:00;49;54;60;42;13;20;36;56;56;21;13;1;0;0;1;0;0
2020-06-20 19:00:00;37;47;66;36;19;24;39;48;44;14;8;2;0;0;0;0;0
2020-06-20 19:15:00;29;40;62;33;23;26;33;52;50;25;13;2;0;0;3;0;0
2020-06-20 19:30:00;24;41;71;30;20;20;34;41;42;12;7;3;0;0;0;0;0
2020-06-20 19:45:00;24;41;63;39;16;25;17;23;22;23;12;0;0;0;6;0;0
2020-06-20 20:00:00;36;45;67;47;12;32;26;26;31;9;8;1;0;0;2;0;0
2020-06-20 20:15:00;18;38;49;28;18;17;13;15;14;7;4;0;0;0;1;0;0
2020-06-20 20:30:00;19;22;36;24;13;16;13;14;15;2;0;0;0;0;0;0;0
2020-06-20 20:45:00;12;18;21;17;15;8;15;19;19;2;1;0;0;0;0;0;0
2020-06-20 21:00:00;17;30;29;18;14;14;22;16;18;4;3;0;0;0;0;0;0
2020-06-20 21:15:00;11;11;23;14;14;11;10;15;17;3;1;0;0;0;0;0;0
2020-06-20 21:30:00;7;20;30;15;11;7;6;6;6;2;1;0;0;0;0;0;0
2020-06-20 21:45:00;12;16;34;18;11;11;17;14;16;3;1;0;0;0;0;0;0
2020-06-20 22:00:00;10;16;21;14;13;8;9;16;15;4;3;0;0;0;0;0;0
2020-06-20 22:15:00;12;25;25;14;22;7;9;16;16;1;0;1;0;0;1;0;0
2020-06-20 22:30:00;11;13;26;18;11;4;15;16;19;6;3;0;0;0;0;0;0
2020-06-20 22:45:00;14;17;24;13;11;8;17;21;21;24;18;0;0;0;1;0;0
2020-06-20 23:00:00;18;14;32;18;13;11;13;9;10;16;7;0;0;0;0;0;0
2020-06-20 23:15:00;11;16;21;14;13;8;18;18;20;2;1;0;0;0;0;0;0
2020-06-20 23:30:00;9;17;13;7;6;5;11;11;13;6;4;0;0;0;0;0;0
2020-06-20 23:45:00;9;17;24;14;13;10;8;8;10;2;3;0;0;0;0;0;0
