DATUM;1(TAFGA);2(TAFBA)
2019-10-19 00:00:00;1;4
2019-10-19 00:15:00;0;0
2019-10-19 00:30:00;0;0
2019-10-19 00:45:00;0;0
2019-10-19 01:00:00;0;0
2019-10-19 01:15:00;0;0
2019-10-19 01:30:00;0;0
2019-10-19 01:45:00;0;0
2019-10-19 02:00:00;0;0
2019-10-19 02:15:00;0;0
2019-10-19 02:30:00;0;0
2019-10-19 02:45:00;0;0
2019-10-19 03:00:00;0;0
2019-10-19 03:15:00;0;0
2019-10-19 03:30:00;0;0
2019-10-19 03:45:00;0;0
2019-10-19 04:00:00;0;0
2019-10-19 04:15:00;0;0
2019-10-19 04:30:00;0;0
2019-10-19 04:45:00;0;0
2019-10-19 05:00:00;0;0
2019-10-19 05:15:00;0;0
2019-10-19 05:30:00;0;0
2019-10-19 05:45:00;0;0
2019-10-19 06:00:00;0;0
2019-10-19 06:15:00;0;0
2019-10-19 06:30:00;0;0
2019-10-19 06:45:00;0;0
2019-10-19 07:00:00;0;0
2019-10-19 07:15:00;0;0
2019-10-19 07:30:00;0;0
2019-10-19 07:45:00;1;0
2019-10-19 08:00:00;5;1
2019-10-19 08:15:00;4;0
2019-10-19 08:30:00;3;0
2019-10-19 08:45:00;12;5
2019-10-19 09:00:00;13;6
2019-10-19 09:15:00;18;5
2019-10-19 09:30:00;13;2
2019-10-19 09:45:00;15;2
2019-10-19 10:00:00;17;4
2019-10-19 10:15:00;16;10
2019-10-19 10:30:00;13;5
2019-10-19 10:45:00;18;7
2019-10-19 11:00:00;16;0
2019-10-19 11:15:00;11;4
2019-10-19 11:30:00;28;11
2019-10-19 11:45:00;19;10
2019-10-19 12:00:00;21;14
2019-10-19 12:15:00;23;9
2019-10-19 12:30:00;19;3
2019-10-19 12:45:00;18;7
2019-10-19 13:00:00;14;0
2019-10-19 13:15:00;24;11
2019-10-19 13:30:00;22;21
2019-10-19 13:45:00;17;4
2019-10-19 14:00:00;17;3
2019-10-19 14:15:00;13;18
2019-10-19 14:30:00;21;12
2019-10-19 14:45:00;23;1
2019-10-19 15:00:00;15;1
2019-10-19 15:15:00;17;4
2019-10-19 15:30:00;17;13
2019-10-19 15:45:00;19;7
2019-10-19 16:00:00;22;3
2019-10-19 16:15:00;23;70
2019-10-19 16:30:00;17;10
2019-10-19 16:45:00;28;9
2019-10-19 17:00:00;14;4
2019-10-19 17:15:00;19;2
2019-10-19 17:30:00;17;10
2019-10-19 17:45:00;16;10
2019-10-19 18:00:00;19;3
2019-10-19 18:15:00;27;2
2019-10-19 18:30:00;28;16
2019-10-19 18:45:00;15;4
2019-10-19 19:00:00;12;7
2019-10-19 19:15:00;22;6
2019-10-19 19:30:00;17;7
2019-10-19 19:45:00;8;4
2019-10-19 20:00:00;17;3
2019-10-19 20:15:00;8;6
2019-10-19 20:30:00;5;0
2019-10-19 20:45:00;6;1
2019-10-19 21:00:00;7;1
2019-10-19 21:15:00;2;0
2019-10-19 21:30:00;4;3
2019-10-19 21:45:00;4;1
2019-10-19 22:00:00;4;1
2019-10-19 22:15:00;8;1
2019-10-19 22:30:00;9;3
2019-10-19 22:45:00;8;6
2019-10-19 23:00:00;0;0
2019-10-19 23:15:00;0;0
2019-10-19 23:30:00;1;1
2019-10-19 23:45:00;0;0
