DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-08-30 20:45:00;36;35;32;39;0;0;0;0;0;0;0;0
2020-08-30 21:00:00;42;31;38;54;0;0;0;0;0;0;0;0
2020-08-30 21:15:00;35;19;41;52;0;0;0;0;0;0;0;0
2020-08-30 21:30:00;44;24;37;47;0;0;0;0;0;0;0;0
2020-08-30 21:45:00;36;23;29;41;0;0;0;0;0;0;0;0
2020-08-30 22:00:00;26;18;31;30;0;0;0;0;0;0;0;0
2020-08-30 22:15:00;31;17;30;34;0;0;0;0;0;1;0;0
2020-08-30 22:30:00;33;12;28;32;0;0;0;0;0;0;0;0
2020-08-30 22:45:00;18;11;17;39;0;0;0;0;0;0;0;0
2020-08-30 23:00:00;25;10;9;23;0;0;0;0;0;0;0;0
2020-08-30 23:15:00;20;12;21;13;0;0;0;0;0;0;0;0
2020-08-30 23:30:00;14;5;9;16;0;0;0;0;0;0;0;0
2020-08-30 23:45:00;18;10;9;9;0;0;0;0;0;0;0;0
