DATUM;1(DA1);2(DA2);3(VDB1);4(VDB2);5(DB3);6(DB4);7(DC1);8(DC2);9(VDD1);10(VDD2);11(DD3);12(DD4);13(TAFGA);14(TAFGC);15(TAFBA);16(TAFBB);17(TAFBC);18(TAFBD)
2020-10-02 00:00:00;5;8;0;2;1;2;4;6;2;1;2;2;0;0;0;0;0;0
2020-10-02 00:15:00;0;4;2;3;2;3;2;3;5;0;5;2;0;0;0;0;0;0
2020-10-02 00:30:00;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0
2020-10-02 00:45:00;1;4;3;2;4;2;4;6;2;1;2;2;0;0;0;0;0;0
2020-10-02 01:00:00;0;1;0;1;2;3;0;0;7;1;9;3;0;0;0;0;0;0
2020-10-02 01:15:00;2;4;1;0;1;1;1;2;0;0;0;2;0;0;0;0;0;0
2020-10-02 01:30:00;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
2020-10-02 01:45:00;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-10-02 02:00:00;1;5;0;0;0;1;1;2;1;1;2;1;0;0;0;0;0;0
2020-10-02 02:15:00;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
2020-10-02 02:30:00;0;0;1;0;1;4;2;2;0;0;0;1;0;0;0;0;0;0
2020-10-02 02:45:00;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0
2020-10-02 03:00:00;1;1;0;1;0;2;2;3;1;0;1;1;0;0;0;0;0;0
2020-10-02 03:15:00;0;1;0;0;0;0;0;1;3;0;3;2;0;0;0;0;0;0
2020-10-02 03:30:00;1;1;0;1;0;1;2;2;0;0;0;1;0;0;0;0;0;0
2020-10-02 03:45:00;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-10-02 04:00:00;2;2;3;0;3;2;0;0;2;0;2;5;0;0;0;0;0;0
2020-10-02 04:15:00;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-10-02 04:30:00;1;1;0;1;0;3;1;1;0;1;0;1;0;0;0;0;0;0
2020-10-02 04:45:00;0;1;0;2;1;3;1;4;1;2;1;2;0;0;0;0;0;0
2020-10-02 05:00:00;0;2;3;0;3;3;7;7;5;0;4;2;0;0;0;0;0;0
2020-10-02 05:15:00;3;4;2;0;2;1;1;2;0;1;0;1;0;0;0;0;0;0
2020-10-02 05:30:00;11;12;2;3;3;4;6;2;4;1;4;255;0;0;0;0;0;0
2020-10-02 05:45:00;38;37;9;7;7;10;13;11;5;1;8;0;0;0;0;0;0;3
2020-10-02 06:00:00;33;32;5;7;5;10;20;18;7;3;8;0;0;0;0;0;0;0
2020-10-02 06:15:00;31;37;9;11;13;22;21;22;10;258;13;0;0;0;0;0;0;0
2020-10-02 06:30:00;34;34;11;7;14;14;18;23;4;2;12;0;1;0;0;0;0;0
2020-10-02 06:45:00;33;33;9;8;12;12;18;16;9;7;13;9;0;0;0;0;0;0
2020-10-02 07:00:00;27;38;26;21;28;25;20;22;19;8;20;17;0;1;0;1;0;0
2020-10-02 07:15:00;46;54;42;34;49;49;21;27;11;4;10;13;0;0;0;3;0;1
2020-10-02 07:30:00;51;59;46;31;47;39;54;65;12;9;15;13;0;0;0;0;0;2
2020-10-02 07:45:00;31;48;25;26;24;37;44;56;20;9;27;13;1;0;0;1;0;0
2020-10-02 08:00:00;23;32;23;16;25;21;34;34;21;5;23;257;0;1;0;0;1;1
2020-10-02 08:15:00;22;39;10;17;13;20;21;18;15;5;17;0;2;0;0;0;0;0
2020-10-02 08:30:00;24;46;28;21;27;27;39;36;21;4;24;0;0;0;0;1;0;0
2020-10-02 08:45:00;20;41;23;23;26;25;36;28;20;8;22;0;0;0;0;0;0;4
2020-10-02 09:00:00;21;45;24;23;26;27;38;26;22;6;26;0;1;0;0;1;0;0
2020-10-02 09:15:00;24;50;20;27;22;34;43;25;13;3;16;4;0;0;0;0;0;0
2020-10-02 09:30:00;23;43;17;26;22;25;42;43;24;9;27;15;0;0;0;0;0;0
2020-10-02 09:45:00;21;62;20;10;27;13;32;21;20;11;32;15;0;0;0;0;0;0
2020-10-02 10:00:00;14;51;18;15;25;45;38;49;19;6;27;14;1;0;0;0;0;2
2020-10-02 10:15:00;19;63;27;25;28;23;48;35;17;8;26;32;0;0;0;2;0;1
2020-10-02 10:30:00;22;48;16;19;19;25;53;35;21;9;25;10;2;0;5;4;0;1
2020-10-02 10:45:00;14;45;15;18;17;24;36;38;26;10;29;10;0;1;0;0;0;1
2020-10-02 11:00:00;24;54;23;21;28;28;41;40;15;8;27;14;0;0;3;6;0;0
2020-10-02 11:15:00;15;56;14;27;17;31;37;45;21;14;27;254;0;0;0;0;0;0
2020-10-02 11:30:00;18;34;20;13;21;16;38;33;24;10;30;0;0;0;0;3;0;2
2020-10-02 11:45:00;20;43;29;26;33;27;47;33;27;12;29;0;4;0;3;0;0;0
2020-10-02 12:00:00;17;52;14;18;21;24;50;49;28;12;33;0;0;0;0;2;0;0
2020-10-02 12:15:00;23;48;22;14;29;21;43;43;34;16;46;0;0;0;0;0;0;1
2020-10-02 12:30:00;17;51;36;17;43;27;55;55;36;10;45;16;1;0;0;0;0;6
2020-10-02 12:45:00;25;70;32;16;32;28;74;62;32;9;41;15;1;0;0;1;0;2
2020-10-02 13:00:00;24;64;20;25;24;21;78;61;33;17;41;30;0;3;0;3;0;1
2020-10-02 13:15:00;22;66;25;14;30;21;66;57;40;9;34;14;0;1;0;0;1;16
2020-10-02 13:30:00;17;44;18;17;15;23;35;40;26;11;35;21;2;2;4;11;0;1
2020-10-02 13:45:00;19;51;26;14;31;20;51;51;38;14;48;20;0;1;0;2;0;1
2020-10-02 14:00:00;21;52;24;14;25;21;62;52;38;15;49;21;0;1;0;39;0;6
2020-10-02 14:15:00;17;48;26;15;29;18;37;38;27;5;35;12;3;0;7;0;0;3
2020-10-02 14:30:00;19;44;26;19;27;20;36;31;30;9;34;13;0;1;2;1;0;0
2020-10-02 14:45:00;17;63;20;23;24;25;57;43;20;16;27;20;1;0;0;0;0;6
2020-10-02 15:00:00;19;51;19;24;29;31;48;51;33;17;33;18;1;0;1;1;0;1
2020-10-02 15:15:00;25;60;31;28;35;33;51;35;29;12;33;16;0;0;0;0;0;22
2020-10-02 15:30:00;25;62;22;29;24;34;51;49;16;9;22;268;5;0;1;0;0;8
2020-10-02 15:45:00;26;68;25;17;24;23;50;36;27;11;33;0;5;0;0;1;0;0
2020-10-02 16:00:00;16;52;31;21;35;24;51;40;30;9;32;0;0;0;0;2;0;2
2020-10-02 16:15:00;26;57;21;21;21;30;46;45;26;6;34;3;0;1;0;0;0;0
2020-10-02 16:30:00;17;36;16;20;22;32;55;32;23;12;31;14;1;0;0;0;0;0
2020-10-02 16:45:00;25;47;27;25;28;28;48;40;17;10;31;259;3;0;0;2;0;3
2020-10-02 17:00:00;14;40;26;26;38;27;57;43;16;9;29;19;0;0;0;0;0;0
2020-10-02 17:15:00;22;50;14;19;25;32;41;35;17;16;29;264;7;1;0;0;0;0
2020-10-02 17:30:00;13;23;12;15;13;24;58;51;17;9;28;18;0;0;0;0;0;3
2020-10-02 17:45:00;20;48;29;17;32;27;47;46;13;12;28;18;2;2;5;0;0;0
2020-10-02 18:00:00;14;35;20;21;23;22;54;53;19;5;29;11;0;1;0;5;0;13
2020-10-02 18:15:00;17;41;26;19;28;25;53;43;17;10;20;254;6;0;0;0;0;5
2020-10-02 18:30:00;12;44;20;20;23;28;52;37;13;6;18;0;3;2;13;2;0;1
2020-10-02 18:45:00;19;51;24;21;27;27;42;40;18;17;32;0;2;1;0;3;1;3
2020-10-02 19:00:00;13;41;16;18;21;26;40;49;22;6;31;0;7;0;0;4;0;0
2020-10-02 19:15:00;19;44;21;18;31;22;42;37;15;3;18;6;0;1;0;2;1;0
2020-10-02 19:30:00;11;43;18;10;17;19;27;24;12;10;16;13;0;0;0;2;0;1
2020-10-02 19:45:00;18;41;15;16;21;21;23;20;13;6;18;10;1;0;0;6;0;0
2020-10-02 20:00:00;17;46;20;15;23;23;35;28;18;9;24;260;1;3;0;3;0;0
2020-10-02 20:15:00;22;41;11;24;14;29;29;25;15;8;19;0;1;1;0;0;0;8
2020-10-02 20:30:00;9;27;4;13;7;17;30;23;13;6;25;0;6;0;1;0;0;0
2020-10-02 20:45:00;16;37;13;17;14;24;26;22;10;11;17;17;4;0;0;0;0;0
2020-10-02 21:00:00;10;26;10;10;11;11;28;29;23;3;25;9;0;0;0;0;0;0
2020-10-02 21:15:00;10;23;2;6;3;10;29;24;9;4;11;8;0;1;0;0;0;0
2020-10-02 21:30:00;8;19;3;11;4;11;19;18;8;7;13;14;0;0;0;0;0;0
2020-10-02 21:45:00;10;24;6;9;6;12;16;15;8;6;14;9;0;0;0;1;0;0
2020-10-02 22:00:00;4;18;5;21;5;21;24;23;14;9;19;254;0;0;0;2;0;1
2020-10-02 22:15:00;6;16;8;7;8;8;22;13;20;7;26;0;0;1;0;0;0;1
2020-10-02 22:30:00;3;20;2;8;2;10;11;14;14;5;17;0;0;0;0;0;0;0
2020-10-02 22:45:00;6;13;4;7;4;9;17;15;11;3;10;0;1;0;0;0;0;2
2020-10-02 23:00:00;5;26;8;7;6;9;19;19;9;10;10;0;1;0;0;0;0;0
2020-10-02 23:15:00;5;10;4;8;3;9;11;14;19;5;19;10;0;0;0;2;0;0
2020-10-02 23:30:00;4;15;5;6;4;6;19;12;5;7;9;9;0;0;0;0;0;0
2020-10-02 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
