DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2019-12-07 00:00:00;5;19;14;15;12;0;0;0;0;0;0;0
2019-12-07 00:15:00;0;19;13;16;10;0;0;0;0;0;0;0
2019-12-07 00:30:00;2;23;20;13;10;0;0;0;0;0;0;0
2019-12-07 00:45:00;2;10;12;18;7;0;0;0;0;0;0;0
2019-12-07 01:00:00;1;20;19;15;11;0;0;0;0;0;0;0
2019-12-07 01:15:00;0;9;15;8;6;0;0;0;0;0;0;0
2019-12-07 01:30:00;2;12;9;13;6;0;0;0;0;0;0;0
2019-12-07 01:45:00;1;16;10;9;3;0;0;0;0;0;0;0
2019-12-07 02:00:00;1;9;14;11;7;0;0;0;0;0;0;0
2019-12-07 02:15:00;2;7;5;6;3;0;0;0;0;0;0;0
2019-12-07 02:30:00;2;18;10;6;3;0;0;0;0;0;0;0
2019-12-07 02:45:00;4;8;6;6;6;0;0;0;0;0;0;0
2019-12-07 03:00:00;1;12;8;3;3;0;0;0;0;0;0;0
2019-12-07 03:15:00;0;4;8;5;7;0;0;0;0;0;0;0
2019-12-07 03:30:00;3;6;6;4;7;0;0;0;0;0;0;0
2019-12-07 03:45:00;0;9;8;3;5;0;0;0;0;0;0;0
2019-12-07 04:00:00;1;7;11;0;1;0;0;0;0;0;0;0
2019-12-07 04:15:00;0;3;5;7;4;0;0;0;0;0;0;0
2019-12-07 04:30:00;1;7;9;3;3;0;0;0;0;0;0;0
2019-12-07 04:45:00;0;8;6;4;6;0;0;0;0;0;0;0
2019-12-07 05:00:00;1;10;7;6;6;0;0;0;0;0;0;0
2019-12-07 05:15:00;5;9;8;9;6;0;0;0;0;0;0;0
2019-12-07 05:30:00;7;14;12;17;16;0;0;0;0;0;0;0
2019-12-07 05:45:00;9;10;12;16;9;0;0;0;0;0;0;0
2019-12-07 06:00:00;10;28;29;17;16;0;0;0;0;0;0;0
2019-12-07 06:15:00;7;18;31;19;16;0;0;0;0;0;0;0
2019-12-07 06:30:00;6;10;12;18;13;0;0;0;0;0;0;0
2019-12-07 06:45:00;5;21;18;8;7;0;0;0;0;0;0;0
2019-12-07 07:00:00;4;23;18;20;13;1;0;0;0;5;0;0
2019-12-07 07:15:00;8;18;17;13;11;0;1;0;0;0;0;0
2019-12-07 07:30:00;8;20;20;34;18;1;1;0;0;7;0;0
2019-12-07 07:45:00;15;22;26;48;36;0;4;0;0;7;2;0
2019-12-07 08:00:00;9;27;29;37;25;0;0;0;0;0;0;0
2019-12-07 08:15:00;15;32;29;33;29;2;2;0;0;9;0;0
2019-12-07 08:30:00;15;40;26;32;24;2;0;0;0;38;1;2
2019-12-07 08:45:00;13;26;38;41;37;0;1;0;0;1;3;0
2019-12-07 09:00:00;11;42;30;53;43;3;0;0;0;18;5;0
2019-12-07 09:15:00;17;50;46;54;43;0;2;0;0;18;6;0
2019-12-07 09:30:00;17;40;37;36;35;1;2;0;0;3;0;0
2019-12-07 09:45:00;21;56;45;53;44;1;0;0;0;3;2;0
2019-12-07 10:00:00;16;66;56;56;49;2;1;0;0;0;10;9
2019-12-07 10:15:00;19;62;52;68;60;4;5;0;0;11;3;0
2019-12-07 10:30:00;27;59;43;68;46;2;4;0;0;20;5;7
2019-12-07 10:45:00;13;48;54;78;47;2;5;0;0;5;1;2
2019-12-07 11:00:00;18;79;61;64;46;1;3;0;0;9;7;41
2019-12-07 11:15:00;23;72;61;60;44;2;9;0;0;21;4;0
2019-12-07 11:30:00;27;67;55;58;43;3;9;0;0;50;6;19
2019-12-07 11:45:00;22;57;72;79;58;0;3;0;0;6;1;2
2019-12-07 12:00:00;33;82;65;75;50;4;1;0;3;45;3;5
2019-12-07 12:15:00;23;58;64;67;54;2;2;0;0;3;5;6
2019-12-07 12:30:00;21;58;68;52;40;2;1;0;0;6;18;119
2019-12-07 12:45:00;23;67;49;75;54;0;5;0;0;1;2;2
2019-12-07 13:00:00;26;73;69;87;76;20;1;0;0;7;2;0
2019-12-07 13:15:00;24;69;49;83;50;5;2;0;0;23;3;2
2019-12-07 13:30:00;27;84;76;57;74;5;8;0;0;24;1;7
2019-12-07 13:45:00;23;79;72;60;69;0;4;0;0;0;4;1
