DATUM;1(TAFGA);2(MP0701);3(MP0702);4(MP0703);5(MP0704);6(MP0705);7(MP0706);8(MP0707);9(MP0708)
2019-09-17 00:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 00:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 00:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 00:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 01:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 01:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 01:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 01:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 02:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 02:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 02:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 02:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 03:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 03:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 03:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 03:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 04:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 04:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 04:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 04:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 05:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 05:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 05:30:00;0;0;0;0;0;0;0;0;0
2019-09-17 05:45:00;0;0;0;0;0;0;0;0;0
2019-09-17 06:00:00;0;0;0;0;0;0;0;0;0
2019-09-17 06:15:00;0;0;0;0;0;0;0;0;0
2019-09-17 06:30:00;1;0;0;0;0;0;0;0;0
2019-09-17 06:45:00;12;7;0;0;0;0;0;0;0
2019-09-17 07:00:00;39;8;0;0;0;0;0;0;0
2019-09-17 07:15:00;50;3;0;0;0;0;0;0;0
2019-09-17 07:30:00;41;9;0;0;0;0;0;0;0
2019-09-17 07:45:00;47;1;0;0;0;0;0;0;0
2019-09-17 08:00:00;36;1;0;0;0;0;0;0;0
2019-09-17 08:15:00;12;3;0;0;0;0;0;0;0
2019-09-17 08:30:00;26;0;0;0;0;0;0;0;0
2019-09-17 08:45:00;15;0;0;0;0;0;0;0;0
2019-09-17 09:00:00;2;0;0;0;0;0;0;0;0
2019-09-17 09:15:00;12;0;0;0;0;0;0;0;0
2019-09-17 09:30:00;9;0;0;0;0;0;0;0;0
2019-09-17 09:45:00;11;4;0;0;0;0;0;0;0
2019-09-17 10:00:00;34;0;0;0;0;0;0;0;0
2019-09-17 10:15:00;5;0;0;0;0;0;0;0;0
2019-09-17 10:30:00;22;0;0;0;0;0;0;0;0
2019-09-17 10:45:00;3;2;0;0;0;0;0;0;0
2019-09-17 11:00:00;9;12;0;0;0;0;0;0;0
2019-09-17 11:15:00;9;0;0;0;0;0;0;0;0
2019-09-17 11:30:00;9;0;0;0;0;0;0;0;0
2019-09-17 11:45:00;11;0;0;0;0;0;0;0;0
2019-09-17 12:00:00;14;2;0;0;0;0;0;0;0
2019-09-17 12:15:00;75;3;0;0;0;0;0;0;0
2019-09-17 12:30:00;14;0;0;0;0;0;0;0;0
2019-09-17 12:45:00;10;2;0;0;0;0;0;0;0
2019-09-17 13:00:00;36;3;0;0;0;0;0;0;0
2019-09-17 13:15:00;45;3;0;0;0;0;0;0;0
2019-09-17 13:30:00;4;7;0;0;0;0;0;0;0
2019-09-17 13:45:00;15;0;0;0;0;0;0;0;0
2019-09-17 14:00:00;22;2;0;0;0;0;0;0;0
2019-09-17 14:15:00;8;0;0;0;0;0;0;0;0
2019-09-17 14:30:00;19;0;0;0;0;0;0;0;0
2019-09-17 14:45:00;59;0;0;0;0;0;0;0;0
2019-09-17 15:00:00;21;10;0;0;0;0;0;0;0
2019-09-17 15:15:00;23;6;0;0;0;0;0;0;0
2019-09-17 15:30:00;52;3;0;0;0;0;0;0;0
2019-09-17 15:45:00;114;15;0;0;0;0;0;0;0
2019-09-17 16:00:00;120;31;0;0;0;0;0;0;0
2019-09-17 16:15:00;40;0;0;0;0;0;0;0;0
2019-09-17 16:30:00;22;0;0;0;0;0;0;0;0
2019-09-17 16:45:00;16;0;0;0;0;0;0;0;0
2019-09-17 17:00:00;25;3;0;0;0;0;0;0;0
2019-09-17 17:15:00;26;5;0;0;0;0;0;0;0
2019-09-17 17:30:00;9;1;0;0;0;0;0;0;0
2019-09-17 17:45:00;90;2;0;0;0;0;0;0;0
2019-09-17 18:00:00;38;2;0;0;0;0;0;0;0
2019-09-17 18:15:00;12;5;0;0;0;0;0;0;0
2019-09-17 18:30:00;18;0;0;0;0;0;0;0;0
2019-09-17 18:45:00;2;0;0;0;0;0;0;0;0
2019-09-17 19:00:00;3;1;0;0;0;0;0;0;0
2019-09-17 19:15:00;13;4;0;0;0;0;0;0;0
2019-09-17 19:30:00;35;24;0;0;0;0;0;0;0
2019-09-17 19:45:00;0;0;0;0;0;0;0;0;0
