DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-12-20 00:00:00;11;4;1;4;0;4;10;4;1;3;0
2019-12-20 00:15:00;19;7;2;3;0;4;13;4;0;3;0
2019-12-20 00:30:00;10;11;5;4;0;7;20;4;0;1;0
2019-12-20 00:45:00;9;9;2;3;1;5;16;1;0;0;0
2019-12-20 01:00:00;13;9;1;3;0;2;14;3;0;2;0
2019-12-20 01:15:00;6;4;2;0;0;0;8;5;0;0;0
2019-12-20 01:30:00;6;4;3;4;0;4;13;1;0;0;0
2019-12-20 01:45:00;14;4;0;2;0;2;13;0;0;2;0
2019-12-20 02:00:00;10;6;2;0;0;0;9;3;0;2;0
2019-12-20 02:15:00;10;6;2;1;0;1;11;3;1;1;1
2019-12-20 02:30:00;4;7;4;1;0;4;5;0;0;2;0
2019-12-20 02:45:00;9;5;1;2;0;2;6;1;0;1;0
2019-12-20 03:00:00;4;2;0;0;0;0;11;5;0;0;0
2019-12-20 03:15:00;3;1;1;2;0;2;5;1;0;0;0
2019-12-20 03:30:00;3;3;0;2;0;3;11;3;0;1;0
2019-12-20 03:45:00;3;3;1;1;0;1;8;0;0;0;0
2019-12-20 04:00:00;4;5;2;1;0;2;9;0;0;1;0
2019-12-20 04:15:00;5;5;2;1;0;3;13;4;0;1;0
2019-12-20 04:30:00;11;7;1;0;0;0;14;3;0;0;0
2019-12-20 04:45:00;15;11;1;1;0;4;20;5;0;0;0
2019-12-20 05:00:00;14;16;10;3;1;4;32;10;0;3;0
2019-12-20 05:15:00;18;18;9;4;0;5;52;32;0;1;0
2019-12-20 05:30:00;28;21;18;6;0;8;85;67;0;4;2
2019-12-20 05:45:00;47;37;23;21;1;27;92;83;0;4;0
2019-12-20 06:00:00;55;30;24;13;3;22;66;56;0;6;0
2019-12-20 06:15:00;60;27;19;22;5;28;102;95;0;4;0
2019-12-20 06:30:00;57;39;29;21;7;32;95;92;1;7;2
2019-12-20 06:45:00;68;36;40;29;10;47;101;104;0;8;0
2019-12-20 07:00:00;67;26;23;47;11;64;103;96;1;10;0
2019-12-20 07:15:00;58;49;41;58;25;81;97;84;0;8;0
2019-12-20 07:30:00;72;40;30;34;13;47;100;112;0;16;1
2019-12-20 07:45:00;92;46;34;32;12;53;109;113;6;13;0
2019-12-20 08:00:00;86;41;36;31;13;43;108;113;3;8;2
2019-12-20 08:15:00;89;35;33;26;5;30;94;93;2;8;1
2019-12-20 08:30:00;71;37;26;30;8;40;83;83;2;7;1
2019-12-20 08:45:00;79;50;31;26;12;40;97;98;1;6;0
2019-12-20 09:00:00;100;42;34;32;8;44;99;116;0;13;1
2019-12-20 09:15:00;95;40;31;21;7;28;97;87;3;10;1
2019-12-20 09:30:00;95;36;31;18;5;24;105;98;1;12;2
2019-12-20 09:45:00;133;46;35;22;6;29;105;88;4;10;2
2019-12-20 10:00:00;116;50;47;23;6;30;96;76;3;10;3
2019-12-20 10:15:00;129;50;44;16;2;18;99;95;2;14;4
2019-12-20 10:30:00;135;44;38;19;4;25;114;106;2;15;0
2019-12-20 10:45:00;154;51;53;18;10;26;115;98;3;7;0
2019-12-20 11:00:00;155;53;50;34;6;39;92;83;2;11;0
2019-12-20 11:15:00;135;62;41;20;5;21;98;87;2;12;1
2019-12-20 11:30:00;149;52;38;28;3;26;114;91;0;7;2
2019-12-20 11:45:00;156;61;69;25;7;30;122;104;5;19;2
2019-12-20 12:00:00;150;72;80;33;10;41;130;109;1;14;3
2019-12-20 12:15:00;192;70;72;22;8;29;119;102;0;11;0
2019-12-20 12:30:00;201;70;74;18;8;28;106;109;1;17;2
2019-12-20 12:45:00;182;64;75;24;8;28;112;87;1;11;0
2019-12-20 13:00:00;186;66;55;21;8;32;112;86;1;9;1
2019-12-20 13:15:00;190;66;70;24;10;32;112;106;1;17;0
2019-12-20 13:30:00;156;78;80;31;10;41;121;111;2;14;2
2019-12-20 13:45:00;196;70;81;20;7;28;117;112;2;12;1
2019-12-20 14:00:00;180;81;78;23;6;30;133;98;1;15;2
2019-12-20 14:15:00;240;105;111;19;9;32;121;99;4;20;4
2019-12-20 14:30:00;212;80;74;22;3;29;113;86;2;13;0
2019-12-20 14:45:00;188;85;69;34;8;42;108;90;1;16;3
2019-12-20 15:00:00;164;82;73;23;7;33;100;107;4;17;1
2019-12-20 15:15:00;196;99;76;24;13;33;125;109;1;11;0
2019-12-20 15:30:00;193;72;60;29;9;36;104;93;1;23;0
2019-12-20 15:45:00;170;84;70;21;11;32;118;111;4;15;2
2019-12-20 16:00:00;174;77;62;22;7;29;121;97;2;14;0
2019-12-20 16:15:00;173;60;55;24;7;30;111;97;4;18;0
2019-12-20 16:30:00;129;67;56;20;12;32;121;106;2;18;0
2019-12-20 16:45:00;146;71;56;25;6;29;118;87;1;10;0
2019-12-20 17:00:00;135;64;55;25;11;37;122;97;1;9;1
2019-12-20 17:15:00;150;60;46;21;8;31;120;97;2;19;0
2019-12-20 17:30:00;123;51;38;35;7;43;125;80;2;4;0
2019-12-20 17:45:00;134;50;40;30;13;38;131;94;0;8;1
2019-12-20 18:00:00;119;52;28;24;5;25;100;66;0;18;1
2019-12-20 18:15:00;121;55;30;23;5;28;103;68;0;10;2
2019-12-20 18:30:00;116;53;30;29;8;34;89;59;0;10;0
2019-12-20 18:45:00;103;43;29;18;5;19;90;59;0;8;0
2019-12-20 19:00:00;108;44;32;19;8;25;82;64;0;14;0
2019-12-20 19:15:00;74;37;21;23;9;31;81;40;1;7;0
2019-12-20 19:30:00;106;40;27;17;7;22;77;39;1;9;0
2019-12-20 19:45:00;93;36;30;15;6;22;77;39;0;5;0
2019-12-20 20:00:00;89;31;23;15;5;18;98;42;0;9;0
2019-12-20 20:15:00;75;32;22;17;7;22;79;40;0;8;0
2019-12-20 20:30:00;66;32;14;4;1;7;70;29;0;4;0
2019-12-20 20:45:00;50;20;14;14;4;17;54;19;0;9;0
2019-12-20 21:00:00;45;25;11;5;1;6;54;23;0;6;0
2019-12-20 21:15:00;66;27;19;11;7;12;51;23;0;2;1
2019-12-20 21:30:00;53;17;9;9;3;14;54;28;0;4;0
2019-12-20 21:45:00;35;24;11;11;5;14;42;30;0;4;0
2019-12-20 22:00:00;61;23;17;7;2;8;43;29;1;4;0
2019-12-20 22:15:00;65;20;9;8;0;10;41;14;1;6;0
2019-12-20 22:30:00;49;15;5;13;4;18;38;11;0;8;0
2019-12-20 22:45:00;32;18;11;14;4;17;30;10;0;3;0
2019-12-20 23:00:00;39;21;10;5;4;7;30;12;1;6;0
2019-12-20 23:15:00;22;15;10;3;2;5;27;6;1;3;0
2019-12-20 23:30:00;27;15;6;6;2;9;29;11;0;3;0
2019-12-20 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
