DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-07-31 00:00:00;1;6;0;7;0;6;1;1;0;0;0
2020-07-31 00:15:00;1;5;0;13;2;7;0;4;0;0;0
2020-07-31 00:30:00;0;4;0;6;0;4;2;3;0;0;0
2020-07-31 00:45:00;3;3;0;7;1;4;1;2;0;0;0
2020-07-31 01:00:00;2;1;0;4;1;3;0;0;0;0;0
2020-07-31 01:15:00;1;4;0;6;3;5;0;2;0;0;0
2020-07-31 01:30:00;2;2;0;2;0;1;1;0;0;0;0
2020-07-31 01:45:00;0;2;0;4;1;3;2;2;0;0;0
2020-07-31 02:00:00;0;1;0;5;0;3;0;0;0;0;0
2020-07-31 02:15:00;0;0;0;2;1;1;0;0;0;0;0
2020-07-31 02:30:00;0;1;0;2;0;2;0;0;0;0;0
2020-07-31 02:45:00;1;3;0;2;0;0;1;0;0;0;0
2020-07-31 03:00:00;0;2;0;3;1;2;0;0;0;0;0
2020-07-31 03:15:00;0;0;0;2;0;2;0;0;0;0;0
2020-07-31 03:30:00;0;0;0;4;1;3;0;2;0;0;0
2020-07-31 03:45:00;2;1;0;1;0;1;0;2;0;0;0
2020-07-31 04:00:00;2;2;0;3;0;1;1;2;0;0;0
2020-07-31 04:15:00;1;4;0;1;1;1;0;0;0;0;0
2020-07-31 04:30:00;4;3;0;1;0;0;0;1;0;0;0
2020-07-31 04:45:00;1;1;0;5;0;3;0;0;0;0;0
2020-07-31 05:00:00;5;3;0;7;0;4;1;3;0;0;0
2020-07-31 05:15:00;5;4;0;5;0;2;2;7;0;0;0
2020-07-31 05:30:00;4;10;0;6;1;4;1;4;0;0;0
2020-07-31 05:45:00;14;22;0;16;0;8;2;2;0;0;0
2020-07-31 06:00:00;17;15;0;24;4;16;1;11;0;0;0
2020-07-31 06:15:00;35;38;0;31;13;24;5;25;0;0;0
2020-07-31 06:30:00;27;17;0;37;8;24;1;14;0;0;0
2020-07-31 06:45:00;36;37;0;38;9;27;3;11;0;0;0
2020-07-31 07:00:00;37;58;0;25;4;15;3;21;0;0;0
2020-07-31 07:15:00;43;72;0;36;9;23;6;20;8;0;0
2020-07-31 07:30:00;60;59;0;55;10;38;4;19;0;0;0
2020-07-31 07:45:00;66;70;0;44;6;36;11;19;0;1;0
