DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2019-11-14 00:00:00;11;17;1;6;3;15;7;0;1;4;2
2019-11-14 00:15:00;14;10;4;3;1;11;5;1;3;1;0
2019-11-14 00:30:00;7;8;0;2;1;9;2;1;0;4;2
2019-11-14 00:45:00;5;6;1;1;0;11;6;3;0;0;0
2019-11-14 01:00:00;10;4;1;1;0;6;4;0;0;2;0
2019-11-14 01:15:00;8;3;1;4;1;9;2;0;1;2;2
2019-11-14 01:30:00;5;8;1;2;2;8;5;0;1;3;0
2019-11-14 01:45:00;6;5;0;2;2;5;6;1;2;1;0
2019-11-14 02:00:00;7;7;0;0;0;4;4;1;0;3;0
2019-11-14 02:15:00;10;8;1;3;2;8;4;0;0;2;0
2019-11-14 02:30:00;8;3;1;3;1;10;4;0;1;1;1
2019-11-14 02:45:00;7;5;0;2;2;11;3;0;2;2;2
2019-11-14 03:00:00;6;5;1;0;0;8;3;0;0;1;0
2019-11-14 03:15:00;6;12;1;1;0;9;3;1;0;0;0
2019-11-14 03:30:00;3;5;1;2;2;12;4;1;0;3;1
2019-11-14 03:45:00;7;6;0;2;1;16;3;0;1;3;0
2019-11-14 04:00:00;16;12;1;1;3;7;13;3;1;1;1
2019-11-14 04:15:00;14;12;0;3;2;8;6;1;3;4;0
2019-11-14 04:30:00;16;16;5;5;3;28;8;1;2;2;0
2019-11-14 04:45:00;29;21;2;6;3;37;23;3;1;6;3
2019-11-14 05:00:00;32;23;6;11;9;87;71;2;4;5;1
2019-11-14 05:15:00;40;33;15;17;10;119;128;5;3;15;6
2019-11-14 05:30:00;49;48;17;30;15;124;138;1;9;23;10
2019-11-14 05:45:00;95;99;27;42;22;123;128;6;9;22;8
2019-11-14 06:00:00;109;137;27;51;21;124;138;5;7;21;7
2019-11-14 06:15:00;99;114;26;45;26;146;182;8;15;32;12
2019-11-14 06:30:00;71;75;22;43;18;134;156;18;15;38;8
2019-11-14 06:45:00;67;96;29;66;17;122;146;23;29;45;11
2019-11-14 07:00:00;74;80;18;68;26;121;137;20;12;47;15
2019-11-14 07:15:00;69;90;26;89;27;141;153;38;19;40;16
2019-11-14 07:30:00;88;90;13;102;24;115;147;47;31;46;13
2019-11-14 07:45:00;82;101;27;90;30;86;119;41;34;51;20
2019-11-14 08:00:00;73;79;16;96;24;107;117;39;48;39;9
2019-11-14 08:15:00;89;92;18;65;27;94;114;21;30;49;25
2019-11-14 08:30:00;84;80;18;82;23;94;120;27;24;30;14
2019-11-14 08:45:00;90;105;16;67;20;113;141;32;39;44;19
2019-11-14 09:00:00;77;94;26;55;22;81;96;16;37;34;17
2019-11-14 09:15:00;73;103;18;60;18;86;98;37;22;50;22
2019-11-14 09:30:00;85;83;17;66;29;84;87;23;31;44;21
2019-11-14 09:45:00;79;100;22;59;28;80;100;20;32;45;18
2019-11-14 10:00:00;81;98;30;45;29;77;89;37;28;46;21
2019-11-14 10:15:00;77;87;32;59;22;70;88;32;28;54;21
2019-11-14 10:30:00;85;98;28;63;15;76;80;26;25;55;19
2019-11-14 10:45:00;85;99;23;66;22;57;76;26;29;58;25
2019-11-14 11:00:00;78;112;29;58;20;93;89;23;37;57;25
2019-11-14 11:15:00;86;107;25;48;11;68;89;28;29;75;30
2019-11-14 11:30:00;96;105;34;44;18;70;75;25;41;63;25
2019-11-14 11:45:00;96;123;25;48;13;83;83;23;35;67;22
2019-11-14 12:00:00;98;127;26;50;17;75;73;30;38;56;20
