DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(TA);16(DB4);17(DB5)
2020-08-17 00:00:00;5;12;6;3;0;1;1;8;5;4;1;2;14;6;5;5;0
2020-08-17 00:15:00;14;12;4;1;0;1;2;9;8;4;0;4;10;5;0;2;0
2020-08-17 00:30:00;3;12;7;1;1;2;0;7;5;4;3;5;8;4;1;2;0
2020-08-17 00:45:00;6;8;2;1;0;4;0;5;3;2;1;10;16;5;14;0;0
2020-08-17 01:00:00;8;8;3;0;0;0;0;4;7;1;1;5;7;2;0;1;0
2020-08-17 01:15:00;5;5;3;1;0;0;0;3;4;1;0;4;8;0;0;3;0
2020-08-17 01:30:00;6;3;1;0;0;0;0;4;3;6;0;3;4;1;0;0;0
2020-08-17 01:45:00;5;4;0;1;1;0;1;3;0;1;0;6;5;1;0;1;0
2020-08-17 02:00:00;7;5;3;1;0;0;1;3;4;3;0;3;5;0;0;1;0
2020-08-17 02:15:00;6;4;0;1;0;0;1;2;1;3;0;3;5;1;0;1;0
2020-08-17 02:30:00;6;9;1;0;0;0;0;5;3;3;0;5;4;1;0;0;0
2020-08-17 02:45:00;7;10;3;0;0;0;0;4;2;2;2;4;4;1;0;0;0
2020-08-17 03:00:00;6;3;0;1;0;0;0;4;5;1;0;6;1;0;0;1;0
2020-08-17 03:15:00;4;4;0;1;0;1;0;2;3;2;0;2;1;1;0;1;0
2020-08-17 03:30:00;5;3;2;0;0;0;0;4;3;4;0;7;4;0;0;0;0
2020-08-17 03:45:00;5;4;2;0;0;0;0;1;3;4;1;4;1;0;0;1;0
2020-08-17 04:00:00;3;5;0;0;0;0;1;7;6;3;3;5;4;1;0;0;0
2020-08-17 04:15:00;2;5;2;0;1;0;1;3;4;4;2;2;12;3;5;2;0
2020-08-17 04:30:00;19;14;2;0;0;1;0;2;5;8;1;3;6;3;8;0;0
2020-08-17 04:45:00;15;12;6;1;0;0;0;11;8;7;1;11;2;0;5;3;0
2020-08-17 05:00:00;20;18;8;0;0;1;0;11;8;5;3;14;5;4;3;1;0
2020-08-17 05:15:00;32;33;32;0;0;0;0;13;19;11;8;14;14;3;3;0;0
2020-08-17 05:30:00;34;58;54;1;0;0;0;13;25;18;13;28;15;8;9;1;0
2020-08-17 05:45:00;62;44;48;1;0;2;0;19;27;11;2;29;20;6;11;2;0
2020-08-17 06:00:00;48;45;40;1;0;0;0;24;25;12;8;25;23;5;11;4;0
2020-08-17 06:15:00;72;49;44;5;0;1;1;31;28;11;8;35;32;9;12;6;0
2020-08-17 06:30:00;80;71;79;2;1;1;0;27;40;21;17;36;35;17;14;6;0
2020-08-17 06:45:00;95;64;64;6;0;1;1;27;34;22;25;55;50;28;7;12;0
2020-08-17 07:00:00;70;63;62;5;0;3;0;28;34;13;13;52;43;35;9;9;0
2020-08-17 07:15:00;82;68;76;12;0;3;1;51;57;20;21;54;48;29;19;18;0
2020-08-17 07:30:00;87;87;77;13;0;1;1;58;53;28;24;56;46;42;51;16;0
2020-08-17 07:45:00;82;65;69;2;0;3;0;51;53;28;26;49;50;39;11;12;0
2020-08-17 08:00:00;82;72;71;7;0;5;3;51;55;27;19;56;47;30;16;13;0
2020-08-17 08:15:00;69;76;71;9;0;3;0;101;64;21;13;50;43;20;7;10;0
2020-08-17 08:30:00;83;74;79;5;0;3;1;47;60;25;17;51;44;33;13;9;0
2020-08-17 08:45:00;77;92;79;5;0;1;1;58;56;27;17;46;36;37;8;7;0
2020-08-17 09:00:00;85;63;50;4;0;4;1;56;61;32;30;58;47;30;8;8;0
2020-08-17 09:15:00;84;71;51;7;0;3;3;117;69;42;24;53;48;39;21;14;0
2020-08-17 09:30:00;78;66;57;5;1;1;3;103;59;35;28;65;37;31;5;11;0
2020-08-17 09:45:00;90;84;68;8;2;0;4;52;70;42;32;65;47;38;17;9;0
2020-08-17 10:00:00;68;69;54;6;0;4;4;54;61;36;26;66;42;24;8;7;0
2020-08-17 10:15:00;101;74;53;7;1;7;4;76;82;37;30;84;41;36;13;15;0
2020-08-17 10:30:00;81;93;93;9;0;3;2;82;75;44;31;91;53;42;27;15;0
2020-08-17 10:45:00;93;82;66;16;1;6;4;72;76;43;38;65;52;42;12;18;0
2020-08-17 11:00:00;89;84;86;5;2;5;4;72;96;31;32;81;46;52;9;14;0
2020-08-17 11:15:00;87;79;87;12;0;7;9;76;74;41;31;92;59;50;17;15;0
2020-08-17 11:30:00;84;83;87;11;2;10;5;110;82;54;36;86;70;51;66;20;0
2020-08-17 11:45:00;80;74;67;11;2;8;3;80;80;46;38;71;45;47;45;11;0
2020-08-17 12:00:00;70;92;72;16;4;6;6;131;39;48;38;83;52;43;11;18;0
2020-08-17 12:15:00;92;79;75;22;3;8;6;104;84;53;40;68;48;41;8;30;0
2020-08-17 12:30:00;79;78;74;6;2;3;1;77;87;41;30;65;50;45;16;15;0
2020-08-17 12:45:00;101;72;71;6;1;21;2;77;90;38;28;67;45;37;12;12;0
2020-08-17 13:00:00;88;84;61;11;1;8;2;57;80;38;27;55;46;41;15;20;0
2020-08-17 13:15:00;82;67;67;10;1;14;5;68;69;43;33;68;60;49;30;20;0
2020-08-17 13:30:00;77;76;64;8;2;3;5;126;85;44;33;60;45;40;21;16;0
2020-08-17 13:45:00;100;72;78;6;6;7;7;111;97;58;39;74;55;45;34;21;0
2020-08-17 14:00:00;84;69;75;9;2;6;5;92;110;40;38;65;57;59;20;15;0
2020-08-17 14:15:00;86;80;76;9;2;2;4;117;114;42;43;82;61;49;17;20;0
2020-08-17 14:30:00;89;71;61;9;1;3;6;119;84;37;29;69;50;48;18;19;0
2020-08-17 14:45:00;78;79;73;15;1;2;1;85;86;50;36;71;61;65;19;28;0
2020-08-17 15:00:00;91;81;76;12;1;4;6;84;92;45;34;72;54;45;5;20;0
2020-08-17 15:15:00;104;81;70;18;0;11;7;79;90;53;49;82;61;62;25;20;0
2020-08-17 15:30:00;110;74;73;9;4;8;3;89;108;50;42;77;52;55;35;14;0
2020-08-17 15:45:00;80;75;76;10;1;12;9;126;101;57;48;79;68;60;9;20;0
