DATUM;1(DA1);2(DB1);3(DC1);4(DC2);5(DRES1);6(DRES2);7(TAFGA);8(TAFBA)
2020-06-28 00:00:00;13;8;2;1;0;0;0;0
2020-06-28 00:15:00;9;6;1;1;0;0;0;0
2020-06-28 00:30:00;8;4;1;1;0;0;0;0
2020-06-28 00:45:00;7;9;0;1;0;0;0;0
2020-06-28 01:00:00;7;9;1;0;0;0;0;0
2020-06-28 01:15:00;8;5;1;0;0;0;0;0
2020-06-28 01:30:00;4;5;0;1;0;0;0;0
2020-06-28 01:45:00;3;5;1;0;0;0;0;0
2020-06-28 02:00:00;1;3;0;1;0;0;0;0
2020-06-28 02:15:00;3;2;1;0;0;0;0;0
2020-06-28 02:30:00;0;3;0;0;0;0;0;0
2020-06-28 02:45:00;4;3;1;1;0;0;0;0
2020-06-28 03:00:00;4;2;2;1;0;0;0;0
2020-06-28 03:15:00;2;2;0;0;0;0;2;0
2020-06-28 03:30:00;2;2;0;0;0;0;0;0
2020-06-28 03:45:00;4;4;0;0;0;0;0;0
2020-06-28 04:00:00;2;6;0;1;0;0;0;0
2020-06-28 04:15:00;5;2;0;0;0;0;0;0
2020-06-28 04:30:00;1;2;0;0;0;0;0;0
2020-06-28 04:45:00;1;2;1;0;0;0;0;0
2020-06-28 05:00:00;1;1;0;0;0;0;0;0
2020-06-28 05:15:00;5;2;2;0;0;0;0;0
2020-06-28 05:30:00;2;4;1;2;0;0;0;0
2020-06-28 05:45:00;3;4;1;1;0;0;0;0
2020-06-28 06:00:00;3;4;1;1;0;0;0;0
2020-06-28 06:15:00;3;2;0;1;0;0;0;0
2020-06-28 06:30:00;4;6;0;0;0;0;0;0
2020-06-28 06:45:00;1;10;2;0;0;0;0;0
2020-06-28 07:00:00;6;5;1;0;0;0;0;0
2020-06-28 07:15:00;2;8;0;0;0;0;0;0
2020-06-28 07:30:00;4;3;0;1;0;0;0;0
2020-06-28 07:45:00;5;9;4;1;0;0;0;0
2020-06-28 08:00:00;6;2;1;1;0;0;0;0
2020-06-28 08:15:00;3;6;1;0;0;0;0;0
2020-06-28 08:30:00;6;5;0;0;0;0;0;0
2020-06-28 08:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-28 09:00:00;11;11;1;1;0;0;0;0
2020-06-28 09:15:00;11;11;4;5;0;0;0;0
2020-06-28 09:30:00;11;12;0;2;0;0;0;0
2020-06-28 09:45:00;18;26;0;0;0;0;0;0
2020-06-28 10:00:00;22;30;2;0;0;0;0;0
2020-06-28 10:15:00;25;29;0;0;0;0;0;0
2020-06-28 10:30:00;28;14;0;0;0;0;0;0
2020-06-28 10:45:00;25;25;2;1;0;0;3;0
2020-06-28 11:00:00;27;29;6;4;0;0;0;0
2020-06-28 11:15:00;20;26;2;0;0;0;0;0
2020-06-28 11:30:00;33;22;3;1;0;0;1;0
2020-06-28 11:45:00;21;39;5;4;0;0;0;0
2020-06-28 12:00:00;24;17;1;1;0;0;0;0
2020-06-28 12:15:00;21;25;1;3;0;0;0;0
2020-06-28 12:30:00;17;12;1;1;0;0;0;0
2020-06-28 12:45:00;29;20;4;3;0;0;0;0
2020-06-28 13:00:00;26;18;1;0;0;0;0;0
2020-06-28 13:15:00;31;32;3;0;0;0;2;1
2020-06-28 13:30:00;36;17;4;1;0;0;0;0
2020-06-28 13:45:00;20;20;1;2;0;0;0;0
2020-06-28 14:00:00;31;25;3;1;0;0;0;0
2020-06-28 14:15:00;27;23;4;1;0;0;0;0
2020-06-28 14:30:00;25;16;0;0;0;0;1;0
2020-06-28 14:45:00;17;29;0;1;0;0;0;0
2020-06-28 15:00:00;31;20;1;1;0;0;0;0
2020-06-28 15:15:00;20;34;3;1;0;0;0;0
2020-06-28 15:30:00;31;23;0;1;0;0;0;0
2020-06-28 15:45:00;21;26;3;2;0;0;0;0
2020-06-28 16:00:00;36;23;2;1;0;0;0;0
2020-06-28 16:15:00;23;24;4;2;0;0;0;0
2020-06-28 16:30:00;26;25;1;1;0;0;0;0
2020-06-28 16:45:00;16;27;1;0;0;0;0;0
2020-06-28 17:00:00;22;25;0;0;0;0;12;5
2020-06-28 17:15:00;25;23;1;3;0;0;0;0
2020-06-28 17:30:00;40;39;4;1;0;0;0;0
2020-06-28 17:45:00;21;24;4;2;0;0;1;0
2020-06-28 18:00:00;24;24;2;4;0;0;1;0
2020-06-28 18:15:00;23;24;2;1;0;0;0;0
2020-06-28 18:30:00;27;17;0;0;0;0;0;0
2020-06-28 18:45:00;26;24;3;1;0;0;0;0
2020-06-28 19:00:00;21;21;1;0;0;0;0;0
2020-06-28 19:15:00;18;24;2;4;0;0;0;0
2020-06-28 19:30:00;24;19;6;5;0;0;0;0
2020-06-28 19:45:00;21;25;2;2;0;0;0;0
2020-06-28 20:00:00;25;16;4;1;0;0;1;0
2020-06-28 20:15:00;20;15;3;1;0;0;0;0
2020-06-28 20:30:00;24;28;1;0;0;0;0;0
2020-06-28 20:45:00;15;22;1;1;0;0;0;0
2020-06-28 21:00:00;20;15;2;2;0;0;0;0
2020-06-28 21:15:00;16;18;1;3;0;0;0;0
2020-06-28 21:30:00;20;12;0;0;0;0;0;0
2020-06-28 21:45:00;19;11;1;0;0;0;0;0
2020-06-28 22:00:00;9;9;1;1;0;0;0;0
2020-06-28 22:15:00;12;12;0;0;0;0;0;0
2020-06-28 22:30:00;7;9;0;1;0;0;0;0
2020-06-28 22:45:00;6;14;1;0;0;0;0;0
2020-06-28 23:00:00;8;6;1;0;0;0;0;0
2020-06-28 23:15:00;7;9;0;0;0;0;0;0
2020-06-28 23:30:00;5;5;0;0;0;0;0;0
2020-06-28 23:45:00;7;4;0;0;0;0;0;0
