DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DB4);8(DB5);9(DB6);10(DB7);11(DC1);12(DC2);13(DD1);14(DD2);15(RES1);16(RES2);17(RES3)
2020-04-24 00:00:00;1;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-04-24 00:15:00;0;1;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0
2020-04-24 00:30:00;1;5;0;0;0;2;0;0;2;0;1;0;0;0;0;0;0
2020-04-24 00:45:00;1;5;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0
2020-04-24 01:00:00;0;5;2;0;0;1;0;0;2;0;0;1;0;0;0;0;0
2020-04-24 01:15:00;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-04-24 01:30:00;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0
2020-04-24 01:45:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-24 02:00:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-24 02:15:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-04-24 02:30:00;0;1;1;1;0;4;1;0;5;1;0;0;0;0;0;0;0
2020-04-24 02:45:00;2;3;1;0;0;4;0;0;5;0;0;1;0;0;0;0;0
2020-04-24 03:00:00;0;5;1;0;0;6;0;0;4;0;0;0;0;0;0;0;0
2020-04-24 03:15:00;0;2;0;0;0;7;0;0;5;0;1;0;0;0;0;0;0
2020-04-24 03:30:00;0;1;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-04-24 03:45:00;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-04-24 04:00:00;2;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
2020-04-24 04:15:00;0;3;1;0;0;2;0;0;2;0;0;2;0;0;0;0;0
2020-04-24 04:30:00;0;6;1;0;0;2;0;0;3;0;0;1;0;0;0;0;0
2020-04-24 04:45:00;0;7;3;0;0;8;0;0;6;0;0;1;0;0;0;0;0
2020-04-24 05:00:00;1;8;0;1;1;9;1;0;9;1;0;0;0;0;0;0;0
2020-04-24 05:15:00;1;13;2;0;0;19;0;0;19;3;1;2;0;0;0;0;0
2020-04-24 05:30:00;4;23;4;1;0;9;1;0;8;1;0;2;0;0;0;0;0
2020-04-24 05:45:00;4;28;8;4;2;19;6;3;20;5;2;3;0;0;0;0;0
2020-04-24 06:00:00;9;26;8;1;0;23;1;0;24;2;0;2;0;0;0;0;0
2020-04-24 06:15:00;5;33;15;1;1;35;1;0;38;0;5;4;0;0;0;0;0
2020-04-24 06:30:00;3;42;20;3;2;64;5;3;67;6;6;3;0;0;0;0;0
2020-04-24 06:45:00;3;40;24;4;2;79;4;2;79;6;0;10;0;0;0;0;0
2020-04-24 07:00:00;3;43;24;3;1;64;4;1;60;6;2;6;0;0;0;0;0
2020-04-24 07:15:00;6;52;23;6;7;63;5;4;66;4;8;9;0;0;0;0;0
2020-04-24 07:30:00;5;45;29;2;1;77;2;1;80;3;5;7;0;0;0;0;0
2020-04-24 07:45:00;3;39;26;6;2;91;9;1;89;7;1;6;0;0;0;0;0
2020-04-24 08:00:00;14;45;25;4;0;52;4;1;54;5;3;6;1;0;0;0;0
2020-04-24 08:15:00;6;43;22;5;4;48;9;2;50;8;2;7;0;0;0;0;0
2020-04-24 08:30:00;3;35;20;3;3;42;3;2;49;4;2;7;2;0;0;0;0
2020-04-24 08:45:00;5;47;26;4;3;51;5;1;48;8;6;8;0;0;0;0;0
2020-04-24 09:00:00;9;56;26;2;1;38;1;1;41;2;5;6;0;0;0;0;0
2020-04-24 09:15:00;6;51;25;4;1;38;5;0;40;3;2;4;0;0;0;0;0
