DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-06-01 00:00:00;22;1;0;0;20;1;0;0;0;0;0;0;0
2020-06-01 00:15:00;11;0;0;1;16;0;0;0;0;0;0;0;0
2020-06-01 00:30:00;10;0;0;2;9;1;0;0;0;0;0;0;0
2020-06-01 00:45:00;10;1;0;0;7;0;0;0;0;0;0;0;0
2020-06-01 01:00:00;10;0;0;2;13;0;0;0;0;0;0;0;0
2020-06-01 01:15:00;5;0;0;0;9;0;0;0;0;0;0;0;0
2020-06-01 01:30:00;4;0;0;1;7;0;0;0;0;0;0;0;0
2020-06-01 01:45:00;7;0;0;0;7;0;0;0;0;0;0;0;0
2020-06-01 02:00:00;6;0;0;0;5;0;0;0;0;0;0;0;0
2020-06-01 02:15:00;5;0;0;0;8;1;0;0;0;0;0;0;0
2020-06-01 02:30:00;8;0;0;0;6;0;0;0;0;0;0;0;0
2020-06-01 02:45:00;7;0;0;1;5;0;0;0;0;0;0;0;0
2020-06-01 03:00:00;4;1;0;0;5;0;0;0;0;0;0;0;0
2020-06-01 03:15:00;0;0;0;1;5;0;0;0;0;0;0;0;0
2020-06-01 03:30:00;4;0;0;0;3;0;0;0;0;0;0;0;0
2020-06-01 03:45:00;1;0;0;0;1;0;0;0;0;0;0;0;0
2020-06-01 04:00:00;4;0;0;1;1;0;0;0;0;0;0;0;0
2020-06-01 04:15:00;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-06-01 04:30:00;3;0;0;0;1;0;0;0;0;0;0;0;0
2020-06-01 04:45:00;1;0;0;0;2;0;0;0;0;0;0;0;0
2020-06-01 05:00:00;3;0;0;0;2;0;0;0;0;0;0;0;0
2020-06-01 05:15:00;9;1;0;0;9;0;0;0;0;0;0;0;0
2020-06-01 05:30:00;9;0;0;0;7;0;0;0;0;0;0;0;0
2020-06-01 05:45:00;12;0;0;2;14;0;0;0;0;0;0;0;0
2020-06-01 06:00:00;3;0;0;1;12;0;0;0;0;0;0;0;0
2020-06-01 06:15:00;11;0;0;0;10;2;0;0;0;0;0;0;0
2020-06-01 06:30:00;9;0;1;1;7;0;0;0;0;0;0;0;0
2020-06-01 06:45:00;5;1;2;0;4;0;0;0;0;0;0;0;0
2020-06-01 07:00:00;4;5;2;0;21;1;0;0;0;0;0;0;0
2020-06-01 07:15:00;18;3;7;0;19;0;0;0;0;0;0;0;0
2020-06-01 07:30:00;12;5;5;1;18;0;0;0;0;0;0;0;0
2020-06-01 07:45:00;16;7;7;4;14;0;0;0;0;0;0;0;0
2020-06-01 08:00:00;17;6;5;3;16;0;1;0;1;0;0;0;0
2020-06-01 08:15:00;14;5;6;2;20;0;0;0;0;0;0;0;0
2020-06-01 08:30:00;25;8;4;1;17;0;1;0;0;0;0;0;0
2020-06-01 08:45:00;30;12;9;5;29;0;0;0;0;0;0;0;0
2020-06-01 09:00:00;19;8;9;4;33;0;0;0;0;0;0;0;0
2020-06-01 09:15:00;26;7;12;2;44;0;0;0;2;0;0;0;0
2020-06-01 09:30:00;39;6;8;3;49;1;0;0;0;0;0;0;0
2020-06-01 09:45:00;34;5;12;4;70;0;2;0;0;0;0;0;0
2020-06-01 10:00:00;40;2;6;3;59;0;1;0;10;0;0;0;0
2020-06-01 10:15:00;31;7;3;2;84;0;0;0;0;0;0;0;0
2020-06-01 10:30:00;46;8;6;5;64;0;0;0;0;0;0;0;0
2020-06-01 10:45:00;51;7;4;6;78;0;0;0;2;0;0;0;0
2020-06-01 11:00:00;52;7;3;2;91;0;0;1;11;0;0;0;0
2020-06-01 11:15:00;49;5;7;5;95;1;0;1;1;0;0;0;0
2020-06-01 11:30:00;58;3;7;5;99;0;0;0;4;0;0;0;0
2020-06-01 11:45:00;48;3;3;1;94;0;0;0;0;0;0;0;0
2020-06-01 12:00:00;45;3;4;2;86;0;0;0;0;0;0;0;0
2020-06-01 12:15:00;69;4;6;6;76;0;0;0;0;0;0;0;0
2020-06-01 12:30:00;58;4;3;5;65;0;0;0;3;0;0;0;0
2020-06-01 12:45:00;65;3;3;3;69;0;0;0;38;0;0;0;0
2020-06-01 13:00:00;54;4;8;8;77;1;0;0;12;0;0;0;0
2020-06-01 13:15:00;63;5;3;5;81;0;2;0;7;0;0;0;0
2020-06-01 13:30:00;72;1;7;8;91;0;0;0;2;0;0;0;0
2020-06-01 13:45:00;101;3;2;1;91;0;0;0;15;0;0;0;0
2020-06-01 14:00:00;65;4;4;10;95;0;1;0;0;0;0;0;0
2020-06-01 14:15:00;72;4;5;5;76;1;0;0;0;0;0;0;0
2020-06-01 14:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-01 14:45:00;73;2;3;2;89;0;0;0;0;0;0;0;0
2020-06-01 15:00:00;87;0;1;4;70;1;0;0;0;0;0;0;0
