DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-09-18 21:00:00;33;0;55;9;0;0;8;0;0;0;0;0
2019-09-18 21:15:00;39;0;32;14;0;0;1;0;0;0;0;0
2019-09-18 21:30:00;23;0;36;5;0;0;2;0;0;0;0;0
2019-09-18 21:45:00;36;0;40;15;0;0;0;0;0;0;0;0
2019-09-18 22:00:00;25;0;37;11;0;0;0;0;0;0;0;0
2019-09-18 22:15:00;49;0;40;4;1;0;10;0;0;0;0;0
2019-09-18 22:30:00;22;0;37;5;0;0;7;0;1;0;0;0
2019-09-18 22:45:00;16;0;32;9;1;0;0;0;0;0;0;0
2019-09-18 23:00:00;21;0;12;10;0;0;0;0;0;0;0;0
2019-09-18 23:15:00;13;0;8;6;0;6;0;0;0;0;0;0
2019-09-18 23:30:00;9;0;9;2;0;0;0;0;0;0;0;0
2019-09-18 23:45:00;9;0;16;4;0;0;3;0;0;0;0;0
