DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-05-15 00:00:00;0;6;2;12;3;0;0
2020-05-15 00:15:00;0;10;6;6;10;2;2
2020-05-15 00:30:00;0;13;3;3;7;1;1
2020-05-15 00:45:00;0;12;8;7;4;0;0
2020-05-15 01:00:00;0;4;4;10;7;0;0
2020-05-15 01:15:00;0;5;4;3;4;0;0
2020-05-15 01:30:00;0;2;1;4;3;0;0
2020-05-15 01:45:00;0;5;4;7;4;0;0
2020-05-15 02:00:00;0;5;2;8;3;0;0
2020-05-15 02:15:00;0;6;4;3;2;0;0
2020-05-15 02:30:00;0;5;2;4;3;0;0
2020-05-15 02:45:00;0;5;1;3;4;0;0
2020-05-15 03:00:00;0;1;0;8;1;0;0
2020-05-15 03:15:00;0;4;2;5;4;0;0
2020-05-15 03:30:00;0;2;1;5;3;0;0
2020-05-15 03:45:00;0;2;1;3;3;0;0
2020-05-15 04:00:00;0;4;1;6;2;0;0
2020-05-15 04:15:00;0;8;1;16;7;0;0
2020-05-15 04:30:00;0;10;4;8;7;0;0
2020-05-15 04:45:00;0;15;9;16;11;0;0
2020-05-15 05:00:00;0;35;17;40;31;0;0
2020-05-15 05:15:00;4;54;50;59;33;0;0
2020-05-15 05:30:00;0;63;63;33;33;2;2
2020-05-15 05:45:00;3;48;57;29;26;2;2
2020-05-15 06:00:00;2;47;40;31;28;4;4
2020-05-15 06:15:00;8;63;64;46;29;4;4
2020-05-15 06:30:00;0;85;94;41;35;6;6
2020-05-15 06:45:00;2;79;95;44;53;3;3
2020-05-15 07:00:00;2;96;107;48;48;7;7
2020-05-15 07:15:00;15;104;127;70;63;6;6
2020-05-15 07:30:00;15;107;121;59;67;3;3
2020-05-15 07:45:00;5;96;100;92;79;4;4
2020-05-15 08:00:00;1;92;74;73;72;6;6
2020-05-15 08:15:00;13;82;89;77;71;3;4
2020-05-15 08:30:00;0;98;85;72;66;5;6
2020-05-15 08:45:00;11;84;81;96;86;2;2
2020-05-15 09:00:00;22;77;72;90;78;4;4
2020-05-15 09:15:00;4;89;74;73;70;3;2
2020-05-15 09:30:00;4;97;98;95;90;5;6
2020-05-15 09:45:00;6;93;83;102;107;2;2
2020-05-15 10:00:00;2;106;93;90;91;3;3
2020-05-15 10:15:00;19;116;93;95;114;4;4
2020-05-15 10:30:00;5;115;97;97;113;4;4
2020-05-15 10:45:00;26;106;101;101;115;3;3
2020-05-15 11:00:00;1;105;108;106;100;4;4
2020-05-15 11:15:00;6;107;95;94;156;3;3
2020-05-15 11:30:00;16;105;95;106;126;5;5
2020-05-15 11:45:00;8;108;91;84;120;3;3
2020-05-15 12:00:00;3;106;82;118;131;4;4
2020-05-15 12:15:00;4;108;98;112;170;3;3
2020-05-15 12:30:00;2;122;115;111;126;5;5
2020-05-15 12:45:00;6;119;99;123;162;3;3
2020-05-15 13:00:00;4;119;124;124;146;3;3
2020-05-15 13:15:00;6;107;87;125;164;10;10
2020-05-15 13:30:00;9;111;88;123;141;6;6
2020-05-15 13:45:00;17;117;115;132;157;2;2
2020-05-15 14:00:00;17;99;105;109;140;2;2
2020-05-15 14:15:00;7;68;65;79;91;2;1
2020-05-15 14:30:00;5;109;107;131;164;6;6
2020-05-15 14:45:00;44;104;101;132;137;3;4
2020-05-15 15:00:00;11;124;102;110;116;4;4
2020-05-15 15:15:00;11;105;90;123;124;2;2
2020-05-15 15:30:00;7;94;100;114;133;7;7
2020-05-15 15:45:00;13;106;90;116;118;2;2
2020-05-15 16:00:00;57;127;102;127;135;3;3
2020-05-15 16:15:00;11;112;102;104;120;3;3
2020-05-15 16:30:00;39;108;108;116;127;6;6
2020-05-15 16:45:00;17;95;91;128;133;2;2
2020-05-15 17:00:00;12;109;104;106;141;5;5
2020-05-15 17:15:00;2;106;103;100;132;2;2
2020-05-15 17:30:00;3;39;37;37;38;2;2
2020-05-15 17:45:00;
2020-05-15 18:00:00;
2020-05-15 18:15:00;
2020-05-15 18:30:00;
2020-05-15 18:45:00;5;69;72;83;74;2;2
2020-05-15 19:00:00;5;69;73;98;82;3;3
2020-05-15 19:15:00;4;76;61;84;85;4;4
2020-05-15 19:30:00;2;71;62;75;87;4;4
2020-05-15 19:45:00;1;58;61;59;51;2;2
2020-05-15 20:00:00;23;51;49;49;35;3;3
2020-05-15 20:15:00;5;57;64;75;60;2;2
2020-05-15 20:30:00;1;41;41;46;41;3;3
2020-05-15 20:45:00;1;40;52;51;36;1;1
2020-05-15 21:00:00;3;54;62;41;43;3;3
2020-05-15 21:15:00;1;43;50;52;42;1;2
2020-05-15 21:30:00;3;40;38;41;23;1;1
2020-05-15 21:45:00;0;33;18;37;35;2;2
2020-05-15 22:00:00;0;29;25;46;30;2;2
2020-05-15 22:15:00;1;22;28;27;28;2;2
2020-05-15 22:30:00;0;16;20;36;16;1;1
2020-05-15 22:45:00;0;16;16;25;25;0;0
2020-05-15 23:00:00;0;26;22;22;17;2;2
2020-05-15 23:15:00;0;20;15;28;25;0;0
2020-05-15 23:30:00;0;24;19;17;18;1;1
2020-05-15 23:45:00;0;12;11;23;15;0;0
