DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-12-25 00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 00:30:00;1;1;1;1;0;2;1;1;0;0;0;0;0;0
2020-12-25 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:15:00;4;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 01:30:00;2;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 02:30:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 02:45:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 03:30:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2020-12-25 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:30:00;2;1;2;1;0;0;0;0;0;0;0;0;0;0
2020-12-25 04:45:00;1;1;0;0;1;1;2;1;0;0;0;0;0;0
2020-12-25 05:00:00;0;0;0;0;0;2;2;2;0;0;0;0;0;0
2020-12-25 05:15:00;0;0;0;0;3;2;2;1;0;0;0;0;0;0
2020-12-25 05:30:00;1;2;2;1;2;1;1;1;0;0;0;0;0;0
2020-12-25 05:45:00;0;0;0;0;3;2;2;2;0;0;0;0;0;0
2020-12-25 06:00:00;3;0;0;0;0;1;0;0;0;0;0;0;0;0
2020-12-25 06:15:00;3;1;1;0;1;1;1;1;0;0;0;0;0;0
2020-12-25 06:30:00;0;1;1;1;1;1;1;1;0;0;0;0;0;0
2020-12-25 06:45:00;0;1;0;0;4;1;1;2;0;0;0;0;0;0
2020-12-25 07:00:00;2;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-12-25 07:15:00;6;0;0;0;3;3;2;3;0;0;0;0;0;0
2020-12-25 07:30:00;4;1;1;1;3;1;1;1;0;0;0;0;0;0
