DATUM;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);7(TAFBA);8(TAFGB);9(TAFBB);10(TAFBC);11(TAFGD);12(TAFBD);13(TAFGB2);14(TAFBB2)
2020-11-30 00:00:00;0;0;5;0;0;3;0;0;0;0;0;0;0;0
2020-11-30 00:15:00;0;0;2;0;0;6;0;0;0;0;0;0;0;0
2020-11-30 00:30:00;0;0;2;0;0;1;0;0;0;0;0;0;0;0
2020-11-30 00:45:00;0;0;6;0;0;2;0;0;0;0;0;0;0;0
2020-11-30 01:00:00;0;0;1;0;0;4;0;0;0;0;0;0;0;0
2020-11-30 01:15:00;0;0;1;0;0;3;0;0;0;0;0;0;0;0
2020-11-30 01:30:00;0;0;2;0;0;1;0;0;0;0;0;0;0;0
2020-11-30 01:45:00;0;0;0;0;0;7;0;0;0;0;0;0;0;0
2020-11-30 02:00:00;0;0;4;0;0;2;0;0;0;0;0;0;0;0
2020-11-30 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-30 02:30:00;0;0;2;0;0;3;0;0;0;0;0;0;0;0
2020-11-30 02:45:00;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-11-30 03:00:00;0;0;2;0;0;2;0;0;0;0;0;0;0;0
2020-11-30 03:15:00;1;0;5;0;0;3;0;0;0;0;0;0;0;0
2020-11-30 03:30:00;1;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-11-30 03:45:00;0;0;3;0;0;4;0;0;0;0;0;0;0;0
2020-11-30 04:00:00;0;0;5;0;0;2;0;0;0;0;0;0;0;0
2020-11-30 04:15:00;0;0;6;0;0;4;0;0;0;0;0;0;0;0
2020-11-30 04:30:00;0;0;13;0;0;4;0;0;0;0;0;0;0;0
2020-11-30 04:45:00;1;0;41;1;2;7;0;0;0;0;0;0;0;0
2020-11-30 05:00:00;0;0;83;1;1;8;0;0;0;0;0;0;0;0
2020-11-30 05:15:00;0;0;177;2;2;18;0;0;0;0;0;0;0;0
2020-11-30 05:30:00;0;0;148;6;6;17;0;0;0;0;0;0;0;0
2020-11-30 05:45:00;2;0;154;1;3;18;0;0;0;0;0;0;0;0
2020-11-30 06:00:00;0;0;113;0;4;33;0;0;0;0;0;0;0;0
2020-11-30 06:15:00;0;0;181;4;2;39;0;0;0;0;1;0;0;0
2020-11-30 06:30:00;2;0;210;9;11;54;0;1;0;0;0;0;0;0
2020-11-30 06:45:00;0;0;232;12;19;70;0;0;0;0;0;0;0;0
2020-11-30 07:00:00;2;0;235;17;19;66;0;0;0;0;0;0;0;0
2020-11-30 07:15:00;1;0;259;39;39;79;0;1;0;0;0;0;0;0
2020-11-30 07:30:00;5;0;170;61;60;116;0;3;0;0;0;0;0;0
2020-11-30 07:45:00;18;0;233;47;49;114;0;0;0;0;1;0;0;0
2020-11-30 08:00:00;8;0;232;35;34;138;0;0;0;0;0;0;0;0
2020-11-30 08:15:00;2;0;208;19;21;83;0;0;0;0;1;0;0;0
2020-11-30 08:30:00;1;0;231;19;22;101;0;1;0;0;0;0;0;0
2020-11-30 08:45:00;4;0;166;11;11;95;0;2;0;0;2;0;0;0
2020-11-30 09:00:00;1;0;138;15;15;103;0;2;0;0;0;0;1;0
2020-11-30 09:15:00;3;0;171;3;7;106;0;1;0;0;0;0;0;0
2020-11-30 09:30:00;2;0;177;10;12;90;0;4;0;0;0;0;0;0
2020-11-30 09:45:00;3;0;153;7;9;115;0;1;0;0;0;0;0;0
2020-11-30 10:00:00;3;0;144;9;16;133;0;1;0;0;0;0;0;0
2020-11-30 10:15:00;3;0;150;4;11;120;0;3;0;0;0;0;0;0
2020-11-30 10:30:00;5;0;170;5;13;104;0;1;0;0;2;0;1;0
2020-11-30 10:45:00;3;0;157;2;8;143;0;4;0;0;0;0;0;0
2020-11-30 11:00:00;4;0;129;14;16;130;0;2;0;0;2;0;0;0
2020-11-30 11:15:00;1;0;133;9;14;139;0;2;0;0;1;0;0;0
2020-11-30 11:30:00;3;0;128;11;14;168;0;5;0;0;0;0;0;0
2020-11-30 11:45:00;3;0;152;7;12;153;0;0;0;0;0;0;0;0
2020-11-30 12:00:00;0;0;132;10;13;145;0;7;0;0;1;0;0;0
2020-11-30 12:15:00;4;0;141;7;13;204;0;0;0;0;0;0;1;0
2020-11-30 12:30:00;4;0;137;10;12;164;0;1;0;0;0;0;2;0
2020-11-30 12:45:00;5;0;146;10;12;160;0;1;0;0;0;0;0;0
2020-11-30 13:00:00;2;0;168;6;10;197;0;3;0;0;0;0;1;0
2020-11-30 13:15:00;3;0;175;12;15;185;0;0;0;0;0;0;0;0
2020-11-30 13:30:00;6;0;253;15;17;155;0;2;0;0;0;0;0;0
2020-11-30 13:45:00;4;0;167;16;21;167;0;2;0;0;0;0;0;0
2020-11-30 14:00:00;5;0;166;15;15;203;0;3;0;0;0;0;0;0
2020-11-30 14:15:00;8;0;128;9;14;221;0;3;0;0;1;0;0;0
2020-11-30 14:30:00;5;0;182;9;14;238;0;5;0;0;0;0;0;0
2020-11-30 14:45:00;2;0;172;14;22;257;0;2;0;0;3;0;1;0
2020-11-30 15:00:00;3;0;159;8;14;252;0;4;0;0;0;0;0;0
2020-11-30 15:15:00;4;0;168;7;13;268;0;2;0;0;1;0;1;0
2020-11-30 15:30:00;4;0;196;7;8;243;0;2;0;0;2;0;0;0
2020-11-30 15:45:00;6;0;157;12;16;260;0;2;0;0;0;0;1;0
2020-11-30 16:00:00;6;0;182;11;19;276;0;0;0;0;0;0;1;0
2020-11-30 16:15:00;4;0;159;7;17;296;0;3;0;0;0;0;0;0
2020-11-30 16:30:00;3;0;145;13;23;264;0;3;0;0;2;0;0;0
2020-11-30 16:45:00;4;0;131;8;18;276;0;2;0;0;0;0;1;0
2020-11-30 17:00:00;8;0;148;17;21;251;0;3;0;0;0;0;1;0
2020-11-30 17:15:00;8;0;146;8;15;276;0;2;0;0;0;0;1;0
2020-11-30 17:30:00;2;0;158;12;15;197;0;2;0;0;0;0;1;0
2020-11-30 17:45:00;6;0;141;4;12;246;0;4;0;0;0;0;1;0
2020-11-30 18:00:00;4;0;106;7;13;234;0;1;0;0;0;0;0;0
2020-11-30 18:15:00;3;0;108;5;13;215;0;3;0;0;1;0;0;0
2020-11-30 18:30:00;0;0;102;5;9;156;0;2;0;0;0;0;0;0
2020-11-30 18:45:00;3;0;85;2;4;156;0;3;0;0;1;0;0;0
2020-11-30 19:00:00;3;0;66;2;6;123;0;1;0;0;0;0;0;0
2020-11-30 19:15:00;3;0;51;2;5;118;0;0;0;0;0;0;0;0
2020-11-30 19:30:00;0;0;57;4;7;86;0;0;0;0;0;0;1;0
2020-11-30 19:45:00;2;0;38;2;3;106;0;0;0;0;0;0;0;0
2020-11-30 20:00:00;3;0;50;2;7;71;0;3;0;0;0;0;0;0
2020-11-30 20:15:00;0;0;38;1;1;72;0;0;0;0;0;0;1;0
2020-11-30 20:30:00;1;0;47;1;4;49;0;0;0;0;0;0;0;0
2020-11-30 20:45:00;0;0;50;4;6;47;0;0;0;0;0;0;1;0
2020-11-30 21:00:00;2;0;99;3;5;50;0;0;0;0;0;0;0;0
2020-11-30 21:15:00;3;0;90;44;5;38;0;0;0;0;0;0;0;0
2020-11-30 21:30:00;1;0;42;1;1;36;0;0;0;0;0;0;0;0
2020-11-30 21:45:00;0;0;28;0;4;72;0;0;0;0;0;0;0;0
2020-11-30 22:00:00;0;0;25;1;2;112;0;0;0;0;0;0;0;0
2020-11-30 22:15:00;0;0;18;2;6;72;0;0;0;0;0;0;0;0
2020-11-30 22:30:00;0;0;13;0;1;23;0;0;0;0;0;0;0;0
2020-11-30 22:45:00;0;0;13;0;0;26;0;0;0;0;0;0;0;0
2020-11-30 23:00:00;1;0;7;1;3;15;0;0;0;0;0;0;0;0
2020-11-30 23:15:00;0;0;9;1;2;15;0;0;0;0;0;0;0;0
2020-11-30 23:30:00;0;0;9;0;1;6;0;0;0;0;0;0;0;0
2020-11-30 23:45:00;ERROR:;ORA-12541:;TNS:no;listener;SP2-0640:;Not;connected
