DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-08-01 00:00:00;23;17;3;15;17;1;17;11;21;23
2020-08-01 00:15:00;24;15;2;19;16;2;18;21;16;22
2020-08-01 00:30:00;14;12;2;14;15;5;16;14;12;11
2020-08-01 00:45:00;20;11;2;10;13;6;15;11;14;18
2020-08-01 01:00:00;15;7;0;7;4;1;5;7;9;12
2020-08-01 01:15:00;23;13;3;7;15;3;15;7;13;19
2020-08-01 01:30:00;12;5;1;9;10;1;9;10;6;8
2020-08-01 01:45:00;10;7;3;7;10;1;9;6;9;8
2020-08-01 02:00:00;8;3;1;6;7;1;7;5;3;6
2020-08-01 02:15:00;11;6;0;8;3;1;3;5;7;8
2020-08-01 02:30:00;8;6;0;5;4;0;4;3;6;8
2020-08-01 02:45:00;8;4;3;5;6;3;8;4;4;5
2020-08-01 03:00:00;6;3;1;3;5;0;5;3;4;6
2020-08-01 03:15:00;9;8;2;5;8;2;7;3;7;8
2020-08-01 03:30:00;5;4;0;4;0;1;0;4;2;3
2020-08-01 03:45:00;4;1;1;5;4;2;4;3;2;4
2020-08-01 04:00:00;9;6;0;6;3;2;3;4;9;7
2020-08-01 04:15:00;4;2;0;1;5;3;5;1;2;3
2020-08-01 04:30:00;6;1;1;2;8;2;9;3;0;6
2020-08-01 04:45:00;9;11;4;8;5;2;5;5;9;9
2020-08-01 05:00:00;13;5;1;4;7;1;7;5;5;11
2020-08-01 05:15:00;15;9;1;6;10;2;11;9;9;14
2020-08-01 05:30:00;11;4;3;16;19;3;19;14;6;9
2020-08-01 05:45:00;22;11;1;10;15;6;18;8;11;18
2020-08-01 06:00:00;23;14;4;5;13;4;14;6;14;16
2020-08-01 06:15:00;20;15;3;15;22;7;26;15;16;16
2020-08-01 06:30:00;15;16;1;16;14;5;15;17;14;14
2020-08-01 06:45:00;27;21;6;17;25;3;24;20;22;20
2020-08-01 07:00:00;26;7;4;15;18;11;23;12;9;23
2020-08-01 07:15:00;20;14;15;18;30;10;33;16;13;16
