DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-11-02 00:00:00;15;0;0;0;17;0;0;0;0;0;0;0;0
2019-11-02 00:15:00;15;0;2;1;18;0;0;0;0;0;0;0;0
2019-11-02 00:30:00;7;0;0;1;20;0;0;0;0;0;0;0;0
2019-11-02 00:45:00;12;0;0;0;13;0;0;0;0;0;0;0;0
2019-11-02 01:00:00;10;1;0;0;14;0;0;0;0;0;0;0;0
2019-11-02 01:15:00;8;1;0;0;16;0;0;0;0;0;0;0;0
2019-11-02 01:30:00;12;0;0;0;18;0;0;0;0;0;0;0;0
2019-11-02 01:45:00;9;0;0;0;12;0;0;0;0;0;0;0;0
2019-11-02 02:00:00;8;0;0;0;8;0;0;0;0;0;0;0;0
2019-11-02 02:15:00;14;0;0;0;7;1;1;0;0;0;0;0;0
2019-11-02 02:30:00;4;0;0;0;8;0;0;0;0;0;0;0;0
2019-11-02 02:45:00;3;0;1;0;6;0;0;0;0;0;0;0;0
2019-11-02 03:00:00;9;1;0;1;7;1;0;0;0;0;0;0;0
2019-11-02 03:15:00;3;0;0;0;5;0;1;0;0;0;0;0;0
2019-11-02 03:30:00;2;0;0;0;5;0;0;0;0;0;0;0;0
2019-11-02 03:45:00;6;1;0;0;6;0;0;0;0;0;0;0;0
2019-11-02 04:00:00;10;0;0;0;6;0;0;0;0;0;0;0;0
2019-11-02 04:15:00;4;0;0;1;4;0;0;0;0;0;0;0;0
2019-11-02 04:30:00;8;0;0;0;3;0;0;0;0;0;0;0;0
2019-11-02 04:45:00;7;1;0;1;8;0;0;0;0;0;0;0;0
2019-11-02 05:00:00;12;0;0;0;10;0;0;0;0;0;0;0;0
2019-11-02 05:15:00;14;0;0;0;9;0;0;0;0;0;0;0;0
2019-11-02 05:30:00;24;0;0;1;21;0;0;0;0;0;0;0;0
2019-11-02 05:45:00;22;1;2;0;21;0;0;0;0;0;0;0;0
2019-11-02 06:00:00;17;0;0;0;17;0;0;0;0;0;0;0;0
2019-11-02 06:15:00;16;0;1;1;16;0;0;0;0;0;0;0;0
2019-11-02 06:30:00;21;1;1;2;16;0;0;0;0;0;0;0;0
2019-11-02 06:45:00;21;1;3;1;22;0;0;0;0;0;0;0;0
2019-11-02 07:00:00;25;4;4;1;28;0;0;0;0;0;0;0;0
2019-11-02 07:15:00;36;6;4;1;12;1;0;0;0;0;0;0;0
2019-11-02 07:30:00;37;8;6;2;39;0;0;0;2;0;0;0;0
2019-11-02 07:45:00;50;3;5;3;34;0;0;0;0;0;0;0;0
2019-11-02 08:00:00;56;9;5;3;36;1;0;0;1;0;0;4;0
2019-11-02 08:15:00;57;7;8;5;49;0;0;0;15;0;0;6;0
2019-11-02 08:30:00;76;9;7;5;53;1;0;0;4;0;0;0;0
2019-11-02 08:45:00;87;9;12;6;58;0;1;0;8;0;0;0;0
2019-11-02 09:00:00;122;12;5;6;72;1;1;0;11;0;0;0;0
2019-11-02 09:15:00;137;8;8;14;101;0;0;4;9;0;0;0;0
2019-11-02 09:30:00;202;13;13;12;100;9;4;0;5;0;0;0;0
2019-11-02 09:45:00;177;6;8;9;96;7;6;0;6;0;0;0;0
2019-11-02 10:00:00;198;12;9;12;106;5;11;9;11;0;0;0;0
2019-11-02 10:15:00;193;13;6;7;135;11;9;0;14;0;0;0;0
2019-11-02 10:30:00;183;11;12;17;149;7;7;3;42;0;0;0;0
2019-11-02 10:45:00;174;13;22;15;150;8;12;12;11;0;0;0;0
2019-11-02 11:00:00;164;12;19;16;151;5;11;1;39;0;0;1;0
2019-11-02 11:15:00;176;10;10;13;175;6;10;4;40;0;2;0;0
2019-11-02 11:30:00;193;15;7;14;147;10;9;2;38;0;0;0;0
2019-11-02 11:45:00;157;11;21;14;193;6;7;1;39;0;0;0;0
2019-11-02 12:00:00;176;8;13;9;153;6;11;2;3;0;0;0;0
2019-11-02 12:15:00;165;4;20;18;194;4;4;4;10;0;0;0;0
2019-11-02 12:30:00;169;4;17;7;155;5;6;27;18;0;0;0;0
2019-11-02 12:45:00;176;8;19;9;177;4;5;2;6;0;1;0;0
2019-11-02 13:00:00;149;9;11;6;172;7;13;13;9;0;0;0;0
2019-11-02 13:15:00;162;9;17;14;172;5;7;0;12;0;0;0;0
2019-11-02 13:30:00;151;12;13;18;168;8;8;4;12;0;0;2;0
2019-11-02 13:45:00;153;1;14;12;152;8;5;0;3;0;0;5;0
2019-11-02 14:00:00;190;4;15;15;152;3;9;8;11;0;0;0;0
2019-11-02 14:15:00;177;8;12;12;183;7;8;11;42;0;0;2;0
2019-11-02 14:30:00;187;8;15;16;172;4;6;1;14;2;0;0;0
2019-11-02 14:45:00;179;6;13;16;156;6;14;0;24;0;0;0;0
2019-11-02 15:00:00;158;10;5;13;157;1;8;5;26;0;0;6;0
2019-11-02 15:15:00;184;3;14;10;166;9;9;3;10;0;0;0;0
2019-11-02 15:30:00;139;5;12;5;148;7;7;13;23;0;0;0;0
2019-11-02 15:45:00;142;4;11;8;157;4;4;9;21;0;0;0;0
2019-11-02 16:00:00;128;1;12;11;169;6;3;7;15;0;0;0;0
2019-11-02 16:15:00;196;5;19;10;149;5;6;0;7;0;0;0;0
2019-11-02 16:30:00;152;5;14;11;163;4;7;5;11;0;0;0;0
2019-11-02 16:45:00;134;6;8;5;187;1;4;6;17;0;0;0;0
