DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFGA);12(TAFBA)
2019-09-09 00:00:00;9;3;1;2;3;9;14;8;3;3;0;0
2019-09-09 00:15:00;8;5;1;1;4;9;8;4;5;3;0;0
2019-09-09 00:30:00;2;2;2;0;2;10;9;3;10;2;0;0
2019-09-09 00:45:00;6;1;0;0;0;6;4;1;5;4;0;0
2019-09-09 01:00:00;3;3;0;0;0;12;4;2;4;1;0;0
2019-09-09 01:15:00;9;8;1;0;1;7;7;2;2;2;0;0
2019-09-09 01:30:00;2;3;0;0;0;4;5;3;3;1;0;0
2019-09-09 01:45:00;1;3;0;1;1;3;3;2;1;1;0;0
2019-09-09 02:00:00;2;4;2;0;0;4;6;3;3;2;0;0
2019-09-09 02:15:00;2;4;0;0;0;5;4;2;3;2;0;0
2019-09-09 02:30:00;5;2;1;1;2;3;4;3;0;0;0;0
2019-09-09 02:45:00;4;3;0;3;3;4;3;2;1;0;0;0
2019-09-09 03:00:00;8;3;0;1;1;2;4;2;3;3;0;0
2019-09-09 03:15:00;3;3;0;0;0;5;6;4;5;2;0;0
2019-09-09 03:30:00;1;0;0;0;0;1;6;2;4;3;0;0
2019-09-09 03:45:00;8;3;0;0;0;4;3;1;1;0;0;0
2019-09-09 04:00:00;4;5;2;0;1;5;1;1;6;5;0;0
2019-09-09 04:15:00;10;6;1;2;2;7;9;2;4;2;0;0
2019-09-09 04:30:00;6;5;0;3;3;8;1;1;9;1;0;0
2019-09-09 04:45:00;15;8;0;0;0;9;11;4;7;6;0;0
2019-09-09 05:00:00;27;15;1;5;7;15;17;6;15;4;0;0
2019-09-09 05:15:00;38;19;0;6;9;45;33;8;41;7;0;0
2019-09-09 05:30:00;56;34;3;9;11;39;44;16;69;10;1;1
2019-09-09 05:45:00;41;23;6;7;8;56;52;25;42;13;1;1
2019-09-09 06:00:00;44;25;0;8;6;67;68;40;46;7;7;0
2019-09-09 06:15:00;58;24;2;3;4;110;101;47;57;14;1;0
2019-09-09 06:30:00;80;46;2;12;17;120;121;53;93;24;9;2
2019-09-09 06:45:00;71;43;3;15;23;166;135;98;80;26;6;41
2019-09-09 07:00:00;61;40;3;23;29;147;141;86;81;27;1;5
2019-09-09 07:15:00;77;40;6;23;33;170;140;94;82;38;3;5
2019-09-09 07:30:00;70;35;3;23;31;182;144;93;97;17;4;8
2019-09-09 07:45:00;91;55;8;17;33;156;122;81;107;19;2;15
2019-09-09 08:00:00;74;44;5;13;17;165;126;83;95;20;3;0
2019-09-09 08:15:00;88;46;0;10;18;144;119;86;76;11;9;4
2019-09-09 08:30:00;79;53;7;6;17;137;103;90;67;38;2;2
2019-09-09 08:45:00;73;58;4;14;20;126;133;83;85;53;4;7
2019-09-09 09:00:00;69;43;7;11;21;86;68;58;53;33;1;14
2019-09-09 09:15:00;80;47;2;13;18;93;96;84;75;41;7;3
2019-09-09 09:30:00;83;47;6;9;13;98;77;75;87;39;2;0
2019-09-09 09:45:00;90;43;3;12;20;81;85;71;87;20;8;5
2019-09-09 10:00:00;74;52;5;13;15;66;67;46;75;19;3;3
2019-09-09 10:15:00;80;44;7;15;20;74;73;59;94;23;2;7
2019-09-09 10:30:00;77;56;5;18;21;76;81;40;96;27;2;14
2019-09-09 10:45:00;74;54;6;10;21;81;70;60;95;10;5;10
2019-09-09 11:00:00;82;50;5;10;16;77;67;49;83;19;7;5
2019-09-09 11:15:00;82;74;7;13;24;73;69;58;87;19;6;7
2019-09-09 11:30:00;105;61;4;17;20;101;83;59;83;20;4;2
2019-09-09 11:45:00;83;54;6;9;11;60;68;55;79;20;2;3
2019-09-09 12:00:00;82;64;5;16;18;81;76;54;76;16;2;10
2019-09-09 12:15:00;87;56;6;13;16;70;75;42;104;10;4;8
2019-09-09 12:30:00;96;53;7;14;17;87;76;67;71;19;4;2
2019-09-09 12:45:00;95;68;6;9;11;77;66;58;80;15;4;27
2019-09-09 13:00:00;86;62;8;15;22;70;80;57;115;21;7;8
2019-09-09 13:15:00;84;63;9;15;19;87;78;66;107;15;1;1
2019-09-09 13:30:00;87;67;4;12;20;92;96;68;102;21;12;24
2019-09-09 13:45:00;73;56;3;12;19;88;79;49;82;16;5;0
2019-09-09 14:00:00;91;65;6;15;17;96;92;85;101;17;5;10
2019-09-09 14:15:00;97;73;10;12;13;100;61;64;92;16;6;47
