DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-02-21 00:00:00;23;6;22;8;3;1;1
2020-02-21 00:15:00;34;15;21;9;6;4;7
2020-02-21 00:30:00;23;9;17;6;3;8;2
2020-02-21 00:45:00;33;10;23;14;4;3;4
2020-02-21 01:00:00;22;15;22;7;1;0;6
2020-02-21 01:15:00;31;11;15;8;5;3;3
2020-02-21 01:30:00;30;9;30;7;3;3;1
2020-02-21 01:45:00;22;7;22;11;3;3;2
2020-02-21 02:00:00;20;7;15;9;1;5;3
2020-02-21 02:15:00;15;10;23;11;4;6;1
2020-02-21 02:30:00;13;10;17;5;3;0;3
2020-02-21 02:45:00;20;16;15;6;2;7;3
2020-02-21 03:00:00;20;10;18;3;3;9;5
2020-02-21 03:15:00;28;4;19;5;2;5;3
2020-02-21 03:30:00;12;6;10;9;4;4;0
2020-02-21 03:45:00;18;14;17;5;8;7;8
2020-02-21 04:00:00;7;6;17;3;3;5;2
2020-02-21 04:15:00;21;6;21;4;4;4;2
2020-02-21 04:30:00;12;10;27;6;3;4;3
2020-02-21 04:45:00;12;12;56;16;1;1;0
2020-02-21 05:00:00;32;17;69;21;0;1;0
2020-02-21 05:15:00;54;23;96;35;4;1;1
2020-02-21 05:30:00;57;34;114;56;2;2;2
2020-02-21 05:45:00;75;57;129;63;1;0;2
2020-02-21 06:00:00;61;46;118;58;1;0;0
2020-02-21 06:15:00;87;55;172;81;7;0;1
2020-02-21 06:30:00;113;57;165;85;10;0;0
2020-02-21 06:45:00;131;66;164;96;8;1;0
2020-02-21 07:00:00;148;70;181;111;5;1;1
2020-02-21 07:15:00;193;93;185;105;19;3;3
2020-02-21 07:30:00;187;113;182;117;21;1;2
2020-02-21 07:45:00;180;113;190;94;13;0;1
2020-02-21 08:00:00;151;91;152;79;17;1;1
2020-02-21 08:15:00;142;105;170;104;11;0;0
2020-02-21 08:30:00;126;87;135;88;12;2;3
2020-02-21 08:45:00;134;88;139;107;14;0;1
2020-02-21 09:00:00;117;91;119;60;10;1;1
2020-02-21 09:15:00;127;99;124;68;11;0;0
2020-02-21 09:30:00;148;131;146;72;14;1;0
2020-02-21 09:45:00;175;130;147;92;18;3;3
2020-02-21 10:00:00;114;91;137;66;12;1;1
2020-02-21 10:15:00;138;109;145;67;20;1;1
2020-02-21 10:30:00;159;103;170;87;14;4;2
2020-02-21 10:45:00;176;101;186;78;11;3;2
2020-02-21 11:00:00;167;138;154;74;11;4;3
2020-02-21 11:15:00;143;133;177;94;10;4;4
2020-02-21 11:30:00;158;126;170;91;7;2;2
2020-02-21 11:45:00;175;124;191;116;12;4;1
2020-02-21 12:00:00;189;136;183;80;15;6;3
2020-02-21 12:15:00;180;136;189;100;10;7;6
2020-02-21 12:30:00;180;138;182;97;9;3;4
2020-02-21 12:45:00;163;124;183;110;9;3;3
2020-02-21 13:00:00;180;153;203;132;13;5;9
2020-02-21 13:15:00;191;157;182;106;15;4;3
2020-02-21 13:30:00;185;133;199;112;7;3;3
2020-02-21 13:45:00;182;145;191;107;6;3;0
2020-02-21 14:00:00;172;140;219;123;7;11;5
2020-02-21 14:15:00;197;140;151;93;7;1;5
2020-02-21 14:30:00;184;164;184;87;9;3;2
2020-02-21 14:45:00;209;172;178;100;8;4;4
2020-02-21 15:00:00;194;146;202;102;13;5;3
2020-02-21 15:15:00;206;156;172;106;12;6;2
2020-02-21 15:30:00;192;156;191;110;9;3;7
2020-02-21 15:45:00;204;164;168;95;18;5;2
2020-02-21 16:00:00;198;163;201;116;11;5;6
2020-02-21 16:15:00;190;162;193;127;4;4;6
2020-02-21 16:30:00;208;177;171;112;12;3;2
2020-02-21 16:45:00;175;176;155;108;10;0;2
2020-02-21 17:00:00;185;174;191;114;13;4;3
2020-02-21 17:15:00;192;169;179;104;13;5;4
2020-02-21 17:30:00;182;143;200;113;14;4;1
2020-02-21 17:45:00;165;169;179;104;9;3;4
2020-02-21 18:00:00;179;164;205;130;11;6;3
2020-02-21 18:15:00;163;153;166;97;4;3;3
2020-02-21 18:30:00;164;155;161;94;5;5;1
2020-02-21 18:45:00;150;148;147;77;11;5;0
2020-02-21 19:00:00;137;109;155;56;7;0;2
2020-02-21 19:15:00;131;101;138;76;4;7;3
2020-02-21 19:30:00;131;93;122;55;9;1;0
2020-02-21 19:45:00;123;96;112;55;6;2;0
2020-02-21 20:00:00;112;83;100;45;4;2;2
2020-02-21 20:15:00;97;68;105;48;4;1;3
2020-02-21 20:30:00;74;76;100;39;9;4;1
2020-02-21 20:45:00;63;64;96;46;5;2;1
2020-02-21 21:00:00;75;50;90;46;2;1;1
2020-02-21 21:15:00;60;40;105;48;4;3;1
2020-02-21 21:30:00;63;45;65;34;2;0;0
2020-02-21 21:45:00;77;73;70;21;7;3;2
2020-02-21 22:00:00;67;51;61;26;3;3;2
2020-02-21 22:15:00;71;65;75;40;2;3;1
2020-02-21 22:30:00;55;35;77;22;4;0;2
2020-02-21 22:45:00;59;46;77;33;2;0;1
2020-02-21 23:00:00;53;34;50;23;1;1;5
2020-02-21 23:15:00;33;28;46;11;5;2;2
2020-02-21 23:30:00;52;40;46;13;4;2;2
2020-02-21 23:45:00;39;27;45;21;4;2;1
