DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-03-26 00:00:00;4;0;1;0;5;2;0;0;0;0;4;2;2;5;2;0;0
2020-03-26 00:15:00;7;1;1;0;0;1;1;1;1;0;8;1;2;2;2;0;0
2020-03-26 00:30:00;3;0;0;0;7;0;0;0;0;0;3;0;0;7;0;0;0
2020-03-26 00:45:00;5;4;0;0;8;1;0;0;0;0;6;3;1;9;1;0;0
2020-03-26 01:00:00;1;1;0;0;3;2;0;0;0;0;1;1;2;5;3;0;0
2020-03-26 01:15:00;0;1;0;0;0;2;0;0;0;0;0;1;2;2;2;0;0
2020-03-26 01:30:00;4;2;0;0;5;1;0;0;0;0;4;2;1;6;1;0;0
2020-03-26 01:45:00;5;2;0;0;3;1;0;0;0;0;3;2;1;3;1;0;0
2020-03-26 02:00:00;8;1;0;0;3;0;2;2;1;0;8;1;0;4;0;0;0
2020-03-26 02:15:00;7;2;0;0;3;1;1;1;1;0;8;2;1;4;1;0;0
2020-03-26 02:30:00;9;0;0;0;1;2;3;3;2;0;8;0;2;3;2;0;0
2020-03-26 02:45:00;1;1;0;0;10;1;0;0;0;0;1;1;1;12;1;0;0
2020-03-26 03:00:00;6;1;0;0;9;0;0;0;0;0;6;1;0;9;0;0;0
2020-03-26 03:15:00;4;1;0;0;2;2;0;0;0;0;4;1;2;4;2;0;0
2020-03-26 03:30:00;7;4;0;1;9;0;2;2;1;0;8;3;1;8;0;0;0
2020-03-26 03:45:00;9;2;0;0;7;2;0;0;0;1;9;2;2;9;2;0;0
2020-03-26 04:00:00;9;2;1;0;4;0;0;0;0;1;8;2;0;4;0;0;0
2020-03-26 04:15:00;19;0;0;1;13;4;1;1;1;0;18;1;4;15;4;0;0
2020-03-26 04:30:00;25;7;0;1;7;1;5;3;1;0;24;6;1;7;1;0;0
2020-03-26 04:45:00;20;2;0;0;7;2;1;1;0;1;20;2;1;9;2;0;0
2020-03-26 05:00:00;20;7;0;0;17;3;0;0;0;0;19;8;2;21;3;0;0
2020-03-26 05:15:00;25;10;1;0;29;8;2;2;1;0;23;10;9;36;9;0;0
2020-03-26 05:30:00;51;16;0;0;44;10;0;0;0;0;49;17;12;50;12;0;0
2020-03-26 05:45:00;66;34;0;0;43;17;1;1;1;6;67;35;17;53;17;0;0
2020-03-26 06:00:00;54;32;1;0;31;19;2;3;2;2;53;37;19;43;18;0;0
2020-03-26 06:15:00;54;39;2;0;48;20;2;3;2;1;53;37;21;65;19;0;0
2020-03-26 06:30:00;90;92;4;0;65;40;1;1;2;0;80;93;41;100;41;0;0
2020-03-26 06:45:00;110;109;2;1;90;42;6;5;4;1;95;107;44;117;41;0;0
2020-03-26 07:00:00;88;69;0;1;68;48;9;10;5;2;76;72;48;102;45;0;0
2020-03-26 07:15:00;108;89;1;4;66;40;11;11;8;3;96;86;40;98;39;0;0
2020-03-26 07:30:00;84;86;0;1;81;50;8;8;2;1;71;84;49;121;49;0;2
2020-03-26 07:45:00;107;87;0;3;75;38;8;8;7;6;104;92;39;102;39;0;0
2020-03-26 08:00:00;79;61;1;0;65;39;5;6;5;1;78;66;38;94;36;0;0
2020-03-26 08:15:00;80;51;1;0;73;38;6;7;1;1;73;51;38;107;38;0;0
2020-03-26 08:30:00;69;51;0;2;62;44;9;10;4;3;61;57;44;98;44;0;0
2020-03-26 08:45:00;80;61;2;0;64;31;9;7;7;2;70;61;29;90;31;0;0
2020-03-26 09:00:00;70;53;2;0;59;34;12;13;8;2;60;57;35;86;34;0;0
