DATUM;1(DA1);2(DA2);3(DC);4(DB);5(TAFGA);6(TAFGC)
2020-12-03 00:00:00;6;3;2;0;0;0
2020-12-03 00:15:00;6;2;5;1;0;0
2020-12-03 00:30:00;5;0;2;0;0;0
2020-12-03 00:45:00;7;0;6;0;0;0
2020-12-03 01:00:00;1;1;4;0;0;0
2020-12-03 01:15:00;5;0;6;0;0;0
2020-12-03 01:30:00;6;0;3;0;0;0
2020-12-03 01:45:00;2;0;4;1;0;0
2020-12-03 02:00:00;2;0;5;1;0;0
2020-12-03 02:15:00;2;1;2;1;0;0
2020-12-03 02:30:00;2;0;0;0;0;0
2020-12-03 02:45:00;10;2;6;2;0;0
2020-12-03 03:00:00;2;0;6;0;0;0
2020-12-03 03:15:00;6;0;7;0;0;0
2020-12-03 03:30:00;4;0;7;1;0;0
2020-12-03 03:45:00;2;1;3;0;0;0
2020-12-03 04:00:00;5;0;4;1;0;0
2020-12-03 04:15:00;3;0;13;0;0;0
2020-12-03 04:30:00;8;1;16;1;0;0
2020-12-03 04:45:00;14;5;31;0;0;0
2020-12-03 05:00:00;22;23;106;0;3;8
2020-12-03 05:15:00;63;39;244;3;11;8
2020-12-03 05:30:00;81;37;215;15;12;13
2020-12-03 05:45:00;124;22;128;67;9;7
2020-12-03 06:00:00;109;14;106;76;8;7
2020-12-03 06:15:00;69;16;116;16;6;7
2020-12-03 06:30:00;71;26;157;11;5;4
2020-12-03 06:45:00;78;14;132;4;15;3
2020-12-03 07:00:00;61;9;119;2;10;0
2020-12-03 07:15:00;65;8;176;1;2;4
2020-12-03 07:30:00;86;5;130;1;2;0
2020-12-03 07:45:00;91;2;107;0;0;3
2020-12-03 08:00:00;89;5;91;1;0;1
2020-12-03 08:15:00;64;7;85;3;0;4
2020-12-03 08:30:00;46;2;82;0;0;1
2020-12-03 08:45:00;65;3;68;2;0;8
2020-12-03 09:00:00;36;3;58;2;1;0
2020-12-03 09:15:00;38;0;62;2;0;0
2020-12-03 09:30:00;45;0;57;1;1;5
2020-12-03 09:45:00;53;1;57;3;9;2
2020-12-03 10:00:00;51;0;50;4;3;0
2020-12-03 10:15:00;44;1;56;0;0;0
2020-12-03 10:30:00;60;5;52;8;0;0
2020-12-03 10:45:00;55;1;46;1;0;0
2020-12-03 11:00:00;48;3;53;2;19;0
2020-12-03 11:15:00;50;4;51;7;1;0
2020-12-03 11:30:00;51;2;44;6;0;3
2020-12-03 11:45:00;72;0;46;5;4;1
2020-12-03 12:00:00;76;1;45;3;1;1
2020-12-03 12:15:00;60;2;45;3;2;0
2020-12-03 12:30:00;56;3;73;5;3;0
2020-12-03 12:45:00;57;2;67;8;0;11
2020-12-03 13:00:00;95;6;86;8;2;5
2020-12-03 13:15:00;93;19;109;1;3;12
2020-12-03 13:30:00;77;42;145;7;2;24
2020-12-03 13:45:00;102;31;141;24;6;13
2020-12-03 14:00:00;140;8;135;52;10;22
2020-12-03 14:15:00;150;3;97;126;19;9
2020-12-03 14:30:00;136;3;81;99;6;21
2020-12-03 14:45:00;111;0;93;30;7;2
2020-12-03 15:00:00;100;0;61;49;18;7
2020-12-03 15:15:00;126;4;85;28;13;4
2020-12-03 15:30:00;107;2;76;15;6;2
2020-12-03 15:45:00;119;1;75;16;0;2
2020-12-03 16:00:00;103;3;56;16;5;3
2020-12-03 16:15:00;126;1;68;11;3;5
2020-12-03 16:30:00;114;0;50;16;4;0
2020-12-03 16:45:00;102;4;58;8;2;1
2020-12-03 17:00:00;99;0;65;13;0;2
2020-12-03 17:15:00;90;3;50;6;1;3
2020-12-03 17:30:00;94;0;42;7;0;0
2020-12-03 17:45:00;72;0;67;5;0;1
2020-12-03 18:00:00;67;0;58;4;0;1
2020-12-03 18:15:00;62;2;44;3;0;1
2020-12-03 18:30:00;60;0;38;3;0;0
2020-12-03 18:45:00;51;0;33;2;0;0
2020-12-03 19:00:00;56;0;35;2;0;0
2020-12-03 19:15:00;42;1;35;2;0;0
2020-12-03 19:30:00;28;0;31;2;0;0
2020-12-03 19:45:00;37;2;26;2;0;0
2020-12-03 20:00:00;25;1;23;1;0;0
2020-12-03 20:15:00;21;1;20;1;0;0
2020-12-03 20:30:00;40;5;22;0;3;0
2020-12-03 20:45:00;26;1;37;3;1;0
2020-12-03 21:00:00;41;10;104;1;2;2
2020-12-03 21:15:00;40;31;144;1;10;3
2020-12-03 21:30:00;42;18;136;20;9;8
2020-12-03 21:45:00;54;3;63;73;11;4
2020-12-03 22:00:00;74;3;36;84;4;6
2020-12-03 22:15:00;25;1;5;22;0;9
2020-12-03 22:30:00;19;0;15;8;0;0
2020-12-03 22:45:00;9;1;7;2;0;0
2020-12-03 23:00:00;12;1;11;1;0;0
2020-12-03 23:15:00;11;0;6;1;0;0
2020-12-03 23:30:00;8;0;6;1;0;0
2020-12-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
