DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DA3);8(TA1);9(TA2);10(TA3);11(TAFBAC1);12(TAFBAC2);13(TAFBAC3);14(TAFBB)
2020-05-28 00:00:00;7;2;0;1;6;17;10;0;0;0;0;0;0;0
2020-05-28 00:15:00;9;4;1;4;10;8;14;0;0;0;0;0;0;0
2020-05-28 00:30:00;9;0;0;0;8;8;12;0;0;0;0;0;0;0
2020-05-28 00:45:00;4;0;1;0;4;16;5;0;0;0;0;0;0;0
2020-05-28 01:00:00;3;1;2;1;3;9;16;0;0;0;0;0;0;0
2020-05-28 01:15:00;8;1;1;0;4;13;4;0;0;0;0;0;0;0
2020-05-28 01:30:00;5;4;0;0;4;8;10;0;0;0;0;0;0;0
2020-05-28 01:45:00;2;0;0;0;4;10;1;0;0;0;0;0;0;0
2020-05-28 02:00:00;4;1;0;1;1;6;4;0;0;0;0;0;0;0
2020-05-28 02:15:00;1;5;1;2;4;6;3;0;0;0;0;0;0;0
2020-05-28 02:30:00;1;2;0;2;1;3;4;0;0;0;0;0;0;0
2020-05-28 02:45:00;2;1;0;1;4;7;8;0;0;0;0;0;0;0
2020-05-28 03:00:00;3;2;0;0;2;8;6;0;0;0;0;0;0;0
2020-05-28 03:15:00;1;0;0;0;5;6;5;0;0;0;0;0;0;0
2020-05-28 03:30:00;1;0;1;0;0;6;3;0;0;0;0;0;0;0
2020-05-28 03:45:00;5;0;1;1;3;8;6;0;0;0;0;0;0;0
2020-05-28 04:00:00;5;1;1;0;2;14;4;0;0;0;0;0;0;0
2020-05-28 04:15:00;6;0;1;1;5;14;6;0;0;0;0;0;0;0
2020-05-28 04:30:00;8;0;2;3;6;19;17;0;0;0;0;0;0;0
2020-05-28 04:45:00;17;1;3;2;5;23;20;0;0;0;0;0;0;0
2020-05-28 05:00:00;24;2;3;4;9;27;44;0;0;0;0;0;0;0
2020-05-28 05:15:00;67;5;10;6;9;42;66;0;0;0;0;0;0;0
2020-05-28 05:30:00;76;10;21;6;21;52;111;0;0;0;0;0;0;0
2020-05-28 05:45:00;80;6;14;9;27;58;87;0;0;0;0;0;0;0
2020-05-28 06:00:00;53;5;9;4;31;94;90;0;0;0;0;0;0;0
2020-05-28 06:15:00;77;9;14;6;39;100;99;2;0;0;0;0;0;0
2020-05-28 06:30:00;29;7;4;4;9;24;36;0;0;0;0;0;0;0
2020-05-28 06:45:00;125;31;18;11;45;94;159;2;0;0;0;0;0;0
2020-05-28 07:00:00;121;16;31;14;51;91;150;0;0;1;0;0;0;0
2020-05-28 07:15:00;119;29;28;14;69;110;157;1;0;0;0;0;0;0
2020-05-28 07:30:00;152;43;37;22;63;116;182;3;0;2;0;0;0;0
