DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2019-10-12 21:00:00;6;22;22;4;8;12;29;2;4;0;0;0
2019-10-12 21:15:00;9;15;22;9;4;17;38;1;1;2;0;0
2019-10-12 21:30:00;8;19;20;8;16;14;36;5;5;0;0;0
2019-10-12 21:45:00;7;10;11;7;7;11;24;4;5;0;0;0
2019-10-12 22:00:00;7;25;25;0;6;17;52;0;1;0;0;0
2019-10-12 22:15:00;10;19;25;5;11;12;37;3;5;0;0;2
2019-10-12 22:30:00;3;23;32;13;10;42;83;3;2;0;0;0
2019-10-12 22:45:00;14;22;27;4;11;21;46;3;2;0;0;0
2019-10-12 23:00:00;7;21;24;3;11;10;23;4;4;0;0;0
2019-10-12 23:15:00;8;17;15;7;12;14;20;3;4;0;0;0
2019-10-12 23:30:00;6;14;18;7;9;17;48;2;3;0;0;0
2019-10-12 23:45:00;3;8;10;4;10;8;39;3;4;0;0;0
