DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2019-10-03 00:00:00;4;27;23;14;12;0;0;0;0;0;0;0
2019-10-03 00:15:00;5;22;23;12;10;0;0;0;0;0;0;0
2019-10-03 00:30:00;8;19;24;16;7;0;0;0;0;0;0;0
2019-10-03 00:45:00;2;14;9;7;6;0;0;0;0;0;0;0
2019-10-03 01:00:00;4;15;6;12;11;0;0;0;0;0;0;0
2019-10-03 01:15:00;0;7;9;10;7;0;0;0;0;0;0;0
2019-10-03 01:30:00;3;12;12;9;9;0;0;0;0;0;0;0
2019-10-03 01:45:00;2;10;8;3;3;0;0;0;0;0;0;0
2019-10-03 02:00:00;4;6;9;7;8;0;0;0;0;0;0;0
2019-10-03 02:15:00;1;10;6;4;5;0;0;0;0;0;0;0
2019-10-03 02:30:00;5;10;8;6;3;0;0;0;0;0;0;0
2019-10-03 02:45:00;1;9;6;4;4;0;0;0;0;0;0;0
2019-10-03 03:00:00;2;5;13;5;5;0;0;0;0;0;0;0
2019-10-03 03:15:00;4;3;9;6;2;0;0;0;0;0;0;0
2019-10-03 03:30:00;4;10;5;6;5;0;0;0;0;0;0;0
2019-10-03 03:45:00;2;7;8;4;4;0;0;0;0;0;0;0
2019-10-03 04:00:00;2;9;13;3;1;0;0;0;0;0;0;0
2019-10-03 04:15:00;0;4;3;2;1;0;0;0;0;0;0;0
2019-10-03 04:30:00;2;5;8;10;4;0;0;0;0;0;0;0
2019-10-03 04:45:00;2;6;4;3;2;0;0;0;0;0;0;0
2019-10-03 05:00:00;1;6;3;6;0;0;0;0;0;0;0;0
2019-10-03 05:15:00;2;10;15;5;1;0;0;0;0;0;0;0
2019-10-03 05:30:00;10;8;5;7;9;0;0;0;0;0;0;0
2019-10-03 05:45:00;5;16;11;11;11;0;0;0;0;0;0;0
2019-10-03 06:00:00;4;26;25;16;13;0;0;0;0;0;0;0
2019-10-03 06:15:00;7;15;24;15;7;0;0;0;0;0;0;0
2019-10-03 06:30:00;3;14;12;14;14;0;0;0;0;0;0;0
2019-10-03 06:45:00;4;11;8;7;8;0;0;0;0;0;0;0
2019-10-03 07:00:00;3;20;20;8;7;0;0;0;0;0;0;0
2019-10-03 07:15:00;3;17;11;9;8;0;0;0;0;0;0;0
2019-10-03 07:30:00;2;18;16;8;6;0;0;0;0;0;0;0
2019-10-03 07:45:00;7;17;17;14;3;0;0;0;0;0;0;0
2019-10-03 08:00:00;5;15;38;22;11;0;0;0;0;0;0;0
2019-10-03 08:15:00;1;16;22;9;9;0;0;0;0;0;0;0
2019-10-03 08:30:00;6;17;36;20;16;0;0;0;0;0;0;0
2019-10-03 08:45:00;8;37;35;21;13;0;0;0;0;0;0;0
2019-10-03 09:00:00;8;32;41;21;12;0;2;0;0;4;0;0
2019-10-03 09:15:00;7;36;51;26;15;2;2;0;0;4;2;1
2019-10-03 09:30:00;10;44;26;26;15;1;0;0;0;2;0;1
