DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2019-08-26 00:00:00;15;8;1;5;3;7;18;4;1;1;0
2019-08-26 00:15:00;7;9;2;1;0;1;16;5;0;3;0
2019-08-26 00:30:00;15;6;0;3;1;4;23;2;0;1;0
2019-08-26 00:45:00;10;5;1;1;0;1;15;5;0;1;0
2019-08-26 01:00:00;10;3;1;3;1;1;15;5;0;1;0
2019-08-26 01:15:00;8;1;1;0;0;1;11;1;0;0;0
2019-08-26 01:30:00;8;5;0;2;0;2;8;3;0;1;0
2019-08-26 01:45:00;4;4;1;1;1;2;8;0;0;1;0
2019-08-26 02:00:00;9;6;0;0;0;0;14;0;0;0;0
2019-08-26 02:15:00;3;4;2;0;0;1;10;1;0;0;0
2019-08-26 02:30:00;5;3;0;0;0;0;6;1;0;0;0
2019-08-26 02:45:00;6;7;0;3;0;4;9;2;0;1;0
2019-08-26 03:00:00;4;3;0;1;0;4;8;1;0;0;0
2019-08-26 03:15:00;3;5;0;1;0;1;7;2;0;0;0
2019-08-26 03:30:00;8;6;0;1;1;3;10;1;0;5;1
2019-08-26 03:45:00;5;4;2;1;1;1;9;0;0;0;0
2019-08-26 04:00:00;5;10;4;0;0;4;10;1;0;1;0
2019-08-26 04:15:00;11;5;4;0;0;1;17;2;0;0;0
2019-08-26 04:30:00;15;16;6;5;0;7;26;8;0;0;0
2019-08-26 04:45:00;18;12;6;4;2;9;40;13;0;0;0
2019-08-26 05:00:00;20;19;13;0;0;1;68;32;0;4;0
2019-08-26 05:15:00;33;28;12;7;1;12;98;73;0;3;0
2019-08-26 05:30:00;36;16;15;11;4;21;102;89;0;3;0
2019-08-26 05:45:00;51;36;22;19;4;27;99;76;0;1;0
2019-08-26 06:00:00;52;33;34;18;4;22;91;97;1;4;0
2019-08-26 06:15:00;59;42;43;22;3;29;113;121;0;3;1
2019-08-26 06:30:00;73;45;34;26;3;35;132;160;3;2;1
2019-08-26 06:45:00;66;39;47;33;9;46;121;136;2;9;1
2019-08-26 07:00:00;51;38;31;36;18;54;121;135;2;10;2
2019-08-26 07:15:00;68;49;38;25;11;39;131;160;1;14;1
2019-08-26 07:30:00;68;33;34;33;10;48;139;151;1;8;2
2019-08-26 07:45:00;73;45;44;27;9;41;129;135;2;16;3
2019-08-26 08:00:00;69;49;43;26;11;44;115;146;1;9;5
2019-08-26 08:15:00;69;42;33;22;4;26;105;138;2;6;1
2019-08-26 08:30:00;71;40;27;36;8;45;105;126;3;8;2
2019-08-26 08:45:00;70;34;30;16;6;28;105;109;3;8;0
2019-08-26 09:00:00;65;47;46;21;3;32;104;79;1;7;3
2019-08-26 09:15:00;88;39;34;27;8;34;88;81;4;8;1
2019-08-26 09:30:00;83;39;21;16;7;26;89;57;3;6;4
2019-08-26 09:45:00;85;38;26;20;7;27;83;74;2;11;1
2019-08-26 10:00:00;107;43;37;19;4;26;82;62;2;14;2
2019-08-26 10:15:00;90;44;24;19;5;24;81;55;0;9;1
2019-08-26 10:30:00;96;44;30;21;5;31;106;75;2;9;2
2019-08-26 10:45:00;109;48;27;17;2;19;92;78;1;10;2
2019-08-26 11:00:00;87;41;40;16;5;26;92;64;1;10;2
2019-08-26 11:15:00;98;40;49;23;6;28;83;57;1;9;1
2019-08-26 11:30:00;114;49;38;12;7;22;99;69;2;13;1
2019-08-26 11:45:00;97;39;35;13;1;14;103;55;0;9;1
2019-08-26 12:00:00;101;35;34;9;0;7;87;63;2;11;3
2019-08-26 12:15:00;107;47;47;4;2;7;93;63;5;8;1
2019-08-26 12:30:00;116;46;43;15;5;21;91;74;0;10;1
2019-08-26 12:45:00;124;57;43;10;1;12;104;84;2;10;0
2019-08-26 13:00:00;126;42;40;11;0;13;106;83;0;3;1
2019-08-26 13:15:00;86;33;25;10;3;14;113;86;1;12;1
2019-08-26 13:30:00;124;54;36;10;4;11;128;102;1;9;0
2019-08-26 13:45:00;116;52;44;19;5;27;100;85;3;9;0
2019-08-26 14:00:00;133;62;58;17;5;25;119;77;0;6;0
2019-08-26 14:15:00;202;72;62;23;3;27;103;76;0;14;2
2019-08-26 14:30:00;205;92;82;23;5;27;97;78;0;8;0
2019-08-26 14:45:00;152;68;47;21;3;20;100;68;0;11;2
2019-08-26 15:00:00;149;66;72;18;8;25;84;68;5;13;3
2019-08-26 15:15:00;180;83;76;13;7;21;100;77;2;17;2
2019-08-26 15:30:00;206;84;71;21;5;28;95;68;0;9;0
2019-08-26 15:45:00;168;78;84;16;1;19;114;75;2;7;0
2019-08-26 16:00:00;188;87;92;13;1;15;102;77;0;11;0
2019-08-26 16:15:00;185;88;83;18;4;18;94;83;2;10;3
2019-08-26 16:30:00;181;78;76;18;3;22;95;69;3;13;1
2019-08-26 16:45:00;193;90;83;19;5;23;104;87;2;11;0
2019-08-26 17:00:00;199;99;90;24;4;25;95;82;1;16;0
2019-08-26 17:15:00;166;97;77;23;6;29;120;93;0;14;4
2019-08-26 17:30:00;153;76;59;21;8;29;103;79;2;11;1
2019-08-26 17:45:00;150;70;69;14;5;18;99;60;1;12;1
2019-08-26 18:00:00;130;66;57;13;1;14;107;75;1;15;0
2019-08-26 18:15:00;128;69;63;7;5;14;100;79;1;8;1
2019-08-26 18:30:00;104;54;42;2;1;3;98;68;2;10;0
2019-08-26 18:45:00;115;44;32;16;4;19;80;43;1;10;0
2019-08-26 19:00:00;88;38;24;9;3;14;72;40;0;12;1
2019-08-26 19:15:00;67;39;21;13;1;13;77;47;1;4;0
2019-08-26 19:30:00;74;31;25;12;3;11;66;31;0;8;0
2019-08-26 19:45:00;65;41;23;14;1;19;69;39;2;13;0
2019-08-26 20:00:00;88;29;23;7;0;8;90;37;0;5;2
2019-08-26 20:15:00;67;27;15;12;3;14;74;31;0;3;1
2019-08-26 20:30:00;61;25;12;13;0;13;56;22;0;12;0
2019-08-26 20:45:00;45;20;13;6;0;8;64;26;0;3;0
2019-08-26 21:00:00;40;24;17;9;0;10;93;50;1;4;0
2019-08-26 21:15:00;36;18;8;7;1;9;83;48;0;5;0
2019-08-26 21:30:00;43;21;12;5;2;10;57;24;0;4;1
2019-08-26 21:45:00;79;24;15;6;0;6;33;16;0;1;0
2019-08-26 22:00:00;103;38;27;6;0;5;43;20;0;4;0
2019-08-26 22:15:00;65;22;15;4;0;6;36;13;0;8;0
2019-08-26 22:30:00;18;12;14;1;0;2;37;11;0;2;0
2019-08-26 22:45:00;30;12;3;3;0;8;23;7;0;5;0
2019-08-26 23:00:00;25;10;1;5;0;7;24;6;0;6;0
2019-08-26 23:15:00;26;11;6;2;0;2;33;6;0;3;0
2019-08-26 23:30:00;16;7;5;7;0;7;27;7;0;3;0
2019-08-26 23:45:00;10;3;3;2;0;2;21;6;0;1;0
