DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DB4);6(DC1);7(DD1);8(DD2);9(DD3);10(tafga);11(tafgc);12(tafba);13(tafbb);14(tafbc);15(tafbd)
2020-05-30 00:00:00;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0
2020-05-30 00:15:00;16;0;1;5;5;1;0;0;0;0;0;0;0;0;0
2020-05-30 00:30:00;5;0;0;4;4;1;0;0;0;0;0;0;0;0;0
2020-05-30 00:45:00;8;0;1;5;5;3;0;0;0;0;0;0;0;0;0
2020-05-30 01:00:00;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-05-30 01:15:00;6;0;0;2;2;2;0;0;0;0;0;0;0;0;0
2020-05-30 01:30:00;7;0;0;3;3;0;0;0;0;0;0;0;0;0;0
2020-05-30 01:45:00;7;0;0;3;3;1;0;0;0;0;0;0;0;0;0
2020-05-30 02:00:00;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0
2020-05-30 02:15:00;3;0;0;4;4;3;0;0;0;0;0;0;0;0;0
2020-05-30 02:30:00;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-05-30 02:45:00;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-05-30 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-05-30 03:15:00;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-05-30 03:30:00;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0
2020-05-30 03:45:00;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2020-05-30 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-05-30 04:15:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-05-30 04:30:00;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-05-30 04:45:00;1;0;0;2;2;4;0;0;0;0;0;0;0;0;0
2020-05-30 05:00:00;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2020-05-30 05:15:00;5;0;0;2;2;7;0;0;1;0;0;0;0;0;0
2020-05-30 05:30:00;12;0;1;4;4;5;0;0;0;0;0;0;0;0;0
2020-05-30 05:45:00;13;0;0;7;7;6;0;0;1;0;0;0;0;0;0
2020-05-30 06:00:00;13;0;0;9;9;9;0;0;0;0;0;0;0;0;0
2020-05-30 06:15:00;15;0;0;8;8;9;0;0;1;0;0;0;0;0;0
2020-05-30 06:30:00;14;0;0;6;6;6;0;0;1;0;0;0;0;0;0
2020-05-30 06:45:00;18;0;0;13;11;10;0;0;1;0;0;0;0;0;0
2020-05-30 07:00:00;10;0;1;8;9;8;0;0;1;0;0;0;0;0;0
2020-05-30 07:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-30 07:30:00;15;0;1;7;7;11;0;1;4;0;0;0;0;0;0
2020-05-30 07:45:00;14;0;0;15;15;13;0;0;5;1;0;0;0;0;0
2020-05-30 08:00:00;20;0;1;16;15;12;0;0;4;0;0;0;0;0;0
2020-05-30 08:15:00;29;0;3;20;17;13;0;0;3;1;0;0;0;0;0
2020-05-30 08:30:00;39;0;0;16;16;13;0;0;1;0;2;0;0;0;0
2020-05-30 08:45:00;29;0;2;10;11;15;0;0;1;1;0;0;0;0;0
2020-05-30 09:00:00;35;0;1;33;29;13;0;1;2;1;0;0;0;0;0
2020-05-30 09:15:00;41;0;5;22;21;17;0;2;5;0;2;0;1;0;0
2020-05-30 09:30:00;50;0;1;33;32;23;0;6;10;0;1;0;0;0;0
2020-05-30 09:45:00;39;0;0;35;29;31;0;4;7;0;2;0;0;0;0
2020-05-30 10:00:00;46;0;3;31;31;21;0;4;4;0;3;0;0;0;0
2020-05-30 10:15:00;56;0;2;41;38;22;0;2;8;1;1;0;0;0;0
2020-05-30 10:30:00;43;0;2;36;32;12;0;0;10;0;0;0;1;0;0
2020-05-30 10:45:00;49;0;2;39;36;24;0;1;9;1;0;0;0;5;0
2020-05-30 11:00:00;50;0;3;30;23;17;0;0;7;0;1;0;0;0;0
2020-05-30 11:15:00;60;0;3;31;36;33;0;4;6;0;0;0;0;0;0
2020-05-30 11:30:00;48;0;3;42;33;23;0;0;3;0;1;0;0;5;0
2020-05-30 12:00:00;58;0;1;28;27;15;0;0;4;0;0;0;0;0;0
2020-05-30 12:15:00;43;0;1;22;25;18;0;2;2;0;0;0;0;0;0
2020-05-30 12:30:00;59;0;4;35;31;20;0;0;0;0;0;0;0;0;0
2020-05-30 12:45:00;56;0;0;31;32;32;0;0;0;0;0;0;0;0;0
2020-05-30 13:00:00;48;0;0;15;15;25;0;0;2;0;0;0;0;0;0
2020-05-30 13:15:00;57;0;3;33;32;23;0;5;5;0;0;0;0;0;0
2020-05-30 13:30:00;52;0;0;28;29;26;0;0;2;0;0;0;0;0;0
2020-05-30 13:45:00;45;0;2;45;39;22;0;0;2;1;0;0;0;0;0
2020-05-30 14:00:00;60;0;1;32;33;32;0;0;1;0;0;0;0;0;0
2020-05-30 14:15:00;64;0;2;34;36;32;0;0;2;1;1;0;0;0;0
2020-05-30 14:30:00;63;0;1;27;25;24;0;0;0;0;0;0;0;0;0
2020-05-30 14:45:00;48;0;1;33;25;19;0;1;3;0;1;0;0;0;0
2020-05-30 15:00:00;56;0;2;37;33;24;0;0;0;0;0;0;0;0;0
2020-05-30 15:15:00;43;0;3;23;20;22;0;0;0;0;0;0;0;0;0
2020-05-30 15:30:00;53;0;1;21;21;24;0;0;1;0;0;0;0;1;0
2020-05-30 15:45:00;44;0;4;30;32;27;0;1;0;0;1;0;0;0;0
2020-05-30 16:00:00;52;0;3;30;30;23;0;3;3;2;0;0;0;0;0
2020-05-30 16:15:00;53;0;0;24;21;21;0;1;1;0;0;0;0;0;0
2020-05-30 16:30:00;37;0;2;21;21;26;0;1;0;1;0;0;0;0;0
