DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-09-11 00:00:00;5;8;8;0;3;0;5;2
2020-09-11 00:15:00;2;6;5;3;2;0;8;3
2020-09-11 00:30:00;7;6;6;1;3;0;11;7
2020-09-11 00:45:00;3;7;7;1;3;0;1;2
2020-09-11 01:00:00;5;3;4;0;0;0;6;1
2020-09-11 01:15:00;1;3;3;2;3;0;2;2
2020-09-11 01:30:00;4;5;5;2;3;0;4;2
2020-09-11 01:45:00;0;5;5;0;0;0;3;2
2020-09-11 02:00:00;1;2;2;2;2;0;4;1
2020-09-11 02:15:00;1;2;2;1;1;0;6;3
2020-09-11 02:30:00;0;5;5;1;2;0;1;0
2020-09-11 02:45:00;2;6;6;2;1;0;1;1
2020-09-11 03:00:00;1;2;2;1;3;0;5;3
2020-09-11 03:15:00;1;2;2;2;4;0;0;0
2020-09-11 03:30:00;2;5;6;2;3;0;0;0
2020-09-11 03:45:00;2;5;5;1;0;0;4;2
2020-09-11 04:00:00;5;3;3;1;2;0;7;6
2020-09-11 04:15:00;0;5;4;2;6;0;3;3
2020-09-11 04:30:00;6;13;12;2;4;0;7;1
2020-09-11 04:45:00;11;31;30;2;4;0;7;1
2020-09-11 05:00:00;28;64;67;13;15;0;18;6
2020-09-11 05:15:00;61;105;105;4;13;0;28;6
2020-09-11 05:30:00;79;105;110;3;12;0;64;19
2020-09-11 05:45:00;54;67;66;36;38;0;52;36
2020-09-11 06:00:00;41;53;51;31;46;0;48;38
2020-09-11 06:15:00;53;67;67;18;28;0;27;22
2020-09-11 06:30:00;100;90;86;14;25;0;32;21
2020-09-11 06:45:00;98;79;78;12;22;0;64;43
2020-09-11 07:00:00;67;62;61;11;15;0;41;28
2020-09-11 07:15:00;122;91;87;18;27;0;63;41
2020-09-11 07:30:00;139;96;92;18;41;0;67;58
2020-09-11 07:45:00;203;130;132;15;26;0;108;99
2020-09-11 08:00:00;95;82;85;12;18;0;80;43
2020-09-11 08:15:00;80;65;64;15;24;0;80;38
2020-09-11 08:30:00;76;49;49;25;32;0;48;38
