DATUM;1(DA1);2(TAFBA)
2020-12-04 00:00:00;0;0
2020-12-04 00:15:00;1;0
2020-12-04 00:30:00;2;0
2020-12-04 00:45:00;0;0
2020-12-04 01:00:00;2;0
2020-12-04 01:15:00;0;0
2020-12-04 01:30:00;3;0
2020-12-04 01:45:00;0;0
2020-12-04 02:00:00;0;0
2020-12-04 02:15:00;0;0
2020-12-04 02:30:00;1;0
2020-12-04 02:45:00;0;0
2020-12-04 03:00:00;0;0
2020-12-04 03:15:00;0;0
2020-12-04 03:30:00;0;0
2020-12-04 03:45:00;1;0
2020-12-04 04:00:00;4;0
2020-12-04 04:15:00;2;0
2020-12-04 04:30:00;3;0
2020-12-04 04:45:00;4;0
2020-12-04 05:00:00;3;0
2020-12-04 05:15:00;4;0
2020-12-04 05:30:00;4;0
2020-12-04 05:45:00;13;0
2020-12-04 06:00:00;9;0
2020-12-04 06:15:00;22;0
2020-12-04 06:30:00;15;0
2020-12-04 06:45:00;25;0
2020-12-04 07:00:00;20;0
2020-12-04 07:15:00;54;0
2020-12-04 07:30:00;71;0
2020-12-04 07:45:00;72;0
2020-12-04 08:00:00;57;0
2020-12-04 08:15:00;41;0
2020-12-04 08:30:00;42;0
2020-12-04 08:45:00;44;0
2020-12-04 09:00:00;34;0
2020-12-04 09:15:00;42;0
2020-12-04 09:30:00;38;0
2020-12-04 09:45:00;45;0
2020-12-04 10:00:00;43;0
2020-12-04 10:15:00;37;0
2020-12-04 10:30:00;34;0
2020-12-04 10:45:00;50;0
2020-12-04 11:00:00;52;0
2020-12-04 11:15:00;44;0
2020-12-04 11:30:00;41;0
2020-12-04 11:45:00;28;0
2020-12-04 12:00:00;37;0
2020-12-04 12:15:00;25;0
2020-12-04 12:30:00;42;0
2020-12-04 12:45:00;51;0
2020-12-04 13:00:00;55;0
2020-12-04 13:15:00;39;0
2020-12-04 13:30:00;43;0
2020-12-04 13:45:00;56;0
2020-12-04 14:00:00;35;0
2020-12-04 14:15:00;39;0
2020-12-04 14:30:00;38;0
2020-12-04 14:45:00;40;0
2020-12-04 15:00:00;40;0
2020-12-04 15:15:00;35;0
2020-12-04 15:30:00;48;0
2020-12-04 15:45:00;33;0
2020-12-04 16:00:00;32;0
2020-12-04 16:15:00;43;0
2020-12-04 16:30:00;43;0
2020-12-04 16:45:00;36;0
2020-12-04 17:00:00;41;0
2020-12-04 17:15:00;36;0
2020-12-04 17:30:00;28;0
2020-12-04 17:45:00;22;0
2020-12-04 18:00:00;18;0
2020-12-04 18:15:00;14;0
2020-12-04 18:30:00;19;0
2020-12-04 18:45:00;17;0
2020-12-04 19:00:00;19;0
2020-12-04 19:15:00;7;0
2020-12-04 19:30:00;15;0
2020-12-04 19:45:00;11;0
2020-12-04 20:00:00;16;0
2020-12-04 20:15:00;5;0
2020-12-04 20:30:00;13;0
2020-12-04 20:45:00;7;0
2020-12-04 21:00:00;7;0
2020-12-04 21:15:00;11;0
2020-12-04 21:30:00;4;0
2020-12-04 21:45:00;2;0
2020-12-04 22:00:00;4;0
2020-12-04 22:15:00;4;0
2020-12-04 22:30:00;3;0
2020-12-04 22:45:00;6;0
2020-12-04 23:00:00;2;0
2020-12-04 23:15:00;4;0
2020-12-04 23:30:00;2;0
2020-12-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
