DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-06-16 00:00:00;7;2;0;10;3;0;0;0;0;0
2020-06-16 00:15:00;6;5;0;3;2;0;0;0;0;0
2020-06-16 00:30:00;7;5;0;6;3;0;0;0;0;0
2020-06-16 00:45:00;8;3;0;9;3;0;0;0;0;0
2020-06-16 01:00:00;5;1;0;2;2;0;0;0;0;0
2020-06-16 01:15:00;5;7;0;1;1;0;0;0;0;0
2020-06-16 01:30:00;3;0;0;5;6;0;0;0;0;0
2020-06-16 01:45:00;6;7;0;4;3;1;0;0;0;0
2020-06-16 02:00:00;7;4;0;7;4;0;0;0;0;0
2020-06-16 02:15:00;9;6;0;5;4;0;0;0;0;0
2020-06-16 02:30:00;9;7;0;5;8;0;0;0;0;0
2020-06-16 03:00:00;2;2;0;8;7;1;0;0;0;0
2020-06-16 03:15:00;4;2;0;4;4;0;0;0;0;0
2020-06-16 03:30:00;9;4;0;10;4;2;0;0;0;0
2020-06-16 03:45:00;4;2;0;13;4;0;0;0;0;0
2020-06-16 04:00:00;9;1;0;6;7;0;0;0;0;0
2020-06-16 04:15:00;17;8;0;8;5;4;0;0;0;0
2020-06-16 04:30:00;11;6;0;9;6;0;0;0;0;0
2020-06-16 04:45:00;23;19;0;20;4;2;0;0;0;0
2020-06-16 05:00:00;25;9;0;41;15;0;0;0;0;0
2020-06-16 05:15:00;34;22;0;59;24;0;0;0;0;0
2020-06-16 05:30:00;53;27;0;53;27;0;0;0;0;0
2020-06-16 05:45:00;58;35;0;76;31;0;0;0;0;0
2020-06-16 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-16 06:15:00;65;54;1;97;36;3;0;0;0;0
2020-06-16 06:30:00;104;65;1;101;41;2;0;0;0;0
2020-06-16 06:45:00;139;88;1;131;68;1;6;0;0;0
2020-06-16 07:00:00;99;49;0;119;78;5;4;0;0;0
2020-06-16 07:15:00;113;59;1;138;76;3;0;0;0;0
