DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2019-08-09 00:00:00;0;25;0;1;1;1;23;11;0;0
2019-08-09 00:15:00;0;32;0;1;1;3;17;6;0;0
2019-08-09 00:30:00;0;16;0;0;3;3;14;4;0;0
2019-08-09 00:45:00;0;15;0;1;3;3;10;7;0;0
2019-08-09 01:00:00;0;17;0;0;2;6;30;11;0;0
2019-08-09 01:15:00;0;16;1;0;2;2;20;5;0;0
2019-08-09 01:30:00;0;19;0;0;2;0;9;1;0;0
2019-08-09 01:45:00;0;12;0;0;1;3;14;3;0;0
2019-08-09 02:00:00;0;15;0;1;0;0;9;1;0;0
2019-08-09 02:15:00;0;16;0;0;0;1;9;7;0;0
2019-08-09 02:30:00;0;14;0;0;1;1;7;2;0;0
2019-08-09 02:45:00;0;3;0;1;0;2;14;2;0;0
2019-08-09 03:00:00;0;12;0;0;2;2;7;5;0;0
2019-08-09 03:15:00;0;6;0;0;0;1;12;5;0;0
2019-08-09 03:30:00;0;14;1;2;0;2;15;3;0;0
2019-08-09 03:45:00;0;7;0;0;1;0;9;5;0;0
2019-08-09 04:00:00;0;21;0;0;2;4;9;4;0;0
2019-08-09 04:15:00;0;24;2;1;2;6;11;5;0;0
2019-08-09 04:30:00;0;27;0;0;2;9;22;7;0;0
2019-08-09 04:45:00;0;32;0;1;1;13;26;7;0;0
2019-08-09 05:00:00;0;45;2;5;0;45;45;36;0;0
2019-08-09 05:15:00;0;63;0;4;4;77;61;60;0;0
2019-08-09 05:30:00;0;80;2;7;9;104;82;84;0;0
2019-08-09 05:45:00;0;112;4;32;37;151;67;88;0;0
2019-08-09 06:00:00;0;113;24;36;45;121;55;93;0;0
2019-08-09 06:15:00;0;96;3;9;15;166;72;112;0;0
2019-08-09 06:30:00;0;107;2;12;6;201;78;144;0;0
2019-08-09 06:45:00;0;126;2;7;5;161;81;151;0;0
2019-08-09 07:00:00;0;97;3;14;14;177;82;153;0;0
2019-08-09 07:15:00;0;105;10;17;13;169;90;158;0;0
2019-08-09 07:30:00;0;111;4;17;21;177;85;139;0;0
2019-08-09 07:45:00;0;127;4;9;9;171;85;146;0;0
2019-08-09 08:00:00;0;114;4;13;12;162;91;132;0;0
2019-08-09 08:15:00;0;91;4;10;13;128;86;133;0;0
2019-08-09 08:30:00;0;113;9;15;20;118;114;122;0;0
2019-08-09 08:45:00;0;104;9;11;18;92;89;138;0;0
2019-08-09 09:00:00;0;115;5;12;12;85;81;116;0;0
2019-08-09 09:15:00;0;96;7;22;22;51;79;110;0;0
2019-08-09 09:30:00;0;119;9;17;25;55;91;134;0;0
2019-08-09 09:45:00;0;115;7;14;17;49;87;132;0;0
2019-08-09 10:00:00;0;126;9;17;24;54;96;123;0;0
2019-08-09 10:15:00;0;116;9;19;26;48;96;133;0;0
2019-08-09 10:30:00;0;140;11;19;24;49;109;139;0;0
2019-08-09 10:45:00;0;150;9;20;28;57;87;117;0;0
2019-08-09 11:00:00;0;132;14;23;34;47;88;129;0;0
2019-08-09 11:15:00;0;142;8;21;30;40;102;137;0;0
2019-08-09 11:30:00;0;139;6;22;26;52;94;120;0;0
2019-08-09 11:45:00;0;148;8;35;38;67;102;120;0;0
2019-08-09 12:00:00;0;168;17;61;66;55;118;151;0;0
2019-08-09 12:15:00;0;161;10;56;68;46;90;121;0;0
2019-08-09 12:30:00;0;166;24;56;63;52;110;136;0;0
2019-08-09 12:45:00;0;159;17;42;55;55;101;137;0;0
2019-08-09 13:00:00;0;161;18;61;65;71;99;126;0;0
2019-08-09 13:15:00;0;178;22;46;55;83;109;130;0;0
2019-08-09 13:30:00;0;165;10;49;48;75;111;145;0;0
2019-08-09 13:45:00;0;166;18;58;57;70;99;125;0;0
2019-08-09 14:00:00;0;174;31;59;57;63;98;148;0;0
2019-08-09 14:15:00;0;180;20;81;80;23;117;113;0;0
2019-08-09 14:30:00;0;158;15;99;99;34;110;125;0;0
2019-08-09 14:45:00;0;166;25;76;78;30;111;130;0;0
2019-08-09 15:00:00;0;145;12;51;59;28;103;118;0;0
2019-08-09 15:15:00;0;173;16;57;65;18;117;141;0;0
2019-08-09 15:30:00;0;144;14;44;50;38;99;139;0;0
2019-08-09 15:45:00;0;165;12;50;53;28;109;141;0;0
2019-08-09 16:00:00;0;159;14;45;52;31;109;117;0;0
2019-08-09 16:15:00;0;162;12;39;41;29;111;139;0;0
2019-08-09 16:30:00;0;149;11;33;50;22;104;123;0;0
2019-08-09 16:45:00;0;139;9;22;33;22;104;108;0;0
2019-08-09 17:00:00;0;139;6;22;26;26;110;121;0;0
2019-08-09 17:15:00;0;140;6;23;25;10;117;130;0;0
2019-08-09 17:30:00;0;135;5;20;23;14;119;123;0;0
2019-08-09 17:45:00;0;132;3;19;16;16;108;129;0;0
2019-08-09 18:00:00;0;121;6;15;15;24;97;133;0;0
2019-08-09 18:15:00;0;142;4;11;16;22;103;121;0;0
2019-08-09 18:30:00;0;107;3;10;14;17;111;114;0;0
2019-08-09 18:45:00;0;102;0;7;7;18;99;105;0;0
2019-08-09 19:00:00;0;111;0;8;11;11;82;83;0;0
2019-08-09 19:15:00;0;134;2;9;6;10;91;73;0;0
2019-08-09 19:30:00;0;94;1;4;13;11;82;97;0;0
2019-08-09 19:45:00;0;98;1;6;5;14;83;78;0;0
2019-08-09 20:00:00;0;121;3;13;6;17;93;79;0;0
2019-08-09 20:15:00;0;95;3;5;2;9;66;71;0;0
2019-08-09 20:30:00;0;68;0;4;9;12;60;54;0;0
2019-08-09 20:45:00;0;71;0;4;3;29;66;51;0;0
2019-08-09 21:00:00;0;74;1;5;4;45;53;51;0;0
2019-08-09 21:15:00;0;69;3;5;7;51;59;52;0;0
2019-08-09 21:30:00;0;75;2;8;17;48;59;64;0;0
2019-08-09 21:45:00;0;71;1;20;25;17;48;40;0;0
2019-08-09 22:00:00;0;74;15;31;30;2;39;36;0;0
2019-08-09 22:15:00;0;65;1;4;3;7;35;25;0;0
2019-08-09 22:30:00;0;60;3;3;5;4;45;36;0;0
2019-08-09 22:45:00;0;46;1;3;1;3;46;37;0;0
2019-08-09 23:00:00;0;66;0;1;2;5;50;27;0;0
2019-08-09 23:15:00;0;30;1;0;1;3;39;26;0;0
2019-08-09 23:30:00;0;43;1;2;0;3;54;33;0;0
2019-08-09 23:45:00;0;22;0;0;2;3;29;23;0;0
