DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-04-13 00:00:00;3;1;0;1;0;10;1;0;0
2020-04-13 00:15:00;2;1;0;2;0;14;1;0;0
2020-04-13 00:30:00;0;0;0;4;0;12;1;0;0
2020-04-13 00:45:00;2;0;0;5;0;14;0;0;0
2020-04-13 01:00:00;1;1;0;1;0;12;1;0;0
2020-04-13 01:15:00;1;1;0;2;0;14;1;0;0
2020-04-13 01:30:00;1;0;0;0;0;12;1;0;0
2020-04-13 01:45:00;0;0;0;0;0;13;1;0;0
2020-04-13 02:00:00;2;0;0;0;0;12;0;0;0
2020-04-13 02:15:00;4;0;0;1;0;14;1;0;0
2020-04-13 02:30:00;1;0;0;2;0;12;1;0;0
2020-04-13 02:45:00;2;0;0;1;0;14;1;0;0
2020-04-13 03:00:00;0;0;0;0;0;12;1;0;0
2020-04-13 03:15:00;0;0;2;3;0;13;0;0;0
2020-04-13 03:30:00;0;0;0;3;0;12;1;0;0
2020-04-13 03:45:00;1;0;0;2;0;14;1;0;0
2020-04-13 04:00:00;0;3;0;3;0;12;1;0;0
2020-04-13 04:15:00;0;0;0;0;0;14;1;0;0
2020-04-13 04:30:00;1;0;0;0;0;12;0;0;0
2020-04-13 04:45:00;0;0;0;0;0;14;1;0;0
2020-04-13 05:00:00;1;0;0;4;0;12;1;0;0
2020-04-13 05:15:00;2;0;0;4;0;13;1;0;0
2020-04-13 05:30:00;0;2;0;4;0;12;1;0;0
2020-04-13 05:45:00;5;0;0;15;0;14;0;0;0
2020-04-13 06:00:00;3;0;0;3;0;12;1;0;0
2020-04-13 06:15:00;2;2;0;4;0;14;1;0;0
2020-04-13 06:30:00;10;0;0;5;0;12;1;0;0
2020-04-13 06:45:00;6;0;0;4;0;13;1;0;0
2020-04-13 07:00:00;7;0;1;7;0;12;0;0;0
2020-04-13 07:15:00;2;1;0;4;0;14;1;0;0
2020-04-13 07:30:00;9;2;0;5;0;12;1;0;0
2020-04-13 07:45:00;4;3;0;9;0;14;1;0;0
2020-04-13 08:00:00;4;3;0;11;0;12;1;0;0
2020-04-13 08:15:00;6;3;1;8;0;14;1;0;0
2020-04-13 08:30:00;7;5;1;15;0;12;0;0;0
2020-04-13 08:45:00;9;1;0;14;0;13;1;0;0
2020-04-13 09:00:00;8;0;0;15;0;12;1;0;0
2020-04-13 09:15:00;13;4;0;22;0;14;1;0;0
2020-04-13 09:30:00;12;4;0;14;0;12;0;0;0
2020-04-13 09:45:00;24;8;2;27;0;14;1;0;0
2020-04-13 10:00:00;23;5;1;17;0;12;1;0;0
2020-04-13 10:15:00;29;5;1;23;0;13;1;0;0
2020-04-13 10:30:00;21;3;0;20;0;12;1;0;0
2020-04-13 10:45:00;35;2;1;25;0;14;0;0;0
2020-04-13 11:00:00;30;3;6;31;0;14;1;0;0
2020-04-13 11:15:00;25;1;0;25;0;12;1;0;0
2020-04-13 11:30:00;29;4;2;27;0;12;1;0;0
2020-04-13 11:45:00;46;7;4;37;0;14;1;0;0
2020-04-13 12:00:00;30;5;2;19;0;12;0;0;0
2020-04-13 12:15:00;44;13;2;38;0;13;1;0;0
2020-04-13 12:30:00;41;6;5;37;0;12;1;0;0
2020-04-13 12:45:00;33;5;1;51;1;14;1;0;0
2020-04-13 13:00:00;33;3;2;30;0;12;0;0;0
2020-04-13 13:15:00;35;10;2;54;0;14;1;0;0
2020-04-13 13:30:00;40;5;2;44;0;12;1;0;0
2020-04-13 13:45:00;47;5;1;42;0;13;1;0;0
2020-04-13 14:00:00;45;6;2;30;0;12;1;0;0
2020-04-13 14:15:00;37;8;1;53;0;14;0;0;0
2020-04-13 14:30:00;37;7;0;37;0;12;1;0;0
2020-04-13 14:45:00;38;5;0;51;0;14;1;0;0
2020-04-13 15:00:00;34;4;2;36;0;12;1;0;0
2020-04-13 15:15:00;35;7;1;57;0;14;1;0;0
2020-04-13 15:30:00;39;7;2;33;0;12;0;0;0
2020-04-13 15:45:00;40;5;1;47;0;13;1;0;0
2020-04-13 16:00:00;38;8;3;50;0;12;1;0;0
2020-04-13 16:15:00;38;10;3;42;0;14;1;0;0
2020-04-13 16:30:00;39;9;3;46;0;12;1;0;0
2020-04-13 16:45:00;45;4;5;50;0;14;0;0;0
2020-04-13 17:00:00;37;5;0;52;0;13;1;0;0
2020-04-13 17:15:00;27;6;2;38;0;10;1;0;0
2020-04-13 17:30:00;31;8;0;47;0;12;1;0;0
2020-04-13 17:45:00;45;5;1;42;0;14;1;0;0
2020-04-13 18:00:00;43;8;4;50;0;12;0;0;0
2020-04-13 18:15:00;30;10;4;44;0;14;1;0;0
2020-04-13 18:30:00;37;5;1;38;0;12;1;0;0
