DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-03-16 00:00:00;2;3;5;2;1;1;4;0;0
2020-03-16 00:15:00;2;5;7;1;0;0;4;0;0
2020-03-16 00:30:00;3;5;8;3;2;0;4;0;0
2020-03-16 00:45:00;2;3;7;0;0;0;7;0;0
2020-03-16 01:00:00;1;3;3;2;0;0;3;0;0
2020-03-16 01:15:00;1;2;3;0;0;0;1;0;0
2020-03-16 01:30:00;1;2;2;1;0;0;1;0;0
2020-03-16 01:45:00;0;1;1;0;0;0;1;0;0
2020-03-16 02:00:00;3;5;5;0;0;0;3;0;0
2020-03-16 02:15:00;2;1;4;0;0;1;3;0;0
2020-03-16 02:30:00;2;1;2;0;0;0;2;0;0
2020-03-16 02:45:00;1;2;2;0;0;0;0;0;0
2020-03-16 03:00:00;1;2;3;1;1;0;0;0;0
2020-03-16 03:15:00;0;1;1;1;0;0;1;0;0
2020-03-16 03:30:00;0;1;1;0;0;0;0;0;0
2020-03-16 03:45:00;0;3;4;1;1;0;1;0;0
2020-03-16 04:00:00;3;5;8;1;0;1;3;0;0
2020-03-16 04:15:00;3;5;10;0;0;0;6;0;0
2020-03-16 04:30:00;0;3;4;0;0;0;8;0;0
2020-03-16 04:45:00;1;5;6;0;0;0;10;0;0
2020-03-16 05:00:00;7;10;15;2;2;5;27;0;0
2020-03-16 05:15:00;12;18;31;8;5;8;56;0;2
2020-03-16 05:30:00;17;25;41;11;7;10;56;0;0
2020-03-16 05:45:00;24;26;54;13;10;12;63;0;0
2020-03-16 06:00:00;19;13;28;15;6;6;41;1;0
2020-03-16 06:15:00;34;30;52;24;14;22;47;0;0
2020-03-16 06:30:00;34;48;72;21;23;52;92;0;3
2020-03-16 06:45:00;41;47;85;25;21;31;108;1;2
2020-03-16 07:00:00;46;50;87;23;19;33;104;6;2
2020-03-16 07:15:00;35;40;73;23;13;20;100;1;6
2020-03-16 07:30:00;47;38;72;24;15;18;116;0;10
2020-03-16 07:45:00;41;51;84;16;11;17;89;3;3
2020-03-16 08:00:00;35;39;69;13;12;13;98;2;4
2020-03-16 08:15:00;36;35;69;25;13;20;84;3;2
2020-03-16 08:30:00;40;49;75;14;6;7;66;2;0
2020-03-16 08:45:00;45;60;83;17;14;6;75;1;6
2020-03-16 09:00:00;33;33;53;20;10;8;67;0;3
2020-03-16 09:15:00;29;40;57;17;6;6;65;0;16
2020-03-16 09:30:00;43;42;62;20;8;3;91;15;5
2020-03-16 09:45:00;49;44;75;15;7;5;76;0;7
2020-03-16 10:00:00;35;46;66;17;7;4;73;8;2
2020-03-16 10:15:00;41;36;67;11;5;5;56;0;40
2020-03-16 10:30:00;34;51;67;14;7;4;74;2;4
2020-03-16 10:45:00;46;46;80;15;6;0;69;4;6
2020-03-16 11:00:00;34;57;79;15;9;5;80;6;5
2020-03-16 11:15:00;41;62;73;17;6;6;80;13;12
2020-03-16 11:30:00;56;52;87;16;12;7;79;3;5
2020-03-16 11:45:00;36;46;64;13;5;4;64;7;4
2020-03-16 12:00:00;49;46;82;18;9;9;87;10;0
2020-03-16 12:15:00;29;45;71;10;6;3;60;1;2
2020-03-16 12:30:00;38;46;68;13;6;4;76;3;10
2020-03-16 12:45:00;30;45;67;22;8;0;70;3;4
2020-03-16 13:00:00;41;52;74;18;9;5;83;22;14
2020-03-16 13:15:00;34;54;72;17;8;5;108;3;0
2020-03-16 13:30:00;45;55;80;18;7;13;111;16;11
2020-03-16 13:45:00;35;45;70;26;12;14;79;11;11
2020-03-16 14:00:00;35;60;81;27;10;10;68;9;4
2020-03-16 14:15:00;61;85;115;28;8;5;63;7;4
2020-03-16 14:30:00;73;79;118;33;9;9;90;17;19
2020-03-16 14:45:00;49;70;98;15;5;4;71;1;41
2020-03-16 15:00:00;48;61;87;37;9;5;75;32;24
2020-03-16 15:15:00;56;86;121;73;12;3;79;9;4
2020-03-16 15:30:00;51;72;97;37;10;1;70;20;1
2020-03-16 15:45:00;59;71;108;32;11;6;92;7;1
2020-03-16 16:00:00;54;81;113;34;9;5;83;10;2
2020-03-16 16:15:00;73;80;125;35;12;8;103;4;4
2020-03-16 16:30:00;55;90;117;31;7;8;94;3;18
2020-03-16 16:45:00;68;64;116;27;10;3;87;4;2
2020-03-16 17:00:00;53;78;114;39;12;5;94;1;10
2020-03-16 17:15:00;60;56;82;27;10;5;78;27;29
2020-03-16 17:30:00;34;43;72;28;10;4;82;10;3
2020-03-16 17:45:00;37;63;88;18;8;4;90;7;11
2020-03-16 18:00:00;31;51;76;14;6;6;58;3;0
2020-03-16 18:15:00;45;39;65;14;6;2;66;1;2
2020-03-16 18:30:00;40;40;64;11;3;1;49;1;3
2020-03-16 18:45:00;35;43;64;12;5;4;72;3;0
2020-03-16 19:00:00;29;43;55;5;2;3;49;5;2
2020-03-16 19:15:00;22;24;38;10;7;4;38;1;1
