DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-12-19 00:00:00;5;4;2;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 00:15:00;8;8;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 00:30:00;10;6;3;10;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 00:45:00;3;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 01:00:00;4;10;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 01:15:00;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 01:30:00;2;4;1;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 01:45:00;7;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 02:00:00;6;5;2;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 02:15:00;9;1;2;7;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-19 02:30:00;7;4;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 02:45:00;4;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:00:00;4;3;4;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:15:00;3;5;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:30:00;7;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 03:45:00;5;5;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 04:00:00;3;6;2;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 04:15:00;10;8;3;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 04:30:00;7;10;2;11;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 04:45:00;11;11;5;14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 05:00:00;20;24;8;30;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 05:15:00;33;21;10;19;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-19 05:30:00;36;34;10;36;2;2;2;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-19 05:45:00;36;36;19;41;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-19 06:00:00;52;19;8;28;3;3;4;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-19 06:15:00;40;51;19;51;4;5;7;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 06:30:00;30;23;19;29;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 06:45:00;31;31;5;32;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-19 07:00:00;36;36;9;39;7;6;6;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-19 07:15:00;25;48;11;49;5;10;6;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-19 07:30:00;37;52;14;47;9;9;9;3;3;0;0;0;0;0;0;0;0;0;0
2020-12-19 07:45:00;41;41;8;35;10;12;10;4;5;3;0;1;0;0;0;0;0;0;0
2020-12-19 08:00:00;51;52;8;54;5;7;8;6;6;0;0;1;0;1;0;0;0;0;0
2020-12-19 08:15:00;56;67;20;64;16;14;15;3;3;3;0;0;0;0;0;0;0;0;0
2020-12-19 08:30:00;63;63;18;61;14;15;15;1;1;2;0;1;0;0;0;0;0;0;0
2020-12-19 08:45:00;77;85;14;71;11;13;13;6;6;6;0;5;0;0;0;0;0;0;0
2020-12-19 09:00:00;75;61;9;57;12;15;15;5;5;4;0;1;0;1;0;0;0;0;0
2020-12-19 09:15:00;75;76;13;69;12;14;15;4;5;2;0;0;0;0;0;0;0;0;0
2020-12-19 09:30:00;101;98;27;85;11;14;13;5;5;1;0;2;0;0;0;0;0;0;0
2020-12-19 09:45:00;95;91;17;77;13;11;12;10;10;3;0;0;0;0;0;0;0;0;0
2020-12-19 10:00:00;109;98;16;77;15;19;20;9;9;7;0;4;0;0;0;0;0;0;0
2020-12-19 10:15:00;129;120;13;104;19;50;24;9;9;4;0;2;0;0;0;0;0;0;0
2020-12-19 10:30:00;127;109;21;94;20;20;26;12;11;4;0;0;0;0;0;0;0;0;1
2020-12-19 10:45:00;130;111;11;81;18;16;18;8;9;0;0;2;0;0;0;0;0;0;0
2020-12-19 11:00:00;134;155;12;116;24;23;25;13;13;4;0;1;0;0;0;0;0;0;0
2020-12-19 11:15:00;150;124;19;86;22;26;24;8;9;1;0;1;0;0;0;0;0;0;0
2020-12-19 11:30:00;150;130;19;121;19;23;23;13;13;1;0;2;0;0;0;0;0;5;0
2020-12-19 11:45:00;127;141;21;91;20;24;20;9;13;1;0;0;0;0;0;0;0;0;0
2020-12-19 12:00:00;167;101;20;74;17;24;23;8;8;0;0;1;0;0;0;0;0;0;0
2020-12-19 12:15:00;131;111;19;88;16;17;20;8;7;1;0;0;0;0;0;0;0;0;0
2020-12-19 12:30:00;159;150;30;118;20;23;24;8;8;5;0;0;0;0;0;0;0;0;0
2020-12-19 12:45:00;146;111;22;92;14;15;17;8;8;4;0;0;0;0;0;0;0;1;0
2020-12-19 13:00:00;159;133;15;101;16;17;18;6;6;1;0;1;0;0;0;0;0;0;0
2020-12-19 13:15:00;124;121;22;97;8;12;12;5;5;1;0;2;0;0;0;0;0;0;1
2020-12-19 13:30:00;172;143;24;95;16;20;21;7;7;0;0;3;0;0;0;0;0;0;0
2020-12-19 13:45:00;137;111;21;103;17;14;17;11;11;1;0;0;0;2;0;0;0;0;0
2020-12-19 14:00:00;165;121;23;83;21;26;26;9;9;6;0;0;0;1;0;0;0;0;0
2020-12-19 14:15:00;166;115;23;90;14;17;17;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-19 14:30:00;160;133;18;90;17;59;17;10;10;0;0;1;0;0;0;0;0;0;0
2020-12-19 14:45:00;154;115;20;75;12;13;14;9;9;0;0;2;0;0;0;0;0;0;0
2020-12-19 15:00:00;163;129;18;109;19;22;22;7;8;0;0;1;0;0;0;0;0;0;2
2020-12-19 15:15:00;144;120;15;93;15;17;18;9;10;2;0;1;0;0;0;0;0;0;0
2020-12-19 15:30:00;143;143;18;96;18;21;22;11;10;3;0;2;0;0;0;0;0;0;0
2020-12-19 15:45:00;123;125;16;94;13;15;15;10;10;2;0;2;0;0;0;0;0;0;0
2020-12-19 16:00:00;144;126;20;94;15;18;22;8;8;2;0;3;0;0;0;0;0;1;0
2020-12-19 16:15:00;124;116;18;79;13;12;14;11;16;5;0;1;0;0;0;0;0;0;0
2020-12-19 16:30:00;151;143;25;104;12;15;15;6;7;5;0;1;0;0;0;0;0;0;0
2020-12-19 16:45:00;126;90;11;76;17;178;17;12;10;3;0;3;0;0;0;0;0;0;0
2020-12-19 17:00:00;125;120;15;86;10;14;12;6;5;3;0;2;0;0;0;0;0;0;0
2020-12-19 17:15:00;103;89;26;72;15;16;15;7;7;0;0;0;0;0;0;0;0;0;0
2020-12-19 17:30:00;114;117;26;88;15;21;19;7;7;0;0;2;0;0;0;0;0;0;0
2020-12-19 17:45:00;99;115;16;99;14;18;16;4;5;0;0;4;0;0;0;0;0;0;0
2020-12-19 18:00:00;110;99;15;91;18;51;19;6;5;1;0;1;0;0;0;0;0;0;0
2020-12-19 18:15:00;110;82;23;80;13;16;16;3;3;1;0;0;0;0;0;0;0;0;0
2020-12-19 18:30:00;79;67;17;62;14;18;19;8;7;4;0;1;0;0;0;0;0;0;1
2020-12-19 18:45:00;97;56;15;55;13;97;16;6;6;1;0;0;0;0;0;0;0;0;0
2020-12-19 19:00:00;80;45;29;54;8;8;10;2;2;0;0;1;0;0;0;0;0;0;0
2020-12-19 19:15:00;73;64;16;60;12;14;14;5;5;2;0;1;0;0;0;0;0;0;0
2020-12-19 19:30:00;63;61;23;54;6;7;9;5;5;0;0;3;0;2;0;0;0;0;0
2020-12-19 19:45:00;66;53;11;44;9;10;33;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-19 20:00:00;60;52;14;50;9;9;8;2;2;1;0;0;0;0;0;0;0;0;0
2020-12-19 20:15:00;77;58;17;52;9;15;13;2;2;0;0;0;0;0;0;0;0;0;0
2020-12-19 20:30:00;67;62;25;61;12;12;14;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-19 20:45:00;70;79;21;67;4;8;8;4;4;1;0;0;0;0;0;0;0;0;0
2020-12-19 21:00:00;28;29;10;33;1;1;1;4;4;0;0;0;0;0;0;0;0;0;0
2020-12-19 21:15:00;11;16;8;18;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-19 21:30:00;17;13;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 21:45:00;6;12;4;11;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 22:00:00;11;7;1;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 22:15:00;9;8;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 22:30:00;10;5;4;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-19 22:45:00;7;2;2;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
