DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-05-31 00:00:00;4;2;5;1;0;4;0;0;0;0;0;0
2020-05-31 00:15:00;4;6;12;0;5;8;0;0;0;0;0;0
2020-05-31 00:30:00;3;10;19;2;0;10;1;0;0;0;0;0
2020-05-31 00:45:00;2;2;7;1;0;5;0;0;0;0;0;0
2020-05-31 01:00:00;2;8;13;1;0;6;0;0;0;0;0;0
2020-05-31 01:15:00;2;4;7;1;0;5;0;0;0;0;0;0
2020-05-31 01:30:00;2;4;5;1;1;1;0;0;0;0;0;0
2020-05-31 01:45:00;2;3;3;0;0;0;0;0;0;0;0;0
2020-05-31 02:00:00;1;5;9;0;0;5;0;0;0;0;0;0
2020-05-31 02:15:00;1;3;5;2;0;0;0;0;0;0;0;0
2020-05-31 02:30:00;2;2;2;0;0;0;0;0;0;0;0;0
2020-05-31 02:45:00;1;1;4;0;0;4;0;0;0;0;0;0
2020-05-31 03:00:00;1;2;2;0;0;0;0;0;0;0;0;0
2020-05-31 03:15:00;0;1;2;0;0;1;0;0;0;0;0;0
2020-05-31 03:30:00;2;2;1;0;1;1;0;0;0;0;0;0
2020-05-31 03:45:00;2;3;6;0;1;3;0;0;0;0;0;0
2020-05-31 04:00:00;1;1;3;0;1;3;0;0;0;0;0;0
2020-05-31 04:15:00;0;2;2;0;3;1;0;0;0;0;0;0
2020-05-31 04:30:00;2;1;1;0;0;0;0;0;0;0;0;0
2020-05-31 04:45:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-05-31 05:00:00;3;3;4;0;0;1;0;0;0;0;0;0
2020-05-31 05:15:00;1;1;1;0;3;0;0;0;0;0;0;0
2020-05-31 05:30:00;1;1;1;0;0;0;0;0;0;0;0;0
2020-05-31 05:45:00;0;1;3;0;1;3;0;0;0;0;0;0
2020-05-31 06:00:00;3;4;8;0;0;4;0;0;0;0;0;0
2020-05-31 06:15:00;2;1;2;0;3;2;0;0;0;0;0;0
2020-05-31 06:30:00;4;3;4;0;0;2;1;0;0;0;0;0
2020-05-31 06:45:00;0;0;1;0;1;1;0;0;0;0;0;0
2020-05-31 07:00:00;4;3;4;0;0;1;0;0;0;0;0;0
2020-05-31 07:15:00;6;5;7;0;3;4;0;0;0;0;0;0
