DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2019-12-22 00:00:00;26;17;1;0;14;11;0;13;13;0;0
2019-12-22 00:15:00;20;26;0;0;37;22;1;36;25;0;0
2019-12-22 00:30:00;37;31;3;0;29;17;4;27;19;0;0
2019-12-22 00:45:00;13;10;0;0;31;14;1;29;15;0;0
2019-12-22 01:00:00;17;13;0;0;21;18;2;21;18;0;0
2019-12-22 01:15:00;14;13;1;0;22;17;0;22;15;0;0
2019-12-22 01:30:00;16;22;2;0;17;8;0;13;8;0;0
2019-12-22 01:45:00;13;9;0;0;11;14;0;12;15;0;0
2019-12-22 02:00:00;11;8;0;0;13;8;0;14;9;0;0
2019-12-22 02:15:00;6;4;0;0;9;9;0;10;10;1;0
2019-12-22 02:30:00;9;8;0;1;11;13;1;8;15;0;0
2019-12-22 02:45:00;9;7;0;0;10;5;0;10;6;0;0
2019-12-22 03:00:00;8;10;0;0;7;5;0;7;5;0;0
2019-12-22 03:15:00;9;6;0;0;10;10;0;10;12;0;0
2019-12-22 03:30:00;9;16;2;0;13;6;0;12;7;0;0
2019-12-22 03:45:00;4;7;0;0;7;4;0;6;4;0;0
2019-12-22 04:00:00;7;4;0;0;7;11;1;7;10;0;0
2019-12-22 04:15:00;7;5;0;0;8;5;0;8;5;0;0
2019-12-22 04:30:00;11;9;0;0;3;1;0;2;3;0;0
2019-12-22 04:45:00;4;4;0;0;5;6;0;6;5;0;0
2019-12-22 05:00:00;9;9;0;0;18;8;0;17;12;0;0
2019-12-22 05:15:00;10;13;0;0;24;11;0;19;12;0;0
2019-12-22 05:30:00;11;8;2;1;21;14;0;22;12;0;0
2019-12-22 05:45:00;12;13;2;0;16;9;1;15;9;0;0
2019-12-22 06:00:00;10;13;0;2;8;6;0;9;6;0;0
2019-12-22 06:15:00;10;4;0;1;12;6;0;14;5;0;0
2019-12-22 06:30:00;17;13;1;0;11;6;0;10;6;0;0
2019-12-22 06:45:00;9;11;0;0;9;1;0;9;4;0;0
2019-12-22 07:00:00;13;18;2;1;11;6;0;11;6;0;0
2019-12-22 07:15:00;9;9;0;1;14;3;0;12;6;0;0
2019-12-22 07:30:00;18;13;0;1;19;8;0;17;10;0;0
2019-12-22 07:45:00;17;19;1;0;16;6;0;15;5;0;0
2019-12-22 08:00:00;26;24;1;0;25;6;1;25;7;0;0
2019-12-22 08:15:00;22;20;3;0;22;14;1;23;14;0;0
2019-12-22 08:30:00;25;23;1;0;24;6;0;24;8;0;0
2019-12-22 08:45:00;19;30;2;1;20;7;0;19;8;0;0
2019-12-22 09:00:00;35;41;1;0;38;15;1;41;15;0;0
2019-12-22 09:15:00;31;37;0;0;41;10;0;39;15;1;0
2019-12-22 09:30:00;49;45;4;2;39;34;0;42;35;0;0
2019-12-22 09:45:00;61;43;2;0;52;33;3;50;33;1;0
2019-12-22 10:00:00;46;65;1;1;45;22;2;43;30;0;0
2019-12-22 10:15:00;55;56;1;0;49;46;5;50;44;0;2
2019-12-22 10:30:00;49;61;2;0;60;42;1;56;43;0;0
2019-12-22 10:45:00;52;63;8;2;60;50;2;62;48;0;2
2019-12-22 11:00:00;65;59;3;0;57;48;3;52;46;3;2
2019-12-22 11:15:00;65;60;1;4;54;37;2;55;36;1;5
2019-12-22 11:30:00;53;64;3;1;46;46;0;49;49;1;1
2019-12-22 11:45:00;59;60;2;1;65;50;5;63;47;0;2
2019-12-22 12:00:00;78;64;4;0;53;47;3;54;48;3;1
2019-12-22 12:15:00;70;70;7;0;50;54;1;50;59;1;2
2019-12-22 12:30:00;74;74;2;0;54;41;4;48;44;1;4
2019-12-22 12:45:00;81;87;7;2;70;62;2;70;62;1;2
2019-12-22 13:00:00;101;104;6;0;66;51;0;66;52;0;2
2019-12-22 13:15:00;85;113;8;0;60;46;5;64;43;0;2
2019-12-22 13:30:00;83;101;5;0;80;69;3;86;70;1;0
2019-12-22 13:45:00;58;73;3;0;73;55;2;70;56;2;3
2019-12-22 14:00:00;55;65;4;0;70;57;5;63;60;1;2
2019-12-22 14:15:00;45;55;47;0;71;58;4;74;51;0;0
2019-12-22 14:30:00;52;58;4;0;71;55;2;71;55;2;0
2019-12-22 14:45:00;59;55;4;0;84;69;2;82;66;1;2
2019-12-22 15:00:00;59;67;3;0;74;75;6;70;72;2;1
2019-12-22 15:15:00;62;70;7;2;74;46;3;74;50;1;2
2019-12-22 15:30:00;56;56;2;0;81;64;4;74;64;1;3
2019-12-22 15:45:00;57;70;2;1;75;81;4;68;92;0;0
