DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-04-25 00:00:00;11;7;5;4;2;4
2020-04-25 00:15:00;11;1;5;7;2;1
2020-04-25 00:30:00;13;2;7;8;3;2
2020-04-25 00:45:00;7;5;1;6;0;0
2020-04-25 01:00:00;11;0;6;7;2;2
2020-04-25 01:15:00;4;2;5;4;1;2
2020-04-25 01:30:00;4;3;5;4;0;1
2020-04-25 01:45:00;6;4;1;6;4;1
2020-04-25 02:00:00;4;3;3;3;0;2
2020-04-25 02:15:00;3;1;2;5;0;1
2020-04-25 02:30:00;4;2;3;2;0;1
2020-04-25 02:45:00;6;1;1;5;2;0
2020-04-25 03:00:00;6;0;4;1;0;4
2020-04-25 03:15:00;2;0;0;2;0;2
2020-04-25 03:30:00;4;1;0;2;1;0
2020-04-25 03:45:00;4;1;1;0;0;0
2020-04-25 04:00:00;7;1;1;0;0;0
2020-04-25 04:15:00;6;1;0;3;0;1
2020-04-25 04:30:00;5;3;2;4;0;3
2020-04-25 04:45:00;9;0;4;2;0;0
2020-04-25 05:00:00;13;1;4;7;1;0
2020-04-25 05:15:00;14;8;6;5;1;3
2020-04-25 05:30:00;22;7;10;20;3;4
2020-04-25 05:45:00;16;6;9;13;0;3
2020-04-25 06:00:00;19;7;9;16;2;3
2020-04-25 06:15:00;16;7;5;17;1;4
2020-04-25 06:30:00;23;10;12;19;1;5
2020-04-25 06:45:00;34;7;13;17;3;2
2020-04-25 07:00:00;17;13;19;26;4;5
2020-04-25 07:15:00;35;10;16;22;4;12
2020-04-25 07:30:00;28;15;18;30;7;19
2020-04-25 07:45:00;49;23;20;41;5;14
2020-04-25 08:00:00;39;20;18;35;8;12
2020-04-25 08:15:00;54;34;25;30;5;20
2020-04-25 08:30:00;53;33;27;53;8;27
2020-04-25 08:45:00;57;31;40;54;5;26
2020-04-25 09:00:00;63;27;33;42;6;21
2020-04-25 09:15:00;78;59;29;49;5;15
2020-04-25 09:30:00;83;40;49;58;7;30
2020-04-25 09:45:00;84;48;42;78;10;28
2020-04-25 10:00:00;87;61;47;83;15;39
2020-04-25 10:15:00;91;54;45;74;12;38
2020-04-25 10:30:00;96;46;65;81;6;24
2020-04-25 10:45:00;104;73;59;81;9;48
2020-04-25 11:00:00;108;68;53;97;13;31
2020-04-25 11:15:00;98;64;54;92;14;34
2020-04-25 11:30:00;114;82;58;89;12;41
2020-04-25 11:45:00;90;64;72;94;11;27
2020-04-25 12:00:00;110;59;51;80;10;34
2020-04-25 12:15:00;103;79;55;90;10;40
2020-04-25 12:30:00;106;71;55;95;14;46
2020-04-25 12:45:00;105;84;51;78;7;50
2020-04-25 13:00:00;107;75;51;105;11;35
2020-04-25 13:15:00;95;74;56;97;12;41
2020-04-25 13:30:00;94;76;55;87;13;47
2020-04-25 13:45:00;102;64;70;109;7;43
2020-04-25 14:00:00;102;80;58;89;9;38
2020-04-25 14:15:00;111;76;55;96;8;28
2020-04-25 14:30:00;96;66;52;87;14;36
2020-04-25 14:45:00;100;68;61;110;15;42
2020-04-25 15:00:00;86;62;57;75;11;43
2020-04-25 15:15:00;85;53;48;83;13;42
2020-04-25 15:30:00;98;58;61;88;14;37
2020-04-25 15:45:00;102;67;50;83;16;40
2020-04-25 16:00:00;83;60;51;79;16;37
2020-04-25 16:15:00;96;65;54;94;18;39
2020-04-25 16:30:00;90;51;54;81;16;33
2020-04-25 16:45:00;93;57;45;88;13;41
2020-04-25 17:00:00;86;65;53;80;15;35
2020-04-25 17:15:00;101;58;54;88;23;32
2020-04-25 17:30:00;91;65;44;77;13;48
2020-04-25 17:45:00;84;60;47;90;17;40
2020-04-25 18:00:00;102;60;55;74;12;28
2020-04-25 18:15:00;82;63;46;92;16;43
2020-04-25 18:30:00;101;61;41;80;8;40
2020-04-25 18:45:00;88;54;55;93;20;31
2020-04-25 19:00:00;77;52;38;65;12;33
2020-04-25 19:15:00;71;53;46;72;17;33
2020-04-25 19:30:00;75;33;30;64;9;28
2020-04-25 19:45:00;78;45;27;59;4;26
2020-04-25 20:00:00;73;43;38;60;9;21
2020-04-25 20:15:00;56;29;29;49;2;13
2020-04-25 20:30:00;59;29;33;37;3;4
2020-04-25 20:45:00;43;25;24;39;3;15
2020-04-25 21:00:00;46;28;13;26;0;5
2020-04-25 21:15:00;38;18;22;32;2;9
2020-04-25 21:30:00;32;19;13;24;5;5
2020-04-25 21:45:00;32;16;11;25;4;6
2020-04-25 22:00:00;30;11;19;22;3;5
2020-04-25 22:15:00;32;17;12;23;3;6
2020-04-25 22:30:00;28;9;12;24;4;6
2020-04-25 22:45:00;22;9;6;13;0;5
2020-04-25 23:00:00;21;11;15;19;1;5
2020-04-25 23:15:00;25;7;8;14;1;2
2020-04-25 23:30:00;23;6;8;23;1;3
2020-04-25 23:45:00;14;6;6;11;2;5
