DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2019-11-03 00:00:00;16;1;1;12;0;9;1;0;0
2019-11-03 00:15:00;40;9;0;29;0;13;1;0;0
2019-11-03 00:30:00;23;3;1;17;0;12;1;0;0
2019-11-03 00:45:00;16;2;0;18;0;14;0;0;0
2019-11-03 01:00:00;22;5;1;13;0;12;1;0;0
2019-11-03 01:15:00;25;6;1;16;0;14;1;0;0
2019-11-03 01:30:00;30;4;0;11;0;12;1;0;0
2019-11-03 01:45:00;20;1;0;11;0;13;1;0;0
2019-11-03 02:00:00;13;3;0;12;0;12;0;0;0
2019-11-03 02:15:00;24;6;0;14;0;14;1;0;0
2019-11-03 02:30:00;13;2;0;8;0;12;1;0;0
2019-11-03 02:45:00;13;1;0;12;0;14;1;0;0
2019-11-03 03:00:00;10;1;0;12;0;12;1;0;0
2019-11-03 03:15:00;14;4;0;7;0;14;0;0;0
2019-11-03 03:30:00;8;2;2;15;0;12;1;0;0
2019-11-03 03:45:00;11;1;0;8;0;13;1;0;0
2019-11-03 04:00:00;7;1;0;8;0;12;1;0;0
2019-11-03 04:15:00;11;1;0;5;0;14;1;0;0
2019-11-03 04:30:00;5;2;0;4;0;12;0;0;0
2019-11-03 04:45:00;12;6;1;10;0;14;1;0;0
2019-11-03 05:00:00;4;1;0;9;0;12;1;0;0
2019-11-03 05:15:00;12;1;0;17;0;13;1;0;0
2019-11-03 05:30:00;9;1;1;12;0;12;1;0;0
2019-11-03 05:45:00;7;0;0;10;0;14;0;0;0
2019-11-03 06:00:00;16;3;0;11;0;12;1;0;0
2019-11-03 06:15:00;14;6;0;22;0;14;1;0;0
2019-11-03 06:30:00;7;0;0;12;0;12;1;0;0
2019-11-03 06:45:00;14;4;0;13;0;14;1;0;0
2019-11-03 07:00:00;7;2;0;9;0;12;0;0;0
2019-11-03 07:15:00;20;1;0;12;0;13;1;0;0
2019-11-03 07:30:00;13;2;0;11;0;12;1;0;0
2019-11-03 07:45:00;20;9;0;37;0;14;1;0;0
2019-11-03 08:00:00;17;8;2;16;0;12;1;0;0
2019-11-03 08:15:00;18;5;1;34;0;14;1;0;0
2019-11-03 08:30:00;25;3;0;32;0;12;0;0;0
2019-11-03 08:45:00;23;11;1;60;0;13;1;0;0
2019-11-03 09:00:00;21;9;1;45;0;12;1;0;0
2019-11-03 09:15:00;25;9;3;57;0;14;1;0;0
2019-11-03 09:30:00;46;11;0;56;0;12;0;0;0
2019-11-03 09:45:00;46;15;2;88;0;14;1;0;0
2019-11-03 10:00:00;43;14;2;80;0;12;1;0;0
2019-11-03 10:15:00;60;8;0;67;0;14;1;0;0
2019-11-03 10:30:00;47;14;3;70;0;12;0;0;0
2019-11-03 10:45:00;79;12;1;80;0;13;1;0;0
2019-11-03 11:00:00;75;10;1;76;0;12;1;0;0
2019-11-03 11:15:00;69;19;2;72;0;14;1;0;0
2019-11-03 11:30:00;55;10;1;79;0;12;1;0;0
2019-11-03 11:45:00;85;13;3;100;0;14;0;0;0
2019-11-03 12:00:00;73;12;2;71;0;12;1;0;0
2019-11-03 12:15:00;88;13;0;86;0;13;1;0;0
2019-11-03 12:30:00;74;14;1;68;0;12;1;0;0
2019-11-03 12:45:00;100;19;4;88;0;14;1;0;0
2019-11-03 13:00:00;59;16;3;82;0;12;0;0;0
2019-11-03 13:15:00;76;17;6;90;0;14;1;0;0
2019-11-03 13:30:00;57;15;0;70;0;12;1;0;0
2019-11-03 13:45:00;97;19;3;121;0;14;1;0;0
2019-11-03 14:00:00;87;24;2;95;0;12;0;0;0
2019-11-03 14:15:00;105;16;0;110;0;13;1;0;0
2019-11-03 14:30:00;79;21;1;107;0;12;1;0;0
2019-11-03 14:45:00;104;21;9;138;0;14;1;0;0
2019-11-03 15:00:00;95;21;6;97;0;12;0;0;0
2019-11-03 15:15:00;81;18;3;84;0;14;1;0;0
2019-11-03 15:30:00;73;15;4;102;0;12;1;0;0
2019-11-03 15:45:00;90;8;0;105;0;13;1;0;0
2019-11-03 16:00:00;92;14;0;84;0;12;0;0;0
