DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-04-10 00:00:00;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-04-10 00:15:00;0;0;0;0;2;0;2;1;0;0;0;0;0
2020-04-10 00:30:00;1;2;1;1;0;0;0;2;0;0;0;0;0
2020-04-10 00:45:00;0;0;0;0;0;0;0;1;0;0;0;0;0
2020-04-10 01:00:00;0;0;0;0;0;1;0;0;0;0;0;0;0
2020-04-10 01:15:00;0;1;0;0;1;0;1;1;0;0;0;0;0
2020-04-10 01:30:00;1;1;1;1;2;0;2;0;0;0;0;0;0
2020-04-10 01:45:00;0;1;0;0;0;0;0;2;0;0;0;0;0
2020-04-10 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-10 02:15:00;1;1;0;0;0;0;0;1;0;0;0;0;0
2020-04-10 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-10 02:45:00;0;0;1;1;1;0;1;1;0;0;0;0;0
2020-04-10 03:00:00;0;0;0;0;1;0;1;0;0;0;0;0;0
2020-04-10 03:15:00;0;0;0;0;0;0;0;2;0;0;0;0;0
2020-04-10 03:30:00;0;0;0;0;0;0;0;1;0;0;0;0;0
2020-04-10 03:45:00;0;0;1;1;0;0;0;0;0;0;0;0;0
2020-04-10 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-10 04:15:00;0;0;0;0;1;0;1;0;0;0;0;0;0
2020-04-10 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-10 04:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-10 05:00:00;0;3;1;1;0;3;0;4;0;0;0;0;0
2020-04-10 05:15:00;0;1;0;0;3;0;3;1;0;0;0;0;0
2020-04-10 05:30:00;1;3;2;2;0;0;0;2;0;0;0;0;0
2020-04-10 05:45:00;1;7;1;1;2;0;2;6;0;0;0;0;0
2020-04-10 06:00:00;0;3;3;3;1;0;1;5;0;0;0;0;0
2020-04-10 06:15:00;2;6;1;2;4;0;4;0;0;0;0;0;0
2020-04-10 06:30:00;3;5;3;3;5;1;4;7;0;0;0;0;0
2020-04-10 06:45:00;2;0;4;4;0;0;0;3;0;0;0;0;0
2020-04-10 07:00:00;0;1;0;0;0;0;0;3;0;0;0;0;0
2020-04-10 07:15:00;0;1;0;0;0;1;0;3;0;0;0;0;0
2020-04-10 07:30:00;0;1;1;1;2;0;1;6;0;0;0;0;0
