DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DD1);31(DB2);32(TARDD);33(TAFGA);34(TAFGC);35(TAFBA);36(TAFBB);37(TAFBC);38(TAFBD)
2020-03-17 00:00:00;4;0;3;1;9;1;0;2;0;0;0;0;0;0;0
2020-03-17 00:15:00;1;0;2;2;4;3;3;4;0;0;0;0;0;0;0
2020-03-17 00:30:00;6;2;2;7;11;0;3;11;0;0;0;0;0;0;0
2020-03-17 00:45:00;3;1;0;6;2;0;2;6;0;0;0;0;0;0;0
2020-03-17 01:00:00;4;3;8;5;3;2;3;13;0;0;0;0;0;0;0
2020-03-17 01:15:00;5;1;2;4;2;0;3;6;0;0;0;0;0;0;0
2020-03-17 01:30:00;1;0;4;3;2;1;1;7;0;0;0;0;0;0;0
2020-03-17 01:45:00;2;1;4;3;2;0;0;6;0;0;0;0;0;0;0
2020-03-17 02:00:00;4;2;9;3;2;2;1;12;0;0;0;0;0;0;0
2020-03-17 02:15:00;3;0;6;5;0;0;0;11;0;0;0;0;0;0;0
2020-03-17 02:30:00;2;0;5;2;4;0;0;5;0;0;0;0;0;0;0
2020-03-17 02:45:00;1;0;2;2;3;0;1;3;0;0;0;0;0;0;0
2020-03-17 03:00:00;1;0;4;6;4;0;1;8;0;0;0;0;0;0;0
2020-03-17 03:15:00;3;1;3;2;2;1;1;3;0;0;0;0;0;0;0
2020-03-17 03:30:00;8;2;0;2;3;0;1;3;0;0;0;0;0;0;0
2020-03-17 03:45:00;1;5;2;6;8;0;1;11;0;0;0;0;0;0;0
2020-03-17 04:00:00;2;2;4;5;6;0;3;10;0;0;0;0;0;0;0
2020-03-17 04:15:00;10;6;6;6;8;3;3;8;0;2;3;0;0;0;0
2020-03-17 04:30:00;9;5;8;10;4;0;4;13;0;0;0;0;0;0;0
2020-03-17 04:45:00;13;6;7;8;9;2;4;13;0;0;1;0;0;0;0
2020-03-17 05:00:00;22;3;8;4;14;2;8;12;0;0;0;0;0;0;0
2020-03-17 05:15:00;40;11;12;6;8;0;11;17;0;0;2;0;0;0;0
2020-03-17 05:30:00;67;19;18;22;23;1;21;23;0;1;0;0;0;0;0
2020-03-17 05:45:00;98;43;22;40;21;4;34;40;0;0;2;0;0;0;0
2020-03-17 06:00:00;74;30;14;38;30;5;22;33;0;0;2;0;0;0;0
2020-03-17 06:15:00;106;24;24;42;41;5;24;32;0;0;1;0;0;0;0
2020-03-17 06:30:00;101;53;27;60;42;0;35;34;0;0;3;0;0;3;0
2020-03-17 06:45:00;131;45;29;102;33;4;38;37;0;0;0;0;0;0;0
2020-03-17 07:00:00;142;41;34;55;35;3;48;41;0;0;0;0;0;0;0
2020-03-17 07:15:00;132;36;38;57;50;3;36;36;0;0;3;1;0;0;0
2020-03-17 07:30:00;107;23;33;57;44;6;46;31;0;0;2;0;0;0;0
2020-03-17 07:45:00;119;34;40;38;45;5;44;42;0;0;1;0;0;0;0
2020-03-17 08:00:00;123;20;33;36;39;9;44;31;0;0;2;0;0;0;0
2020-03-17 08:15:00;126;12;25;42;37;6;34;30;0;0;0;0;0;0;0
2020-03-17 08:30:00;105;19;35;48;49;3;32;31;0;0;0;0;0;0;0
2020-03-17 08:45:00;107;19;35;28;56;9;39;38;0;0;1;0;0;4;0
2020-03-17 09:00:00;99;8;27;33;39;6;42;31;0;4;0;0;0;0;0
2020-03-17 09:15:00;110;15;29;28;57;9;42;36;0;1;0;0;0;0;0
2020-03-17 09:30:00;104;14;41;31;68;5;57;44;0;0;0;3;0;0;0
2020-03-17 09:45:00;100;7;38;29;57;11;51;41;0;0;1;0;0;0;0
2020-03-17 10:00:00;86;10;37;35;49;14;51;33;0;0;1;0;0;0;2
2020-03-17 10:15:00;77;5;41;36;52;9;51;38;0;0;2;0;0;0;0
2020-03-17 10:30:00;117;9;36;42;77;8;47;34;0;0;0;0;0;0;0
2020-03-17 10:45:00;107;12;42;38;70;9;53;34;0;1;0;0;0;0;0
2020-03-17 11:00:00;96;13;46;44;72;9;42;36;0;0;0;0;0;0;0
2020-03-17 11:15:00;91;8;45;37;68;7;61;35;0;0;0;0;0;5;0
2020-03-17 11:30:00;97;7;50;48;66;9;55;39;0;1;1;0;0;1;0
2020-03-17 11:45:00;91;6;50;38;72;14;44;46;0;0;0;0;0;0;0
2020-03-17 12:00:00;57;12;47;49;72;15;66;38;0;0;0;0;0;0;0
2020-03-17 12:15:00;54;9;39;43;82;12;56;44;0;3;0;0;0;0;0
2020-03-17 12:30:00;92;8;44;33;71;10;41;45;0;0;1;0;0;2;0
2020-03-17 12:45:00;68;5;35;36;64;8;35;38;0;4;0;0;0;0;0
2020-03-17 13:00:00;72;6;40;34;88;10;48;33;0;0;0;0;0;0;0
2020-03-17 13:15:00;98;13;44;41;81;4;45;36;0;0;0;0;0;0;0
2020-03-17 13:30:00;90;16;43;34;83;6;52;43;0;0;0;0;0;0;0
2020-03-17 13:45:00;85;13;36;35;74;11;49;35;0;0;0;0;0;0;0
2020-03-17 14:00:00;85;12;49;42;70;11;34;31;0;0;0;0;0;0;0
2020-03-17 14:15:00;97;7;37;35;97;11;45;32;0;0;2;0;0;0;0
2020-03-17 14:30:00;73;5;56;46;99;10;61;38;0;0;2;0;0;5;0
2020-03-17 14:45:00;79;6;44;37;95;11;60;45;0;0;0;0;0;0;0
2020-03-17 15:00:00;70;7;64;38;106;9;47;36;0;0;0;0;0;0;0
2020-03-17 15:15:00;80;9;44;39;110;3;59;37;0;1;2;0;2;0;0
