DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2019-08-30 00:00:00;15;3;5;3;0;0;1;27;0;0;0;0;0
2019-08-30 00:15:00;30;10;12;6;0;1;0;25;0;0;0;0;0
2019-08-30 00:30:00;23;3;5;3;1;1;0;18;0;0;0;0;0
2019-08-30 00:45:00;14;2;6;4;1;0;1;18;0;0;0;0;0
2019-08-30 01:00:00;16;3;7;3;3;3;0;23;0;0;0;0;0
2019-08-30 01:15:00;7;2;2;0;2;2;1;20;0;0;0;0;0
2019-08-30 01:30:00;18;3;3;2;0;0;0;17;0;0;0;0;0
2019-08-30 01:45:00;18;5;8;1;0;0;1;11;0;0;0;0;0
2019-08-30 02:00:00;8;2;3;1;0;0;1;11;0;0;0;0;0
2019-08-30 02:15:00;6;2;6;1;1;1;1;10;0;0;0;0;0
2019-08-30 02:30:00;16;6;6;7;0;0;1;8;0;0;0;0;0
2019-08-30 02:45:00;10;0;3;4;0;0;0;7;0;0;0;0;0
2019-08-30 03:00:00;8;4;5;2;0;0;0;11;0;0;0;0;0
2019-08-30 03:15:00;12;2;4;1;0;0;0;4;0;0;0;0;0
2019-08-30 03:30:00;8;3;2;3;0;0;0;10;0;0;0;0;0
2019-08-30 03:45:00;12;0;0;0;0;0;0;7;0;0;0;0;0
2019-08-30 04:00:00;11;5;6;3;0;0;1;13;0;0;0;0;0
2019-08-30 04:15:00;7;4;6;2;0;0;1;13;0;0;0;0;0
2019-08-30 04:30:00;10;3;8;4;0;0;0;18;0;0;0;0;0
2019-08-30 04:45:00;17;1;4;2;3;3;0;11;0;0;0;0;0
2019-08-30 05:00:00;17;5;7;5;4;4;4;23;0;0;0;0;0
2019-08-30 05:15:00;34;10;11;9;5;9;7;28;0;0;0;0;0
2019-08-30 05:30:00;55;6;10;2;8;8;3;63;0;0;0;0;0
2019-08-30 05:45:00;55;11;18;7;6;5;6;81;0;0;0;0;0
2019-08-30 06:00:00;61;17;25;11;3;4;2;77;0;0;0;0;0
2019-08-30 06:15:00;72;14;26;8;5;7;7;104;0;0;0;0;0
2019-08-30 06:30:00;115;13;25;15;14;13;13;156;1;0;0;0;0
2019-08-30 06:45:00;94;21;21;19;9;13;18;173;1;0;0;0;0
2019-08-30 07:00:00;99;13;14;12;11;13;13;138;0;1;0;0;0
2019-08-30 07:15:00;116;18;27;23;13;15;25;141;0;0;0;0;0
2019-08-30 07:30:00;102;19;24;16;20;23;20;158;3;4;0;0;0
2019-08-30 07:45:00;118;24;29;27;21;22;23;159;3;0;0;0;0
2019-08-30 08:00:00;132;14;24;11;18;21;14;140;2;2;0;0;0
2019-08-30 08:15:00;139;18;17;14;21;19;6;142;4;3;0;0;0
2019-08-30 08:30:00;137;18;26;17;23;25;20;169;5;1;0;0;0
2019-08-30 08:45:00;128;19;25;19;23;25;19;166;0;2;0;0;0
2019-08-30 09:00:00;124;18;29;15;22;20;10;136;2;1;0;0;0
2019-08-30 09:15:00;147;22;33;26;17;24;11;169;5;1;0;0;0
2019-08-30 09:30:00;147;23;24;10;28;28;11;158;3;0;0;0;0
2019-08-30 09:45:00;157;17;20;21;27;28;11;191;1;1;0;0;0
2019-08-30 10:00:00;149;20;23;22;27;33;22;195;0;2;0;0;0
2019-08-30 10:15:00;151;22;24;23;23;25;10;179;6;0;0;0;0
