DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-05-25 00:00:00;6;10;2;1;1;6;7
2020-05-25 00:15:00;10;23;4;2;1;3;10
2020-05-25 00:30:00;7;15;0;3;0;10;7
2020-05-25 00:45:00;6;12;1;0;1;5;10
2020-05-25 01:00:00;6;16;3;0;0;5;5
2020-05-25 01:15:00;3;3;0;2;1;3;10
2020-05-25 01:30:00;2;12;1;1;1;7;5
2020-05-25 01:45:00;4;1;0;0;0;7;5
2020-05-25 02:00:00;2;7;0;1;0;3;3
2020-05-25 02:15:00;4;8;0;0;0;7;7
2020-05-25 02:30:00;3;9;1;1;0;6;8
2020-05-25 02:45:00;2;5;0;0;0;3;9
2020-05-25 03:00:00;1;5;1;2;1;2;3
2020-05-25 03:15:00;5;7;0;1;0;1;1
2020-05-25 03:30:00;2;9;2;1;0;6;6
2020-05-25 03:45:00;4;8;1;1;1;2;6
2020-05-25 04:00:00;3;9;0;2;1;4;6
2020-05-25 04:15:00;8;9;0;7;0;5;10
2020-05-25 04:30:00;5;13;1;6;0;11;11
2020-05-25 04:45:00;18;23;2;4;2;7;16
2020-05-25 05:00:00;24;53;6;11;1;19;19
2020-05-25 05:15:00;71;83;8;9;5;16;27
2020-05-25 05:30:00;78;102;16;20;10;36;34
2020-05-25 05:45:00;62;102;22;16;17;19;33
2020-05-25 06:00:00;58;93;23;27;14;23;32
2020-05-25 06:15:00;80;128;18;32;19;47;60
2020-05-25 06:30:00;115;185;39;50;34;55;59
2020-05-25 06:45:00;106;202;55;52;45;66;70
2020-05-25 07:00:00;93;166;45;63;39;63;67
2020-05-25 07:15:00;99;199;53;82;48;66;95
2020-05-25 07:30:00;135;234;81;103;50;98;115
2020-05-25 07:45:00;125;238;78;68;35;84;100
2020-05-25 08:00:00;94;170;56;55;27;79;101
2020-05-25 08:15:00;75;166;53;54;23;71;85
2020-05-25 08:30:00;81;173;46;61;23;86;72
2020-05-25 08:45:00;91;180;53;49;28;81;94
2020-05-25 09:00:00;77;180;53;47;23;72;79
2020-05-25 09:15:00;63;173;37;59;25;74;105
2020-05-25 09:30:00;77;194;60;57;17;92;98
2020-05-25 09:45:00;70;191;58;60;27;97;109
2020-05-25 10:00:00;84;198;65;65;20;97;103
2020-05-25 10:15:00;75;210;55;53;18;99;113
2020-05-25 10:30:00;60;185;45;62;26;107;111
2020-05-25 10:45:00;88;203;66;69;22;107;109
2020-05-25 11:00:00;76;175;45;68;20;95;107
2020-05-25 11:15:00;79;203;57;51;16;98;103
2020-05-25 11:30:00;79;164;41;44;20;118;121
2020-05-25 11:45:00;80;170;67;60;19;105;118
2020-05-25 12:00:00;92;202;59;48;18;110;111
2020-05-25 12:15:00;65;156;59;43;12;84;93
2020-05-25 12:30:00;84;200;51;65;18;113;107
2020-05-25 12:45:00;99;191;71;73;94;128;136
2020-05-25 13:00:00;126;211;80;63;108;93;94
2020-05-25 13:15:00;97;186;58;61;40;105;108
2020-05-25 13:30:00;121;213;72;52;23;109;123
2020-05-25 13:45:00;120;217;65;53;28;117;124
2020-05-25 14:00:00;80;204;64;74;19;109;120
2020-05-25 14:15:00;86;188;67;70;18;136;154
2020-05-25 14:30:00;95;198;75;70;30;120;130
2020-05-25 14:45:00;96;177;63;75;21;118;128
2020-05-25 15:00:00;71;166;57;76;17;120;125
2020-05-25 15:15:00;94;201;72;45;19;136;144
2020-05-25 15:30:00;89;194;59;75;23;143;131
2020-05-25 15:45:00;103;194;74;59;19;126;118
2020-05-25 16:00:00;90;203;80;69;19;139;135
2020-05-25 16:15:00;112;206;80;47;21;157;147
2020-05-25 16:30:00;92;184;71;67;25;156;124
2020-05-25 16:45:00;111;209;90;63;23;123;135
2020-05-25 17:00:00;112;186;84;60;22;132;132
2020-05-25 17:15:00;87;203;82;72;20;128;126
2020-05-25 17:30:00;110;220;86;59;17;131;128
2020-05-25 17:45:00;91;213;74;58;23;117;122
2020-05-25 18:00:00;71;165;69;43;15;113;105
2020-05-25 18:15:00;76;179;58;36;12;121;128
2020-05-25 18:30:00;62;143;50;37;19;103;100
2020-05-25 18:45:00;56;141;45;41;11;93;90
2020-05-25 19:00:00;52;128;44;37;11;74;72
2020-05-25 19:15:00;43;112;38;30;4;72;83
2020-05-25 19:30:00;56;113;39;25;11;70;75
2020-05-25 19:45:00;39;107;29;25;6;70;74
2020-05-25 20:00:00;40;88;42;18;6;72;75
2020-05-25 20:15:00;35;92;29;18;11;51;56
2020-05-25 20:30:00;43;71;24;15;4;41;58
2020-05-25 20:45:00;38;62;20;18;1;37;48
2020-05-25 21:00:00;39;82;22;10;10;30;38
2020-05-25 21:15:00;51;85;13;11;7;32;34
2020-05-25 21:30:00;38;77;15;10;5;27;30
2020-05-25 21:45:00;25;59;20;12;2;47;67
2020-05-25 22:00:00;25;38;18;14;3;62;66
2020-05-25 22:15:00;19;44;13;7;2;31;42
2020-05-25 22:30:00;19;36;15;10;4;30;32
2020-05-25 22:45:00;16;36;11;6;1;14;21
2020-05-25 23:00:00;14;33;11;2;0;17;19
2020-05-25 23:15:00;14;28;7;3;0;15;18
2020-05-25 23:30:00;8;23;5;2;1;8;11
2020-05-25 23:45:00;4;15;7;4;1;12;7
