DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DE3);12(DE4);13(TAFBA);14(TAFBB);15(TAFBC);16(TAFBD)
2020-02-10 00:00:00;5;9;9;1;0;14;0;0;3;3;3;3;0;0;0;0
2020-02-10 00:15:00;12;12;13;0;1;13;2;2;4;4;4;4;0;0;0;0
2020-02-10 00:30:00;8;12;9;0;1;14;0;2;5;3;4;3;0;0;0;0
2020-02-10 00:45:00;6;9;8;0;1;7;1;2;3;3;3;3;0;0;0;0
2020-02-10 01:00:00;10;6;6;0;1;6;0;0;1;1;1;1;0;0;0;0
2020-02-10 01:15:00;11;9;10;0;0;10;0;4;0;0;0;0;0;0;0;0
2020-02-10 01:30:00;10;9;9;0;1;10;1;1;0;0;0;0;0;0;0;0
2020-02-10 01:45:00;8;5;6;2;2;3;0;0;1;1;1;1;0;0;0;0
2020-02-10 02:00:00;7;6;8;0;2;5;0;2;1;1;1;1;0;0;0;0
2020-02-10 02:15:00;4;7;6;0;3;6;0;1;0;0;0;0;0;0;0;0
2020-02-10 02:30:00;3;1;1;1;1;2;0;1;1;1;2;2;0;0;0;0
2020-02-10 02:45:00;7;3;4;0;6;2;0;0;0;0;0;0;0;0;0;0
2020-02-10 03:00:00;4;6;6;2;3;9;0;1;3;3;1;255;0;0;0;0
2020-02-10 03:15:00;3;4;6;1;2;4;1;0;3;3;2;6;0;0;0;0
2020-02-10 03:30:00;8;3;3;0;1;3;0;0;1;2;2;259;0;0;0;0
2020-02-10 03:45:00;3;3;3;0;1;3;0;0;2;2;2;2;0;0;0;0
2020-02-10 04:00:00;8;10;10;2;2;8;1;1;0;0;0;0;0;0;0;0
2020-02-10 04:15:00;10;12;14;0;4;11;0;2;3;3;4;4;0;0;0;0
2020-02-10 04:30:00;10;8;7;2;7;10;0;0;6;4;2;3;0;0;0;0
2020-02-10 04:45:00;10;12;11;1;2;11;1;3;4;3;2;3;0;0;0;0
2020-02-10 05:00:00;17;24;19;3;6;24;0;9;14;13;12;12;0;0;0;0
2020-02-10 05:15:00;36;52;41;2;15;45;4;16;19;21;18;19;0;0;0;0
2020-02-10 05:30:00;52;60;50;1;21;62;1;17;36;36;37;36;0;1;0;0
2020-02-10 05:45:00;45;93;43;6;18;88;1;14;46;44;42;43;0;0;0;0
2020-02-10 06:00:00;60;70;46;3;27;68;1;14;26;27;29;29;0;0;0;0
2020-02-10 06:15:00;71;84;48;3;23;82;0;16;33;31;30;30;0;0;0;0
2020-02-10 06:30:00;97;124;65;8;303;120;4;288;61;61;59;58;0;0;0;0
2020-02-10 06:45:00;105;154;105;9;34;146;5;42;81;81;73;76;0;0;0;0
2020-02-10 07:00:00;115;154;88;15;44;151;1;45;71;72;72;73;0;0;0;0
2020-02-10 07:15:00;134;152;96;26;39;146;4;62;85;83;78;82;1;0;1;0
2020-02-10 07:30:00;146;177;119;29;30;168;3;66;64;65;321;320;0;0;0;1
2020-02-10 07:45:00;120;167;107;29;43;178;4;60;69;73;66;67;0;0;0;2
2020-02-10 08:00:00;109;175;78;28;43;151;7;59;59;57;54;57;2;0;0;1
2020-02-10 08:15:00;143;150;95;30;39;130;12;56;51;52;48;51;0;0;3;1
2020-02-10 08:30:00;105;137;104;16;37;127;7;41;48;48;52;53;1;0;0;0
2020-02-10 08:45:00;108;154;95;32;40;132;6;38;51;50;49;52;0;0;1;0
2020-02-10 09:00:00;114;121;97;20;44;114;10;56;39;38;37;35;0;1;3;1
2020-02-10 09:15:00;103;141;70;24;33;126;12;34;57;55;50;53;0;0;0;7
2020-02-10 09:30:00;127;154;92;35;48;138;10;38;42;43;39;43;0;0;0;0
2020-02-10 09:45:00;113;138;15;30;36;134;6;36;49;50;36;37;0;0;0;0
2020-02-10 10:00:00;121;145;407;25;40;133;8;34;52;51;44;48;0;0;0;5
2020-02-10 10:15:00;114;140;163;27;37;128;12;35;55;50;45;48;3;2;0;0
2020-02-10 10:30:00;125;159;227;29;39;129;10;45;53;54;51;55;0;0;0;1
2020-02-10 10:45:00;126;204;208;28;47;136;7;39;69;66;61;59;0;0;0;0
2020-02-10 11:00:00;147;160;74;27;48;144;4;41;46;48;36;37;0;0;0;0
2020-02-10 11:15:00;129;171;75;40;49;153;10;33;47;46;48;50;0;0;0;0
2020-02-10 11:30:00;146;146;89;29;43;140;10;31;51;50;47;49;0;0;0;0
2020-02-10 11:45:00;129;138;113;27;40;132;2;36;63;63;58;58;4;0;2;0
2020-02-10 12:00:00;146;122;100;31;35;117;8;38;55;56;49;51;2;0;0;0
2020-02-10 12:15:00;131;117;131;24;45;137;14;35;61;59;54;56;2;0;0;0
2020-02-10 12:30:00;125;153;100;29;49;140;10;44;56;56;54;54;0;0;0;0
2020-02-10 12:45:00;121;128;100;27;30;121;7;59;48;48;43;47;1;0;1;0
2020-02-10 13:00:00;124;134;83;29;39;133;5;42;55;58;54;52;1;0;1;0
2020-02-10 13:15:00;135;135;75;34;46;142;11;37;65;61;55;59;2;0;0;0
2020-02-10 13:30:00;160;141;84;46;40;126;8;34;51;52;45;45;0;1;0;0
2020-02-10 13:45:00;140;118;93;28;40;114;11;45;66;69;61;61;0;0;1;0
2020-02-10 14:00:00;142;148;92;44;45;123;7;29;63;61;57;56;0;0;1;0
2020-02-10 14:15:00;165;150;73;61;67;154;17;39;45;51;45;44;0;0;0;1
2020-02-10 14:30:00;161;180;103;52;43;142;14;36;39;38;35;37;2;0;3;0
2020-02-10 14:45:00;179;170;174;41;57;149;9;48;66;66;56;59;1;0;0;0
2020-02-10 15:00:00;156;148;143;51;57;122;9;38;55;57;55;51;1;0;1;1
2020-02-10 15:15:00;165;167;71;48;60;168;12;38;58;60;52;50;3;0;1;0
2020-02-10 15:30:00;189;172;71;53;53;168;9;36;43;44;34;35;0;0;9;0
2020-02-10 15:45:00;169;157;89;43;56;151;9;38;66;64;61;61;6;0;0;1
2020-02-10 16:00:00;179;197;86;58;57;178;3;56;64;66;59;61;0;1;0;3
2020-02-10 16:15:00;171;226;95;63;62;239;8;43;63;64;58;61;1;1;1;5
2020-02-10 16:30:00;160;139;64;43;46;120;6;42;52;47;46;44;0;0;0;0
2020-02-10 16:45:00;
2020-02-10 17:00:00;
2020-02-10 17:15:00;11;16;8;1;3;15;1;4;7;8;6;6;0;0;0;0
2020-02-10 17:30:00;173;198;73;59;61;182;9;48;60;64;53;59;0;0;5;8
2020-02-10 17:45:00;194;192;104;56;60;222;15;58;48;51;47;46;3;1;8;0
2020-02-10 18:00:00;175;167;86;47;51;145;8;45;58;58;50;53;4;1;1;5
2020-02-10 18:15:00;174;174;89;56;71;150;12;39;48;45;49;49;1;0;4;2
2020-02-10 18:30:00;153;168;82;36;37;148;7;36;54;54;50;50;0;1;1;5
2020-02-10 18:45:00;133;115;69;46;59;104;2;26;37;35;35;34;0;0;0;1
2020-02-10 19:00:00;121;125;54;31;46;97;4;35;37;37;35;34;1;1;1;2
2020-02-10 19:15:00;135;128;71;24;47;113;2;35;32;32;31;34;0;0;0;0
2020-02-10 19:30:00;118;125;60;34;45;110;3;31;31;33;29;29;0;0;0;0
2020-02-10 19:45:00;119;96;59;16;31;87;5;20;32;30;29;32;0;0;1;0
2020-02-10 20:00:00;146;88;48;10;27;75;6;12;23;26;24;23;0;0;0;0
2020-02-10 20:15:00;105;69;41;7;18;67;3;12;14;14;15;15;0;0;0;0
2020-02-10 20:30:00;79;59;39;11;24;61;1;16;17;17;14;17;0;0;0;0
2020-02-10 20:45:00;67;49;33;3;12;49;0;14;20;22;21;23;1;0;0;0
2020-02-10 21:00:00;84;70;42;4;9;70;1;14;26;24;24;26;0;0;0;0
2020-02-10 21:15:00;69;55;31;10;9;59;1;11;27;25;24;26;0;0;0;0
2020-02-10 21:30:00;49;49;38;5;8;46;1;16;17;17;18;17;0;0;0;0
2020-02-10 21:45:00;51;25;24;10;11;27;6;5;15;15;13;16;1;0;1;0
2020-02-10 22:00:00;35;54;44;22;28;47;4;8;11;11;10;10;0;0;0;0
2020-02-10 22:15:00;63;50;37;6;15;48;0;4;12;12;9;11;0;0;0;0
2020-02-10 22:30:00;41;32;39;5;7;31;0;1;11;17;13;13;0;0;0;0
2020-02-10 22:45:00;33;30;31;2;3;31;3;3;6;6;4;4;0;0;0;0
2020-02-10 23:00:00;26;29;37;6;9;26;2;4;5;6;5;5;0;0;0;0
2020-02-10 23:15:00;19;25;36;7;6;21;0;5;5;4;4;4;0;0;0;0
2020-02-10 23:30:00;22;13;27;3;4;15;0;1;4;3;3;3;0;0;0;0
2020-02-10 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
