DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-06-04 00:00:00;11;8;1;1;3;3;4;0;0;0
2020-06-04 00:15:00;3;1;1;3;5;5;7;0;0;0
2020-06-04 00:30:00;6;1;0;0;3;6;8;0;0;0
2020-06-04 00:45:00;6;1;0;1;0;1;4;0;0;0
2020-06-04 01:00:00;7;3;2;1;4;5;5;0;0;0
2020-06-04 01:15:00;2;0;0;0;3;6;3;0;0;0
2020-06-04 01:30:00;5;0;0;1;4;6;4;0;0;0
2020-06-04 01:45:00;4;3;1;0;1;11;13;0;0;0
2020-06-04 02:00:00;2;1;0;3;2;5;1;0;0;0
2020-06-04 02:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 02:30:00;4;1;0;2;3;1;3;0;0;0
2020-06-04 02:45:00;5;2;0;4;4;9;12;0;0;0
2020-06-04 03:00:00;3;1;0;3;4;3;4;0;0;0
2020-06-04 03:15:00;2;2;0;0;0;6;4;0;0;0
2020-06-04 03:30:00;3;2;1;0;0;10;11;0;0;0
2020-06-04 03:45:00;3;4;2;2;2;7;12;0;0;0
2020-06-04 04:00:00;0;2;0;0;0;6;7;0;0;0
2020-06-04 04:15:00;2;2;1;1;6;10;10;0;0;0
2020-06-04 04:30:00;7;9;5;4;4;15;18;0;0;0
2020-06-04 04:45:00;12;17;12;5;3;22;15;0;0;0
2020-06-04 05:00:00;12;26;47;12;2;51;39;0;0;0
2020-06-04 05:15:00;42;75;108;42;9;59;74;0;0;0
2020-06-04 05:30:00;74;66;89;50;20;49;44;0;0;0
2020-06-04 05:45:00;74;37;53;133;27;21;53;0;0;0
2020-06-04 06:00:00;38;9;10;68;16;12;21;0;0;0
2020-06-04 06:15:00;
2020-06-04 06:30:00;47;43;67;48;15;32;57;4;0;0
2020-06-04 06:45:00;67;36;56;57;8;21;40;0;0;0
2020-06-04 07:00:00;86;29;45;41;17;22;39;0;1;0
2020-06-04 07:15:00;92;40;56;64;10;30;61;1;0;0
2020-06-04 07:30:00;67;28;45;76;15;21;45;0;0;0
2020-06-04 07:45:00;91;34;50;54;12;17;51;0;0;0
2020-06-04 08:00:00;80;29;39;56;12;13;58;3;1;0
2020-06-04 08:30:00;75;19;33;40;19;6;47;0;0;0
2020-06-04 08:45:00;84;22;28;35;10;17;44;0;0;0
2020-06-04 09:00:00;84;20;27;32;19;10;53;0;0;0
2020-06-04 09:15:00;98;18;24;27;16;6;46;0;0;0
2020-06-04 09:30:00;113;23;20;27;13;9;56;0;0;0
2020-06-04 09:45:00;112;15;27;28;19;2;32;0;0;0
2020-06-04 10:00:00;81;18;20;29;15;5;29;0;0;0
2020-06-04 10:15:00;105;15;29;35;15;7;45;1;0;0
2020-06-04 10:30:00;81;21;20;39;19;5;28;0;0;0
2020-06-04 10:45:00;77;19;23;37;16;9;49;1;0;0
2020-06-04 11:00:00;83;18;23;34;21;2;41;0;0;0
2020-06-04 11:15:00;95;13;17;37;22;0;37;0;0;0
2020-06-04 11:30:00;98;16;20;42;19;4;45;0;0;0
2020-06-04 11:45:00;73;14;18;33;21;9;31;0;0;0
2020-06-04 12:00:00;95;19;23;40;27;1;64;0;0;0
2020-06-04 12:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 12:30:00;78;14;22;34;18;2;38;0;0;0
2020-06-04 12:45:00;89;21;28;49;14;12;36;0;0;0
2020-06-04 13:00:00;75;31;43;33;22;1;48;0;0;0
2020-06-04 13:15:00;95;27;28;44;15;2;35;2;0;0
2020-06-04 13:30:00;120;27;56;55;12;4;56;1;0;0
2020-06-04 13:45:00;164;36;57;65;25;0;38;0;1;0
2020-06-04 14:00:00;176;39;44;101;32;3;41;0;0;0
2020-06-04 14:15:00;188;45;50;150;55;6;44;0;2;0
2020-06-04 14:30:00;128;47;44;204;49;2;36;0;0;0
2020-06-04 14:45:00;129;55;37;157;45;3;71;0;0;0
2020-06-04 15:00:00;141;29;33;116;47;3;20;0;0;0
2020-06-04 15:15:00;163;21;27;118;34;0;30;0;0;0
2020-06-04 15:30:00;134;22;24;73;23;0;30;0;0;0
2020-06-04 15:45:00;134;25;31;74;35;0;35;0;0;0
2020-06-04 16:00:00;123;21;28;67;36;0;59;0;0;0
2020-06-04 16:15:00;108;24;27;66;26;0;54;0;0;0
2020-06-04 16:30:00;132;28;27;82;24;7;27;0;0;0
2020-06-04 16:45:00;107;20;27;63;18;4;38;0;0;0
2020-06-04 17:00:00;102;26;27;73;28;1;68;0;0;0
2020-06-04 17:15:00;125;22;24;77;19;2;64;0;0;0
2020-06-04 17:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 17:45:00;102;17;16;45;16;3;55;1;0;0
2020-06-04 18:00:00;103;19;15;40;11;0;55;0;0;0
2020-06-04 18:15:00;98;22;27;39;11;3;49;0;0;0
2020-06-04 18:30:00;73;15;18;41;10;2;63;0;0;0
2020-06-04 18:45:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-04 19:00:00;62;17;22;36;8;4;58;0;0;0
2020-06-04 19:15:00;41;18;15;25;6;4;48;0;0;0
2020-06-04 19:30:00;33;8;17;28;9;5;32;0;0;0
2020-06-04 19:45:00;31;13;6;21;8;3;18;0;0;0
2020-06-04 20:00:00;29;14;13;20;6;5;39;0;0;0
2020-06-04 20:15:00;23;6;6;12;8;3;30;0;0;0
2020-06-04 20:30:00;29;18;12;10;8;8;31;0;0;0
2020-06-04 20:45:00;29;18;16;12;6;10;24;0;0;0
2020-06-04 21:00:00;28;36;52;29;3;29;55;0;0;0
2020-06-04 21:15:00;45;53;65;24;7;28;59;0;0;0
2020-06-04 21:30:00;74;30;45;35;9;39;62;0;1;0
