DATUM;1(DA1);2(DAL1);3(DAL2);4(DBL1);5(DBL2);6(DBR1);7(DBL3);8(DBL4);9(DCR1);10(DC1);11(TAFGC)
2019-11-25 00:00:00;2;0;0;0;0;0;0;0;0;0;1
2019-11-25 00:15:00;5;0;0;0;0;0;0;0;0;0;4
2019-11-25 00:30:00;2;0;0;0;0;0;0;0;0;0;0
2019-11-25 00:45:00;2;0;0;0;0;0;0;0;0;0;3
2019-11-25 01:00:00;0;0;0;0;0;0;0;0;0;0;1
2019-11-25 01:15:00;5;0;0;0;0;0;0;0;0;0;0
2019-11-25 01:30:00;1;0;0;0;0;0;0;0;0;0;3
2019-11-25 01:45:00;1;0;0;0;0;0;0;0;0;0;1
2019-11-25 02:00:00;0;0;0;0;0;0;0;0;0;0;0
2019-11-25 02:15:00;0;0;0;0;0;0;0;0;0;0;0
2019-11-25 02:30:00;1;0;0;0;0;0;0;0;0;0;4
2019-11-25 02:45:00;1;0;0;0;0;0;0;0;0;0;2
2019-11-25 03:00:00;0;0;0;0;0;0;0;0;0;0;0
2019-11-25 03:15:00;2;1;0;0;0;0;0;0;0;0;1
2019-11-25 03:30:00;4;1;0;0;0;0;0;0;0;0;4
2019-11-25 03:45:00;1;0;0;0;0;0;0;0;0;0;1
2019-11-25 04:00:00;6;2;2;2;0;0;0;0;0;0;1
2019-11-25 04:15:00;7;1;0;0;0;0;0;0;0;1;3
2019-11-25 04:30:00;17;2;1;1;0;1;0;1;1;1;9
2019-11-25 04:45:00;17;1;7;7;1;0;1;0;1;2;14
2019-11-25 05:00:00;72;2;8;8;0;0;0;0;1;3;51
2019-11-25 05:15:00;89;3;30;34;0;2;0;1;1;14;73
2019-11-25 05:30:00;81;2;59;58;2;0;2;0;3;61;76
2019-11-25 05:45:00;50;2;69;71;4;2;4;0;3;81;40
2019-11-25 06:00:00;53;2;72;67;7;2;6;0;8;60;42
2019-11-25 06:15:00;53;9;48;51;7;3;7;2;3;43;47
2019-11-25 06:30:00;79;3;57;55;8;3;9;3;2;49;54
2019-11-25 06:45:00;77;7;46;41;5;3;6;2;4;37;33
2019-11-25 07:00:00;85;7;30;29;6;1;6;1;5;39;59
2019-11-25 07:15:00;92;20;23;24;11;2;13;1;3;31;40
2019-11-25 07:30:00;60;19;26;26;6;6;7;8;7;28;44
2019-11-25 07:45:00;57;6;15;13;9;2;13;2;9;23;38
2019-11-25 08:00:00;66;11;15;15;11;4;11;4;5;28;43
2019-11-25 08:15:00;73;10;13;13;12;5;13;6;5;22;54
2019-11-25 08:30:00;67;10;15;14;11;6;12;6;7;7;38
2019-11-25 08:45:00;70;9;11;11;8;4;8;4;4;8;34
2019-11-25 09:00:00;83;8;7;7;8;7;8;5;7;7;36
2019-11-25 09:15:00;64;5;10;10;9;1;9;1;5;7;30
2019-11-25 09:30:00;66;10;12;12;10;2;10;1;6;5;37
2019-11-25 09:45:00;69;9;7;7;9;2;9;2;7;8;40
2019-11-25 10:00:00;61;4;17;17;11;6;11;5;6;1;36
2019-11-25 10:15:00;65;8;4;5;11;6;11;6;10;4;38
2019-11-25 10:30:00;54;3;7;6;9;1;8;2;8;3;33
2019-11-25 10:45:00;54;5;7;6;10;2;9;2;3;6;40
2019-11-25 11:00:00;55;7;8;6;17;2;20;2;7;5;37
2019-11-25 11:15:00;48;5;4;4;14;4;14;5;6;4;37
2019-11-25 11:30:00;49;10;8;8;9;2;9;2;8;4;26
2019-11-25 11:45:00;62;1;9;9;13;6;15;6;9;8;45
2019-11-25 12:00:00;35;4;9;9;16;11;18;13;15;6;37
2019-11-25 12:15:00;43;3;7;7;15;6;16;7;6;11;43
2019-11-25 12:30:00;58;2;14;13;12;2;12;3;7;3;48
2019-11-25 12:45:00;55;4;5;5;12;8;13;8;11;8;47
2019-11-25 13:00:00;67;7;7;7;23;9;22;8;14;8;60
2019-11-25 13:15:00;84;5;7;7;12;8;13;7;8;7;78
2019-11-25 13:30:00;84;10;12;12;18;14;17;14;17;14;81
2019-11-25 13:45:00;88;10;11;10;27;16;28;15;36;13;100
2019-11-25 14:00:00;126;12;12;12;28;21;30;21;35;11;80
2019-11-25 14:15:00;146;31;7;8;36;33;38;34;37;8;95
2019-11-25 14:30:00;95;17;3;3;24;26;25;24;15;5;68
2019-11-25 14:45:00;76;3;5;6;50;42;50;42;49;7;51
2019-11-25 15:00:00;83;9;5;4;71;65;69;63;52;5;75
2019-11-25 15:15:00;113;14;6;5;63;49;60;52;58;11;72
2019-11-25 15:30:00;72;16;6;6;61;50;62;50;51;5;47
2019-11-25 15:45:00;78;8;4;4;61;53;63;53;41;9;55
2019-11-25 16:00:00;71;12;5;5;73;58;72;57;41;7;71
2019-11-25 16:15:00;93;15;7;7;74;61;77;62;41;4;68
2019-11-25 16:30:00;103;5;3;3;46;29;48;28;40;8;60
2019-11-25 16:45:00;89;16;6;7;54;41;55;40;31;5;66
2019-11-25 17:00:00;71;8;6;6;53;42;56;42;32;6;77
2019-11-25 17:15:00;85;6;5;5;58;36;59;36;12;9;45
2019-11-25 17:30:00;64;5;2;2;42;21;44;22;15;6;65
2019-11-25 17:45:00;66;8;4;4;40;23;41;24;13;4;52
2019-11-25 18:00:00;65;6;2;1;40;21;40;21;14;4;50
2019-11-25 18:15:00;47;2;0;0;28;7;27;7;10;1;37
2019-11-25 18:30:00;40;2;2;2;24;10;25;11;8;0;48
2019-11-25 18:45:00;37;1;1;1;17;11;21;11;9;0;44
2019-11-25 19:00:00;36;4;2;1;12;3;12;3;3;0;36
2019-11-25 19:15:00;33;4;0;0;11;4;11;4;4;0;28
2019-11-25 19:30:00;22;3;0;0;23;1;25;0;5;0;27
2019-11-25 19:45:00;17;2;0;0;11;2;11;2;2;0;34
2019-11-25 20:00:00;20;3;1;1;4;1;4;1;3;1;40
2019-11-25 20:15:00;16;3;0;0;13;1;13;1;1;1;33
2019-11-25 20:30:00;18;2;3;3;5;1;5;1;0;0;28
2019-11-25 20:45:00;40;3;3;3;3;1;4;1;2;3;39
2019-11-25 21:00:00;62;2;7;7;3;1;4;1;2;1;61
2019-11-25 21:15:00;75;2;5;5;1;4;1;2;2;4;91
2019-11-25 21:30:00;76;8;2;2;2;0;3;0;1;4;46
2019-11-25 21:45:00;132;22;1;1;8;4;8;4;8;2;62
2019-11-25 22:00:00;94;11;0;0;11;2;11;2;5;3;68
2019-11-25 22:15:00;19;0;0;0;2;0;2;0;2;0;36
2019-11-25 22:30:00;8;0;1;1;5;1;6;1;6;0;13
2019-11-25 22:45:00;10;2;0;0;1;1;2;1;1;1;10
2019-11-25 23:00:00;10;2;0;0;2;0;2;0;0;0;13
2019-11-25 23:15:00;3;0;0;0;0;1;0;1;0;0;6
2019-11-25 23:30:00;5;0;0;0;0;0;0;0;0;0;6
2019-11-25 23:45:00;3;0;0;0;0;0;0;0;0;0;3
