DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-04-07 00:00:00;2;1;0;1;1;4;0
2020-04-07 00:15:00;2;4;0;0;0;5;2
2020-04-07 00:30:00;1;0;0;0;1;4;2
2020-04-07 00:45:00;1;0;0;0;0;5;4
2020-04-07 01:00:00;4;2;0;1;2;2;1
2020-04-07 01:15:00;5;3;0;0;2;4;2
2020-04-07 01:30:00;1;1;0;2;2;2;1
2020-04-07 01:45:00;2;4;1;0;1;4;2
2020-04-07 02:00:00;3;0;0;0;0;2;1
2020-04-07 02:15:00;2;2;0;0;0;0;1
2020-04-07 02:30:00;3;3;1;3;6;3;1
2020-04-07 02:45:00;2;2;0;1;2;1;0
2020-04-07 03:00:00;2;1;0;0;0;4;0
2020-04-07 03:15:00;6;7;1;0;1;1;1
2020-04-07 03:30:00;1;1;0;0;0;4;3
2020-04-07 03:45:00;4;7;0;0;0;8;1
2020-04-07 04:00:00;5;2;0;0;1;2;1
2020-04-07 04:15:00;6;8;1;2;1;5;3
2020-04-07 04:30:00;8;7;0;1;2;8;5
2020-04-07 04:45:00;9;9;0;1;1;7;3
2020-04-07 05:00:00;13;9;0;4;5;17;6
2020-04-07 05:15:00;22;27;2;3;6;38;19
2020-04-07 05:30:00;44;32;0;10;13;61;51
2020-04-07 05:45:00;45;36;4;9;19;70;45
2020-04-07 06:00:00;49;48;0;5;10;58;52
2020-04-07 06:15:00;49;34;4;11;17;71;58
2020-04-07 06:30:00;55;54;1;5;15;80;71
2020-04-07 06:45:00;65;55;3;8;21;102;93
2020-04-07 07:00:00;58;52;0;6;14;89;86
2020-04-07 07:15:00;60;47;2;6;17;92;95
2020-04-07 07:30:00;52;44;2;9;23;88;66
2020-04-07 07:45:00;64;42;2;10;20;75;90
2020-04-07 08:00:00;65;40;3;5;11;70;64
2020-04-07 08:15:00;51;49;2;4;10;56;53
2020-04-07 08:30:00;56;44;3;12;17;56;57
2020-04-07 08:45:00;52;51;5;5;11;61;59
2020-04-07 09:00:00;55;40;2;4;9;55;50
2020-04-07 09:15:00;73;42;8;11;16;58;52
2020-04-07 09:30:00;80;41;6;7;16;51;39
2020-04-07 09:45:00;68;34;5;5;13;55;48
2020-04-07 10:00:00;71;39;2;8;14;57;44
2020-04-07 10:15:00;64;55;8;15;26;58;63
2020-04-07 10:30:00;100;38;5;15;21;58;53
2020-04-07 10:45:00;63;34;3;6;19;59;41
2020-04-07 11:00:00;83;40;4;12;25;53;47
2020-04-07 11:15:00;94;59;9;9;29;55;55
2020-04-07 11:30:00;79;62;6;12;18;64;48
2020-04-07 11:45:00;80;43;4;13;20;57;57
2020-04-07 12:00:00;80;49;9;16;31;55;45
2020-04-07 12:15:00;92;50;7;10;21;58;56
2020-04-07 12:30:00;80;36;7;13;26;53;44
2020-04-07 12:45:00;66;50;8;13;22;68;55
2020-04-07 13:00:00;92;42;6;7;27;59;48
2020-04-07 13:15:00;81;61;3;7;26;62;63
2020-04-07 13:30:00;76;53;5;10;27;57;42
2020-04-07 13:45:00;75;51;2;9;15;85;67
2020-04-07 14:00:00;107;67;6;7;23;61;42
2020-04-07 14:15:00;117;79;1;12;25;62;73
2020-04-07 14:30:00;121;61;6;7;23;57;50
2020-04-07 14:45:00;95;54;8;15;31;63;47
2020-04-07 15:00:00;96;56;3;11;21;45;44
2020-04-07 15:15:00;118;59;4;13;28;61;55
2020-04-07 15:30:00;94;64;4;14;33;66;58
2020-04-07 15:45:00;122;73;4;8;15;47;50
2020-04-07 16:00:00;111;83;4;10;24;64;66
2020-04-07 16:15:00;119;71;10;12;54;69;62
2020-04-07 16:30:00;110;73;5;12;24;67;58
2020-04-07 16:45:00;104;65;5;20;31;69;55
2020-04-07 17:00:00;119;86;5;10;28;71;67
2020-04-07 17:15:00;116;70;6;13;26;67;60
2020-04-07 17:30:00;73;69;4;15;21;59;51
2020-04-07 17:45:00;70;52;2;5;21;49;33
2020-04-07 18:00:00;81;51;3;13;22;45;38
2020-04-07 18:15:00;66;39;5;10;24;48;35
2020-04-07 18:30:00;62;40;3;7;17;47;28
2020-04-07 18:45:00;65;27;4;7;16;39;36
2020-04-07 19:00:00;54;27;2;7;14;32;25
2020-04-07 19:15:00;40;25;3;5;15;38;29
2020-04-07 19:30:00;33;22;3;7;16;35;25
2020-04-07 19:45:00;44;20;3;2;9;38;18
2020-04-07 20:00:00;28;13;1;9;19;29;23
2020-04-07 20:15:00;33;17;2;4;12;28;16
2020-04-07 20:30:00;27;17;2;6;10;26;14
2020-04-07 20:45:00;18;7;0;10;9;24;11
2020-04-07 21:00:00;16;6;2;4;10;22;13
2020-04-07 21:15:00;10;6;0;4;5;33;13
2020-04-07 21:30:00;22;13;0;5;9;27;14
2020-04-07 21:45:00;27;10;3;1;3;17;4
2020-04-07 22:00:00;36;12;2;1;7;25;14
2020-04-07 22:15:00;17;8;1;3;6;13;10
2020-04-07 22:30:00;11;4;1;3;7;14;2
2020-04-07 22:45:00;11;3;0;3;6;14;3
2020-04-07 23:00:00;11;2;1;1;5;11;6
2020-04-07 23:15:00;16;5;0;1;4;10;10
2020-04-07 23:30:00;5;3;0;1;0;11;4
